Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",14299,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"See You Again (feat. Charlie Puth)","Wiz Khalifa",11056,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
3,"Headlights (feat. Ilsey)","Robin Schulz",10151,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
4,"Ain't Nobody (Loves Me Better)","Felix Jaehn",10113,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
5,"Want to Want Me","Jason Derulo",9624,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
6,"Are You With Me - Radio Edit","Lost Frequencies",8912,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
7,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,8668,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
8,"Don't Worry",Madcon,8527,https://open.spotify.com/track/2Wf0uMfCpwLO1B2Up3NbXH
9,"Stole the Show",Kygo,8338,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
10,"Five More Hours - Deorro x Chris Brown",Deorro,7785,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
11,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",7421,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
12,"I Really Like You","Carly Rae Jepsen",6609,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
13,"Uptown Funk","Mark Ronson",6242,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
14,Samsara,"Tungevaag & Raaban",6208,https://open.spotify.com/track/6oJflQkp7lFXOQce4wPTAW
15,FourFiveSeconds,Rihanna,5944,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
16,King,"Years & Years",5788,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
17,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",5566,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
18,"Wolke 4","Philipp Dittberner",5497,https://open.spotify.com/track/0ov4JLCWWosSQ659PFAHQ6
19,"Hold Back The River","James Bay",5463,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
20,"Where Are Ü Now (with Justin Bieber)","Jack Ü",5359,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
21,Firestone,Kygo,5119,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
22,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",4949,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
23,"Hold My Hand","Jess Glynne",4836,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
24,"Time of Our Lives",Pitbull,4484,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
25,"Elastic Heart",Sia,4204,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
26,"Worth It","Fifth Harmony",4135,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
27,"The Nights",Avicii,4073,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
28,"Thinking Out Loud","Ed Sheeran",3945,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
29,Sugar,"Maroon 5",3797,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
30,"RIVA (Restart the Game) - Radio Edit",Klingande,3651,https://open.spotify.com/track/4oEON2tBuUgDiCxGXkI0zZ
31,"American Oxygen",Rihanna,3638,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
32,Outside,"Calvin Harris",3553,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb
33,"One Last Time","Ariana Grande",3483,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
34,Ayo,"Chris Brown",3438,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
35,"Wish You Were Mine - Radio Edit","Philip George",3339,https://open.spotify.com/track/4aSFlFgOefeVIKkW2NyMPl
36,"My Heart Ain't That Broken","Leslie Clio",3270,https://open.spotify.com/track/2fu0Nkt9AJHMCwM2fiySMq
37,"I Want You To Know",Zedd,3267,https://open.spotify.com/track/19RevBdb9MKUaBIvxSbGd4
38,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",3249,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
39,"Take Me To Church",Hozier,3232,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
40,"700 Main St","DAT ADAM",3175,https://open.spotify.com/track/1w6HyxzpAcBHgSlzx1F6Ok
41,"Flash mich","Mark Forster",3173,https://open.spotify.com/track/2aGDxHavIuRArjI3NwfaVY
42,"Another You","Armin van Buuren",3173,https://open.spotify.com/track/1u6LOWtdWA2wwa3CryIBsS
43,"All About It (feat. Ed Sheeran)","Hoodie Allen",3087,https://open.spotify.com/track/2rvHIXjN4TCFuFLZk3qAxn
44,Up,"Olly Murs",2903,https://open.spotify.com/track/3Nbcx1svCSzmyYG2I81YCZ
45,"Bitch Better Have My Money",Rihanna,2853,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
46,Centuries,"Fall Out Boy",2738,https://open.spotify.com/track/0yhPEz5KxlDwckGJaMlZqM
47,"I'm an Albatraoz",AronChupa,2722,https://open.spotify.com/track/5MhsZlmKJG6X5kTHkdwC4B
48,Walk,Kwabs,2643,https://open.spotify.com/track/2ZvsMMI4aOkMUo92MKQzFI
49,"Waiting For Love",Avicii,2618,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ
50,"Lips Are Movin","Meghan Trainor",2545,https://open.spotify.com/track/6gj08XDlv9Duc2fPOxUmVD
51,Heroes,"Måns Zelmerlöw",2499,https://open.spotify.com/track/4ciaNqHWA2IzHphZaVRzHI
52,"Heartbeat Song","Kelly Clarkson",2393,https://open.spotify.com/track/7FC9Lng8iXU081lbigu8m8
53,"Trap Queen","Fetty Wap",2214,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
54,"Don't Look Down","Martin Garrix",2028,https://open.spotify.com/track/5M9jOReAKGZ2AttVefFjTY
55,"Pray to God","Calvin Harris",2010,https://open.spotify.com/track/75kMrDKPJJpgEQaXVh7QMB
56,Somebody,"Natalie La Rose",1979,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
57,"Shut Up and Dance","WALK THE MOON",1954,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
58,"Runaway (U & I)",Galantis,1930,https://open.spotify.com/track/4qABfS1RaGVXdBhj2BQyhO
59,"Intoxicated - Radio Edit","Martin Solveig",1921,https://open.spotify.com/track/03tJhmP71vPD7pIenJlWJ6
60,"Nasty Freestyle",T-Wayne,1907,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
61,"I Am Yours","The Makemakes",1895,https://open.spotify.com/track/2EwKl7Jv7ZQYI2ntHbzXUt
62,Bills,"LunchMoney Lewis",1881,https://open.spotify.com/track/7rlCeTnjn0plPZkVAcctPZ
63,"Dear Future Husband","Meghan Trainor",1822,https://open.spotify.com/track/3cU2wBxuV6nFiuf6PJZNlC
64,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",1726,https://open.spotify.com/track/1zxFtsKWwuVpz3nSqNYshe
65,DFA,"DAT ADAM",1682,https://open.spotify.com/track/7KXsxgB6dpXtdqydv76U8R
66,"Prayer In C (Robin Schulz Remix) [Radio Edit]","Lilly Wood and The Prick",1667,https://open.spotify.com/track/5HdUMBc7AhPFhlPDZUpSwf
67,"Rhythm Inside","Loïc Nottet",1615,https://open.spotify.com/track/3O2MsMZHCgSbRGEca5ML1N
68,"Stay With Me","Sam Smith",1575,https://open.spotify.com/track/7IHOIqZUUInxjVkko181PB
69,"Golden Boy - Eurovision 2015 - Israel","Nadav Guedj",1515,https://open.spotify.com/track/4pCBCEWeBGJxdRWqT8GQkY
70,"Sun Goes Down (feat. Jasmine Thompson) - Radio Mix","Robin Schulz",1512,https://open.spotify.com/track/4zLBcDtvYNVtF9fnG6lme3
71,"Heroes (we could be)",Alesso,1507,https://open.spotify.com/track/0VYQK5I08homNvX8SRS37R
72,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)",Matoma,1498,https://open.spotify.com/track/6HTJZ0TQJVMSKkUGzAOe2h
73,Chandelier,Sia,1481,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
74,"I'm Not The Only One","Sam Smith",1433,https://open.spotify.com/track/1VbhR6D6zUoSTBzvnRonXO
75,"Talking Body","Tove Lo",1426,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
76,"Next To Me","Otto Knows",1410,https://open.spotify.com/track/6ZixfeFT8V0Nle1rMZAekY
77,Sail,AWOLNATION,1404,https://open.spotify.com/track/7ueP5u2qkdZbIPN2YA6LR0
78,UFO,"DAT ADAM",1395,https://open.spotify.com/track/5na0Of0p4BWzT3veUGG2rf
79,"Secrets - Radio Edit",Tiësto,1381,https://open.spotify.com/track/6eE5LWw0DpIbTOdKwDUoE8
80,"Forbidden Voices - Original Mix","Martin Garrix",1375,https://open.spotify.com/track/2BF1X5nkYYSb0AUTRaGkDm
81,"Unter Meiner Haut - Radio Edit","Gestört aber GeiL",1346,https://open.spotify.com/track/3BNGkBfm4CyMyMACLfKf0m
82,Ganjaman,Alfons,1296,https://open.spotify.com/track/084GmBpNWnjuPI7fdwgp6X
83,"Loud Places","Jamie xx",1290,https://open.spotify.com/track/2sZtaJ4RFbRAAOBKWEeR4H
84,"Break The Rules","Charli XCX",1278,https://open.spotify.com/track/70ebKSMHvkUSg7JXgUz74Q
85,"Cool Kids",Echosmith,1273,https://open.spotify.com/track/13P5rwmk2EsoFRIz9UCeh9
86,"El Perdón","Nicky Jam",1262,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
87,Forrest,"DAT ADAM",1207,https://open.spotify.com/track/6yG8cRgN2uIr3sUxddpTyn
88,"Goodbye (feat. Lyse) - Radio Edit",Feder,1196,https://open.spotify.com/track/3PnOOmkxruDDAiMYZZTgO7
89,"What I Did For Love (feat. Emeli Sandé)","David Guetta",1172,https://open.spotify.com/track/1YRjRHdl0aEtzHEn1uGi8k
90,Missets,"DAT ADAM",1171,https://open.spotify.com/track/0dd5RSFvZAZ89w7cTWszh4
91,Summer,"Calvin Harris",1152,https://open.spotify.com/track/6YUTL4dYpB9xZO5qExPf05
92,"Like The Dawn - David K. Radio Mix","The Oh Hellos",1150,https://open.spotify.com/track/4DNhSdVsvmvviM2gH8b3qZ
93,"I Don't Mind",Usher,1146,https://open.spotify.com/track/7aXuop4Qambx5Oi3ynsKQr
94,"The Only Way Is Up","Martin Garrix",1135,https://open.spotify.com/track/5wsskBPgW3pw876uCa9JX4
95,"Au Revoir","Mark Forster",1126,https://open.spotify.com/track/1ZMODMeLK5x6W8r8jsmmgX
96,"All of Me","John Legend",1121,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
97,"Often - Kygo Remix","The Weeknd",1113,https://open.spotify.com/track/1qoHlIpgGxtmYsYdyiySiL
98,Session,"DAT ADAM",1101,https://open.spotify.com/track/3FtlA8ICJgahGKkGdyHhyn
99,UFO,Vigiland,1096,https://open.spotify.com/track/3zYqHQ4tu4pB2acp9Lltnz
100,Thumbalina,"Coleman Hell",1087,https://open.spotify.com/track/5v1g1CPZqgHUkljNR4Wkiu
101,"No Hope - Winterkind Remix","Kafka Tamura",1074,https://open.spotify.com/track/2TvVxAuLDnJ3vK5mG4wkZu
102,"Feeling Good",Avicii,1072,https://open.spotify.com/track/7oDjaRDdf9zNQ8N3yRjQwF
103,Blame,"Calvin Harris",1066,https://open.spotify.com/track/07nH4ifBxUB4lZcsf44Brn
104,"Sexual Healing - Kygo Remix","Marvin Gaye",1065,https://open.spotify.com/track/7s1upm7yr7ZjrzXMwHawtG
105,"Ohio - filous Remix","Damien Jurado",1061,https://open.spotify.com/track/6W4GTXLYX8HkmZGmVkfrSC
106,"Goodbye To Yesterday","Elina Born & Stig Rästa",1057,https://open.spotify.com/track/0RSkLhxAc601EgeKkyXNVB
107,"Love Me Harder","Ariana Grande",1049,https://open.spotify.com/track/1aKsg5b9sOngINaQXbB0P7
108,"The Days",Avicii,1046,https://open.spotify.com/track/5Iy2Jj87Ha0C0IBlNE1I4y
