Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",70129,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"See You Again (feat. Charlie Puth)","Wiz Khalifa",61712,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
3,"Where Are Ü Now (with Justin Bieber)","Jack Ü",51785,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
4,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",45609,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
5,"Want to Want Me","Jason Derulo",44387,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
6,"Uptown Funk","Mark Ronson",41702,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
7,"Shut Up and Dance","WALK THE MOON",39951,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
8,"Five More Hours - Deorro x Chris Brown",Deorro,38097,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
9,Firestone,Kygo,36524,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
10,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,36196,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
11,King,"Years & Years",35543,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
12,Sugar,"Maroon 5",35295,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
13,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",34416,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
14,Somebody,"Natalie La Rose",32875,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
15,"Take Me To Church",Hozier,32594,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
16,"Time of Our Lives",Pitbull,31968,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
17,"You Don't Own Me",Grace,31305,https://open.spotify.com/track/2CpH1L4CUR47RARB3PgY1l
18,"Runaway (U & I)",Galantis,31144,https://open.spotify.com/track/4qABfS1RaGVXdBhj2BQyhO
19,"Thinking Out Loud","Ed Sheeran",30849,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
20,"Stole the Show",Kygo,30316,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
21,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",30217,https://open.spotify.com/track/1zxFtsKWwuVpz3nSqNYshe
22,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",29300,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
23,"Do You Remember","Jarryd James",28796,https://open.spotify.com/track/488DoH4Sde6dFZNpR6FJps
24,FourFiveSeconds,Rihanna,28080,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
25,Georgia,"Vance Joy",27418,https://open.spotify.com/track/6Fha6tXHkL3r9m9nNqQG8p
26,"One Last Time","Ariana Grande",27254,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
27,"The Buzz",Hermitude,27049,https://open.spotify.com/track/0lFsdfJay6AM4m23hJYGEG
28,"Hold My Hand","Jess Glynne",26605,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
29,"Hold Back The River","James Bay",25416,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
30,"Nasty Freestyle",T-Wayne,25255,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
31,"Flashlight - From ""Pitch Perfect 2"" Soundtrack","Jessie J",24375,https://open.spotify.com/track/6qC8Jj1XOxknPm8N7EbzKX
32,"King Kunta","Kendrick Lamar",24273,https://open.spotify.com/track/0N3W5peJUQtI4eyR6GJT5O
33,"Elastic Heart",Sia,24199,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
34,"Let It Go","James Bay",23219,https://open.spotify.com/track/40EB7ABUO6MoWMUwPKptJ7
35,Ayo,"Chris Brown",23129,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
36,"Wasn't Expecting That","Jamie Lawson",22902,https://open.spotify.com/track/2KAwxHTKJzfc4iwrRQzsKp
37,"The Nights",Avicii,22404,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
38,"I Want You To Know",Zedd,22140,https://open.spotify.com/track/19RevBdb9MKUaBIvxSbGd4
39,"Bitch Better Have My Money",Rihanna,21610,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
40,"Stay With Me","Sam Smith",21367,https://open.spotify.com/track/7IHOIqZUUInxjVkko181PB
41,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",21343,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
42,"American Oxygen",Rihanna,20576,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
43,"I Really Like You","Carly Rae Jepsen",20510,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
44,"Prayer In C (Robin Schulz Remix) [Radio Edit]","Lilly Wood and The Prick",20496,https://open.spotify.com/track/5HdUMBc7AhPFhlPDZUpSwf
45,"Lay Me Down","Sam Smith",20441,https://open.spotify.com/track/5Nbe9vDQ1YJdreVIlhZEpP
46,"Dear Future Husband","Meghan Trainor",20234,https://open.spotify.com/track/3cU2wBxuV6nFiuf6PJZNlC
47,"Worth It","Fifth Harmony",19107,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
48,Bills,"LunchMoney Lewis",18777,https://open.spotify.com/track/7rlCeTnjn0plPZkVAcctPZ
49,"Talk Is Cheap","Chet Faker",18215,https://open.spotify.com/track/0240T0gP9w6xEgIciBrfVF
50,"I'm Not The Only One","Sam Smith",16999,https://open.spotify.com/track/1VbhR6D6zUoSTBzvnRonXO
51,"Trap Queen","Fetty Wap",16774,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
52,Photograph,"Ed Sheeran",16368,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
53,"Headlights (feat. Ilsey)","Robin Schulz",13534,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
54,Everyday,"A$AP Rocky",13380,https://open.spotify.com/track/0HCVUpGn7trUlx9rOlxZIK
55,Chandelier,Sia,13373,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
56,"I Don't Mind",Usher,13195,https://open.spotify.com/track/7aXuop4Qambx5Oi3ynsKQr
57,"Talking Body","Tove Lo",13032,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
58,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",13016,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
59,Outside,"Calvin Harris",12740,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb
60,"Heroes (we could be)",Alesso,11905,https://open.spotify.com/track/0VYQK5I08homNvX8SRS37R
61,Riptide,"Vance Joy",11719,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
62,"Cosby Sweater","Hilltop Hoods",11412,https://open.spotify.com/track/0o4ymDquSJdsx1CwXyRSow
63,"I See Fire","Ed Sheeran",11219,https://open.spotify.com/track/5pY3ovFxbvAg7reGZjJQSp
64,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)",Matoma,10970,https://open.spotify.com/track/6HTJZ0TQJVMSKkUGzAOe2h
65,"Nobody Love","Tori Kelly",10946,https://open.spotify.com/track/1jQNuXoP9ppDtPbPqGibRA
66,Believe,"Mumford & Sons",10654,https://open.spotify.com/track/4A57CXs3jAmyNTMAwWaV53
