Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",25719,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"See You Again (feat. Charlie Puth)","Wiz Khalifa",19766,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
3,"Stole the Show",Kygo,18241,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
4,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",16968,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
5,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,16962,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
6,"Rhythm Inside","Loïc Nottet",15394,https://open.spotify.com/track/3O2MsMZHCgSbRGEca5ML1N
7,"Uptown Funk","Mark Ronson",13563,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
8,Firestone,Kygo,13394,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
9,"Where Are Ü Now (with Justin Bieber)","Jack Ü",12497,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
10,"Five More Hours - Deorro x Chris Brown",Deorro,12364,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
11,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",11817,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
12,"Want to Want Me","Jason Derulo",11333,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
13,"Ain't Nobody (Loves Me Better)","Felix Jaehn",11331,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
14,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",11028,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
15,Uncover,"Zara Larsson",10976,https://open.spotify.com/track/3DQisSEr1TLp9H0BEeKiQS
16,King,"Years & Years",10340,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
17,FourFiveSeconds,Rihanna,9855,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
18,"Are You With Me - Radio Edit","Lost Frequencies",9704,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
19,"Worth It","Fifth Harmony",9089,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
20,"Thinking Out Loud","Ed Sheeran",9080,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
21,"Headlights (feat. Ilsey)","Robin Schulz",8595,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
22,"One Last Time","Ariana Grande",8371,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
23,Sugar,"Maroon 5",8347,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
24,"Time of Our Lives",Pitbull,8076,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
25,"Shut Up and Dance","WALK THE MOON",8005,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
26,"Hold My Hand","Jess Glynne",7979,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
27,"Bitch Better Have My Money",Rihanna,7660,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
28,"Trap Queen","Fetty Wap",7592,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
29,"Take Me To Church",Hozier,7499,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
30,"Runaway (U & I)",Galantis,7383,https://open.spotify.com/track/4qABfS1RaGVXdBhj2BQyhO
31,"Goodbye (feat. Lyse) - Radio Edit",Feder,7314,https://open.spotify.com/track/3PnOOmkxruDDAiMYZZTgO7
32,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",7230,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
33,"Intoxicated - Original Mix","Martin Solveig",7013,https://open.spotify.com/track/0Dtwxkkn8fJKtqtea7fd1C
34,"American Oxygen",Rihanna,7002,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
35,Somebody,"Natalie La Rose",6990,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
36,Christine,"Christine and the Queens",6935,https://open.spotify.com/track/6lEl2aNhhY9QZCijIztEwj
