Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",23070,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"See You Again (feat. Charlie Puth)","Wiz Khalifa",16755,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
3,"Stole the Show",Kygo,15376,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
4,"Are You With Me - Radio Edit","Lost Frequencies",14176,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
5,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,14141,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
6,"Want to Want Me","Jason Derulo",13509,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
7,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",12215,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
8,"Ain't Nobody (Loves Me Better)","Felix Jaehn",11579,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
9,"Headlights (feat. Ilsey)","Robin Schulz",11399,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
10,Firestone,Kygo,11262,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
11,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",10794,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
12,"Uptown Funk","Mark Ronson",10706,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
13,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",10158,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
14,King,"Years & Years",9772,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
15,"Where Are Ü Now (with Justin Bieber)","Jack Ü",9652,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
16,"Five More Hours - Deorro x Chris Brown",Deorro,9452,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
17,FourFiveSeconds,Rihanna,8427,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
18,"Trap Queen","Fetty Wap",8221,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
19,"Bitch Better Have My Money",Rihanna,7937,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
20,"Time of Our Lives",Pitbull,7832,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
21,Sugar,"Maroon 5",7779,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
22,"Thinking Out Loud","Ed Sheeran",7577,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
