Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",6349,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"See You Again (feat. Charlie Puth)","Wiz Khalifa",4760,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
3,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",4728,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
4,"Stole the Show",Kygo,4483,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
5,"Want to Want Me","Jason Derulo",4200,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
6,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,3871,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
7,"Where Are Ü Now (with Justin Bieber)","Jack Ü",3730,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
8,"Uptown Funk","Mark Ronson",3657,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
9,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",3445,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
10,"Headlights (feat. Ilsey)","Robin Schulz",3080,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
11,"Talking Body","Tove Lo",2851,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
12,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",2654,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
13,"Are You With Me - Radio Edit","Lost Frequencies",2638,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
14,"Time of Our Lives",Pitbull,2589,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
15,"Trap Queen","Fetty Wap",2573,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
16,"Shut Up and Dance","WALK THE MOON",2564,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
17,King,"Years & Years",2558,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
18,"Five More Hours - Deorro x Chris Brown",Deorro,2553,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
19,"Hold My Hand","Jess Glynne",2545,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
20,Somebody,"Natalie La Rose",2504,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
21,"Dear Future Husband","Meghan Trainor",2491,https://open.spotify.com/track/3cU2wBxuV6nFiuf6PJZNlC
22,"Worth It","Fifth Harmony",2488,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
23,Firestone,Kygo,2466,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
24,"Take Me To Church",Hozier,2462,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
25,"I Really Like You","Carly Rae Jepsen",2429,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
26,FourFiveSeconds,Rihanna,2401,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
27,"Thinking Out Loud","Ed Sheeran",2319,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
28,"The Nights",Avicii,2247,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
29,"Secrets - Radio Edit",Tiësto,2213,https://open.spotify.com/track/6eE5LWw0DpIbTOdKwDUoE8
30,"American Oxygen",Rihanna,2155,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
31,"Bitch Better Have My Money",Rihanna,1895,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
32,"One Last Time","Ariana Grande",1860,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
33,"Another You","Armin van Buuren",1805,https://open.spotify.com/track/1u6LOWtdWA2wwa3CryIBsS
34,"Elastic Heart",Sia,1782,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
35,Sugar,"Maroon 5",1746,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
36,Outside,"Calvin Harris",1714,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb
37,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",1632,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
38,"I Want You To Know",Zedd,1598,https://open.spotify.com/track/19RevBdb9MKUaBIvxSbGd4
39,Ayo,"Chris Brown",1571,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
40,"Don't Look Down","Martin Garrix",1500,https://open.spotify.com/track/5M9jOReAKGZ2AttVefFjTY
41,Toulava,Sebastian,1488,https://open.spotify.com/track/5McF8ExAQ3TA28BH7wbsyb
42,"Peanut Butter Jelly",Galantis,1480,https://open.spotify.com/track/6fmbKY1teQRfsIqVRlnTsM
43,"Let Her Go",Passenger,1463,https://open.spotify.com/track/7DFNE7NO0raLIUbgzY2rzm
44,"Stay With Me","Sam Smith",1463,https://open.spotify.com/track/7IHOIqZUUInxjVkko181PB
45,"Runaway (U & I)",Galantis,1453,https://open.spotify.com/track/4qABfS1RaGVXdBhj2BQyhO
46,"Prayer In C (Robin Schulz Remix) [Radio Edit]","Lilly Wood and The Prick",1417,https://open.spotify.com/track/5HdUMBc7AhPFhlPDZUpSwf
47,"I'm Not The Only One","Sam Smith",1400,https://open.spotify.com/track/1VbhR6D6zUoSTBzvnRonXO
48,"Heroes (we could be)",Alesso,1366,https://open.spotify.com/track/0VYQK5I08homNvX8SRS37R
49,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)",Matoma,1364,https://open.spotify.com/track/6HTJZ0TQJVMSKkUGzAOe2h
50,"Next To Me","Otto Knows",1352,https://open.spotify.com/track/6ZixfeFT8V0Nle1rMZAekY
51,"Hold Back The River","James Bay",1342,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
52,"I Don't Mind",Usher,1325,https://open.spotify.com/track/7aXuop4Qambx5Oi3ynsKQr
53,"Nothing Without Love","Nate Ruess",1299,https://open.spotify.com/track/1lAnSi0iSTbto9WnRcnyC1
54,"Ain't Nobody (Loves Me Better)","Felix Jaehn",1271,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
55,"The Night Is Still Young","Nicki Minaj",1226,https://open.spotify.com/track/75u9uswC5UMdtv4SQ3xSYf
56,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",1176,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
57,"Someone New",Hozier,1172,https://open.spotify.com/track/2CyE2IRLBN1lWdrELMqgwx
58,Renegades,"X Ambassadors",1148,https://open.spotify.com/track/3wLfy6C6qhOxHpU64YYKGz
59,Geronimo,Sheppard,1146,https://open.spotify.com/track/19cL3SOKpwnwoKkII7U3Wh
60,Celibat,Slza,1128,https://open.spotify.com/track/2snWZGkoNi7nwpTCGwuUIz
61,"Cool Kids",Echosmith,1054,https://open.spotify.com/track/13P5rwmk2EsoFRIz9UCeh9
62,"Tenerife Sea","Ed Sheeran",1045,https://open.spotify.com/track/1HbcclMpw0q2WDWpdGCKdS
63,"Snake Eyes","Mumford & Sons",1037,https://open.spotify.com/track/3iZqyq5JXvhkpWHDIjDYIM
64,Stitches,"Shawn Mendes",1036,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
65,"I Love It When You Cry (Moxoki) - Radio Edit","Steve Aoki",1032,https://open.spotify.com/track/6vscP7Fweq7fwosyliwjRq
66,Chandelier,Sia,1010,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
67,Blame,"Calvin Harris",1007,https://open.spotify.com/track/07nH4ifBxUB4lZcsf44Brn
