Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",292235,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"Ain't Nobody (Loves Me Better)","Felix Jaehn",285654,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
3,"See You Again (feat. Charlie Puth)","Wiz Khalifa",225561,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
4,"Are You With Me - Radio Edit","Lost Frequencies",199822,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
5,"Want to Want Me","Jason Derulo",199616,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
6,"Headlights (feat. Ilsey)","Robin Schulz",185246,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
7,"Stole the Show",Kygo,175919,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
8,"Don't Worry",Madcon,166891,https://open.spotify.com/track/2Wf0uMfCpwLO1B2Up3NbXH
9,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,159239,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
10,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",138600,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
11,King,"Years & Years",137958,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
12,"Five More Hours - Deorro x Chris Brown",Deorro,137753,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
13,"I Really Like You","Carly Rae Jepsen",126907,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
14,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",115184,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
15,"Wolke 4","Philipp Dittberner",114265,https://open.spotify.com/track/0ov4JLCWWosSQ659PFAHQ6
16,"Uptown Funk","Mark Ronson",111213,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
17,FourFiveSeconds,Rihanna,110802,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
18,"Intoxicated - Radio Edit","Martin Solveig",110486,https://open.spotify.com/track/03tJhmP71vPD7pIenJlWJ6
19,Firestone,Kygo,107460,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
20,"Worth It","Fifth Harmony",106562,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
21,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",103508,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
22,"Wünsch dir was",Genetikk,103220,https://open.spotify.com/track/2Nqpt9yRcJFb57MFejgc7b
23,Ayo,"Chris Brown",98370,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
24,"Time of Our Lives",Pitbull,95135,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
25,"Hold Back The River","James Bay",92761,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
26,"Where Are Ü Now (with Justin Bieber)","Jack Ü",91721,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
27,"Traffic Lights",Lena,90755,https://open.spotify.com/track/6K6zesZzfkwVhjBtOKA6F9
28,"Hold My Hand","Jess Glynne",87511,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
29,"American Oxygen",Rihanna,86657,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
30,"Unter Meiner Haut - Radio Edit","Gestört aber GeiL",81620,https://open.spotify.com/track/3BNGkBfm4CyMyMACLfKf0m
