Position,"Track Name",Artist,Streams,URL
1,"See You Again (feat. Charlie Puth)","Wiz Khalifa",89364,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
2,"Lean On (feat. MØ & DJ Snake)","Major Lazer",83806,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
3,"Stole the Show",Kygo,72217,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
4,Søndagsbarn,Suspekt,70745,https://open.spotify.com/track/6EjUUdgsEa1g9s0CG6lnq9
5,"Want to Want Me","Jason Derulo",65702,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
6,"Nasty Freestyle",T-Wayne,63572,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
7,"Where Are Ü Now (with Justin Bieber)","Jack Ü",60702,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
8,"Trap Queen","Fetty Wap",60354,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
9,"Are You With Me - Radio Edit","Lost Frequencies",58903,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
10,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",58791,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
11,King,"Years & Years",50911,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
12,"Five More Hours - Deorro x Chris Brown",Deorro,49206,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
13,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)",Matoma,46737,https://open.spotify.com/track/6HTJZ0TQJVMSKkUGzAOe2h
14,"Smile & Wave",HEDEGAARD,44870,https://open.spotify.com/track/16BHDvmTvB0ESnFUTmRhJF
15,FourFiveSeconds,Rihanna,44579,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
16,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",40917,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
17,"Dumme Penge",KESI,40395,https://open.spotify.com/track/1MXotDNEeGnCONhaP7yEan
18,Heat,"Scarlet Pleasure",40304,https://open.spotify.com/track/0LayYJ9vANpqVjmnTKppvL
19,"American Oxygen",Rihanna,37967,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
20,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,36632,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
21,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",35926,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
22,"Talking Body","Tove Lo",35611,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
23,"Headlights (feat. Ilsey)","Robin Schulz",35088,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
24,"Før Vi Falder",NOAH,33942,https://open.spotify.com/track/4C6EjprNWS29Nuk71EF9b2
25,Somebody,"Natalie La Rose",33694,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
26,"Ain't Nobody (Loves Me Better)","Felix Jaehn",33645,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
27,"I Really Like You","Carly Rae Jepsen",32357,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
28,"One Last Time","Ariana Grande",32163,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
29,Sugar,"Maroon 5",31967,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
30,"Uptown Funk","Mark Ronson",31157,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
31,Ayo,"Chris Brown",30439,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
32,"Thinking Out Loud","Ed Sheeran",30009,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
33,"Hold Back The River","James Bay",29925,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
34,Firestone,Kygo,29516,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
35,"Bitch Better Have My Money",Rihanna,28922,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
36,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",28784,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
37,Ganjaman,Alfons,27645,https://open.spotify.com/track/084GmBpNWnjuPI7fdwgp6X
38,"Time of Our Lives",Pitbull,27122,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
39,"Vi To Datid Nu",Cisilia,25376,https://open.spotify.com/track/3RCMQYVBmQt3jXln4Y5CGN
40,Veninder,TopGunn,24642,https://open.spotify.com/track/4vp7VMp3Xs5fdqRDVmXJVE
41,"Take Me To Church",Hozier,24622,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
42,Luftballon,Cisilia,23317,https://open.spotify.com/track/4MBhxBEGNcUSFNsFcOgQ3A
43,"Lille Hjerte (feat. Shaka Loveless)",Ankerstjerne,22471,https://open.spotify.com/track/0i14sz2jVEXk83LDq9b0GW
44,UFO,Vigiland,21864,https://open.spotify.com/track/3zYqHQ4tu4pB2acp9Lltnz
45,"Like I Can","Sam Smith",21121,https://open.spotify.com/track/2DnBQKrh8aodN4dBSdXAUh
46,"The Nights",Avicii,21110,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
47,Now,Kato,21017,https://open.spotify.com/track/2N8666PSLrI5aJpb1P3bql
48,Samsara,"Tungevaag & Raaban",20819,https://open.spotify.com/track/6oJflQkp7lFXOQce4wPTAW
49,"I Want You To Know",Zedd,20085,https://open.spotify.com/track/19RevBdb9MKUaBIvxSbGd4
50,"Stay With Me","Sam Smith",19376,https://open.spotify.com/track/7IHOIqZUUInxjVkko181PB
51,"Worth It","Fifth Harmony",15803,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
52,"Dear Future Husband","Meghan Trainor",15567,https://open.spotify.com/track/3cU2wBxuV6nFiuf6PJZNlC
53,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",15268,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
54,"Shut Up and Dance","WALK THE MOON",14408,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
55,"Hold My Hand","Jess Glynne",13781,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
56,"Waiting For Love",Avicii,13746,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ
57,Stitches,"Shawn Mendes",13417,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
58,"Next To Me","Otto Knows",12991,https://open.spotify.com/track/6ZixfeFT8V0Nle1rMZAekY
59,A.P.MØLLER,MellemFingaMuzik,12870,https://open.spotify.com/track/7nE4U3ILopI617knTp9NyC
60,"Ghost Town","Adam Lambert",12705,https://open.spotify.com/track/7Df0z75yVuHOFEuAbk40lA
61,"I See Fire","Ed Sheeran",12422,https://open.spotify.com/track/5pY3ovFxbvAg7reGZjJQSp
