Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",3187,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"Stole the Show",Kygo,2479,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
3,"See You Again (feat. Charlie Puth)","Wiz Khalifa",2255,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
4,"Headlights (feat. Ilsey)","Robin Schulz",1981,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
5,"Where Are Ü Now (with Justin Bieber)","Jack Ü",1941,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
6,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",1921,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
7,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,1789,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
8,"Goodbye To Yesterday","Elina Born & Stig Rästa",1725,https://open.spotify.com/track/0RSkLhxAc601EgeKkyXNVB
9,"Five More Hours - Deorro x Chris Brown",Deorro,1661,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
10,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",1613,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
11,"Uptown Funk","Mark Ronson",1591,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
12,"Are You With Me - Radio Edit","Lost Frequencies",1544,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
13,King,"Years & Years",1400,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
14,"Want to Want Me","Jason Derulo",1383,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
15,"Talking Body","Tove Lo",1278,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
16,Firestone,Kygo,1174,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
17,"Hold My Hand","Jess Glynne",1159,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
18,"Thinking Out Loud","Ed Sheeran",1143,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
19,FourFiveSeconds,Rihanna,1136,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
20,"Another You","Armin van Buuren",1133,https://open.spotify.com/track/1u6LOWtdWA2wwa3CryIBsS
21,Heroes,"Måns Zelmerlöw",1089,https://open.spotify.com/track/4ciaNqHWA2IzHphZaVRzHI
22,"Trap Queen","Fetty Wap",1088,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
23,"Secrets - Radio Edit",Tiësto,1081,https://open.spotify.com/track/6eE5LWw0DpIbTOdKwDUoE8
24,"I Really Like You","Carly Rae Jepsen",1071,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
25,"Time of Our Lives",Pitbull,1061,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
26,"Bitch Better Have My Money",Rihanna,1031,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
27,"American Oxygen",Rihanna,1012,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
28,Somebody,"Natalie La Rose",1008,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
