Position,"Track Name",Artist,Streams,URL
1,"El Perdón","Nicky Jam",176347,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
2,"Lean On (feat. MØ & DJ Snake)","Major Lazer",163776,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
3,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,135149,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
4,"Are You With Me - Radio Edit","Lost Frequencies",116375,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
5,"Want to Want Me","Jason Derulo",111387,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
6,"See You Again (feat. Charlie Puth)","Wiz Khalifa",110503,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
7,"Uptown Funk","Mark Ronson",101378,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
8,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",97166,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
9,"He Llorado (Como Un Niño)","Juan Magán",93919,https://open.spotify.com/track/0T60IXa1r17UghrbuV03k0
10,"Mi Nuevo Vicio","Paulina Rubio",89799,https://open.spotify.com/track/6xIoscaYhKmy8o4iuX5BpO
11,"La Gozadera","Gente De Zona",87510,https://open.spotify.com/track/3ip2477VESffCtFkPFT0ov
12,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",82450,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
13,"Él No Te Da",Dasoul,80898,https://open.spotify.com/track/0lo8dSDuhkrYoPdfUt3hSg
14,"Time of Our Lives",Pitbull,79594,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
15,"Sígueme Y Te Sigo","Daddy Yankee",77787,https://open.spotify.com/track/1ClQpnPU9M6mQpXGvhGPvQ
16,"El Taxi","Osmani Garcia ""La Voz""",76925,https://open.spotify.com/track/20DkbKFz8sevD5kyiubyTa
17,King,"Years & Years",76527,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
18,Bandida,"Danny Romero",74030,https://open.spotify.com/track/48hdpA08wTVhXVdU2uC95b
19,"Thinking Out Loud","Ed Sheeran",73271,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
20,"Headlights (feat. Ilsey)","Robin Schulz",71884,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
21,"Perdido En Tus Ojos","Don Omar",69811,https://open.spotify.com/track/2AEv7FST9psc1aQXT5bJzL
22,"Stole the Show",Kygo,69357,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
23,Firestone,Kygo,68203,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
