Position,"Track Name",Artist,Streams,URL
1,Pämppää,"Teflon Brothers",67263,https://open.spotify.com/track/6xQjgKUjjKgLDfOibSRyRM
2,Vauvoja,Kasmir,61163,https://open.spotify.com/track/6YXrqPBoNwHZBSshTe7HDf
3,"Lean On (feat. MØ & DJ Snake)","Major Lazer",59664,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
4,Springfield,"Martin Tungevaag",57197,https://open.spotify.com/track/0njrmvVVWIrcEXkUA4MOO7
5,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",55316,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
6,"Are You With Me - Radio Edit","Lost Frequencies",50896,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
7,"See You Again (feat. Charlie Puth)","Wiz Khalifa",47105,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
8,"Stole the Show",Kygo,42185,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
9,"Kipinän hetki",Robin,41643,https://open.spotify.com/track/3HvdE9QOAyfsnzx3Lp02OE
10,"Five More Hours - Deorro x Chris Brown",Deorro,37190,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
11,"Tuulisii - feat. Pete Parkkonen",JVG,35391,https://open.spotify.com/track/1zbwVVLOInai4a1ZmlmPp8
12,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)",Matoma,34380,https://open.spotify.com/track/6HTJZ0TQJVMSKkUGzAOe2h
13,Ganjaman,Alfons,32578,https://open.spotify.com/track/084GmBpNWnjuPI7fdwgp6X
14,"Headlights (feat. Ilsey)","Robin Schulz",30466,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
15,"Where Are Ü Now (with Justin Bieber)","Jack Ü",30458,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
16,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",29322,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
17,"Mimmit fiilaa","Mikael Gabriel",28020,https://open.spotify.com/track/059ZdcYEsV1MkiQGdKfNdV
18,King,"Years & Years",27904,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
19,"Want to Want Me","Jason Derulo",27839,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
20,Samsara,"Tungevaag & Raaban",27167,https://open.spotify.com/track/6oJflQkp7lFXOQce4wPTAW
21,"Ah Yeah So What - Radio Edit","Will Sparks",26201,https://open.spotify.com/track/37PuGmhHTzDbbaUAFKj6bJ
22,"Peto on irti","Antti Tuisku",24652,https://open.spotify.com/track/0VgYmfkLUd2UicGu3D8dWF
23,"Ghost Town","Adam Lambert",23852,https://open.spotify.com/track/7Df0z75yVuHOFEuAbk40lA
24,"Uptown Funk","Mark Ronson",23312,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
25,2080-luvulla,SANNI,23143,https://open.spotify.com/track/6QgeUZRKSrOUR6HphHcBG3
26,"American Oxygen",Rihanna,22373,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
27,"I Really Like You","Carly Rae Jepsen",22124,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
28,Firestone,Kygo,21850,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
29,"Time of Our Lives",Pitbull,21625,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
30,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",21427,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
