Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",95831,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,74707,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
3,"See You Again (feat. Charlie Puth)","Wiz Khalifa",61112,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
4,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",47671,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
5,"Est-ce que tu m'aimes ? - Pilule Bleue","Maître Gims",46512,https://open.spotify.com/track/71Z03Q1F7P0hz6mxv7qOmS
6,"Stole the Show",Kygo,41652,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
7,"Uptown Funk","Mark Ronson",41110,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
8,Homeless,"Marina Kaye",40480,https://open.spotify.com/track/47IcfW83MnhrIsZWEVSmDs
9,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",38612,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
10,"American Oxygen",Rihanna,36003,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
11,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",35040,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
12,Firestone,Kygo,33893,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
13,"Are You With Me - Radio Edit","Lost Frequencies",33887,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
14,Sugar,"Maroon 5",33039,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
15,"Elastic Heart",Sia,30413,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
16,"Want to Want Me","Jason Derulo",29647,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
17,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",29546,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
18,"Bitch Better Have My Money",Rihanna,29037,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
19,"Take Me To Church",Hozier,28583,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
20,"I Really Like You","Carly Rae Jepsen",28500,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
21,Uncover,"Zara Larsson",28298,https://open.spotify.com/track/3DQisSEr1TLp9H0BEeKiQS
22,Ayo,"Chris Brown",27601,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
23,"Avenir - Radio Edit",Louane,27587,https://open.spotify.com/track/7xBWOrE5vHJi9fdfcXIy9Z
24,FourFiveSeconds,Rihanna,27254,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
25,"King Kunta","Kendrick Lamar",25863,https://open.spotify.com/track/0N3W5peJUQtI4eyR6GJT5O
26,"Headlights (feat. Ilsey)","Robin Schulz",25664,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
27,"On verra",Nekfeu,25426,https://open.spotify.com/track/6mY7PiGjZ1Z57GkNPjoncq
28,"Prayer In C (Robin Schulz Remix) [Radio Edit]","Lilly Wood and The Prick",25259,https://open.spotify.com/track/5HdUMBc7AhPFhlPDZUpSwf
29,King,"Years & Years",25139,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
