Position,"Track Name",Artist,Streams,URL
1,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,342277,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
2,"Lean On (feat. MØ & DJ Snake)","Major Lazer",294951,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
3,"See You Again (feat. Charlie Puth)","Wiz Khalifa",292610,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
4,"Where Are Ü Now (with Justin Bieber)","Jack Ü",263916,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
5,Bills,"LunchMoney Lewis",216459,https://open.spotify.com/track/7rlCeTnjn0plPZkVAcctPZ
6,"I Really Like You","Carly Rae Jepsen",194315,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
7,"Hold My Hand","Jess Glynne",188806,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
8,Firestone,Kygo,182981,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
9,King,"Years & Years",171687,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
10,"Uptown Funk","Mark Ronson",171154,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
11,Sugar,"Maroon 5",169125,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
12,"Runaway (U & I)",Galantis,166671,https://open.spotify.com/track/4qABfS1RaGVXdBhj2BQyhO
13,"Hold Back The River","James Bay",163462,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
14,Ayo,"Chris Brown",156185,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
15,"Trap Queen","Fetty Wap",154741,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
16,"Take Me To Church",Hozier,153828,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
17,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",149463,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
18,"All Cried Out (feat. Alex Newell)",Blonde,138809,https://open.spotify.com/track/6n7rJUcwmQDestMYXoSoZF
19,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",135890,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
