Position,"Track Name",Artist,Streams,URL
1,"See You Again (feat. Charlie Puth)","Wiz Khalifa",2872063,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
2,"Lean On (feat. MØ & DJ Snake)","Major Lazer",2804192,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
3,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,1802982,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
4,"Where Are Ü Now (with Justin Bieber)","Jack Ü",1786495,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
5,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",1763181,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
6,"Want to Want Me","Jason Derulo",1692647,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
7,"Stole the Show",Kygo,1689804,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
8,"Uptown Funk","Mark Ronson",1672047,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
9,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",1579785,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
10,"Trap Queen","Fetty Wap",1550992,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
11,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",1444768,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
12,Sugar,"Maroon 5",1389181,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
13,"Are You With Me - Radio Edit","Lost Frequencies",1293725,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
14,"Thinking Out Loud","Ed Sheeran",1282608,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
15,"Time of Our Lives",Pitbull,1228942,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
16,King,"Years & Years",1173923,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
17,FourFiveSeconds,Rihanna,1163091,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
18,"Headlights (feat. Ilsey)","Robin Schulz",1156127,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
19,"Five More Hours - Deorro x Chris Brown",Deorro,1144928,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
20,"Take Me To Church",Hozier,1131748,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
21,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",1129819,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
22,"I Really Like You","Carly Rae Jepsen",1104405,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
23,Firestone,Kygo,1097988,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
24,"Nasty Freestyle",T-Wayne,1093343,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
25,"Shut Up and Dance","WALK THE MOON",1031096,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
26,"Bitch Better Have My Money",Rihanna,991724,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
27,"One Last Time","Ariana Grande",952105,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
28,Somebody,"Natalie La Rose",941751,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
29,"Worth It","Fifth Harmony",938078,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
30,"Talking Body","Tove Lo",930959,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
31,"Hold My Hand","Jess Glynne",900502,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
