Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",4168,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"See You Again (feat. Charlie Puth)","Wiz Khalifa",3282,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
3,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",3237,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
4,"Stole the Show",Kygo,2958,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
5,"Uptown Funk","Mark Ronson",2653,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
6,"Worth It","Fifth Harmony",2634,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
7,"Want to Want Me","Jason Derulo",2467,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
8,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,2315,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
9,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",2310,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
10,"Where Are Ü Now (with Justin Bieber)","Jack Ü",2260,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
11,"Trap Queen","Fetty Wap",2032,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
12,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",1989,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
13,"Take Me To Church",Hozier,1905,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
14,"Thinking Out Loud","Ed Sheeran",1790,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
15,Firestone,Kygo,1683,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
16,"Five More Hours - Deorro x Chris Brown",Deorro,1664,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
17,Somebody,"Natalie La Rose",1645,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
18,"Time of Our Lives",Pitbull,1626,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
19,King,"Years & Years",1590,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
20,"Headlights (feat. Ilsey)","Robin Schulz",1533,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
21,"Bitch Better Have My Money",Rihanna,1508,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
22,"Shut Up and Dance","WALK THE MOON",1467,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
23,FourFiveSeconds,Rihanna,1339,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
24,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",1335,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
25,"Talking Body","Tove Lo",1322,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
26,"Dear Future Husband","Meghan Trainor",1313,https://open.spotify.com/track/3cU2wBxuV6nFiuf6PJZNlC
27,"American Oxygen",Rihanna,1255,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
28,"Are You With Me - Radio Edit","Lost Frequencies",1243,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
29,"The Nights",Avicii,1240,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
30,Outside,"Calvin Harris",1227,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb
31,"Secrets - Radio Edit",Tiësto,1208,https://open.spotify.com/track/6eE5LWw0DpIbTOdKwDUoE8
32,"One Last Time","Ariana Grande",1206,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
33,"Hold My Hand","Jess Glynne",1202,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
34,"I Really Like You","Carly Rae Jepsen",1165,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
35,Ayo,"Chris Brown",1165,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
36,"Elastic Heart",Sia,1133,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
37,"Stay With Me","Sam Smith",1074,https://open.spotify.com/track/7IHOIqZUUInxjVkko181PB
38,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)",Matoma,1016,https://open.spotify.com/track/6HTJZ0TQJVMSKkUGzAOe2h
