Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",7095,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",4877,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
3,"See You Again (feat. Charlie Puth)","Wiz Khalifa",4756,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
4,"Stole the Show",Kygo,4365,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
5,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,3639,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
6,"Uptown Funk","Mark Ronson",3566,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
7,"Headlights (feat. Ilsey)","Robin Schulz",3389,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
8,"Where Are Ü Now (with Justin Bieber)","Jack Ü",3381,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
9,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",3301,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
10,"Want to Want Me","Jason Derulo",3125,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
11,"Time of Our Lives",Pitbull,2872,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
12,"Five More Hours - Deorro x Chris Brown",Deorro,2847,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
13,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",2766,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
14,Firestone,Kygo,2739,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
15,"Worth It","Fifth Harmony",2621,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
16,"Trap Queen","Fetty Wap",2545,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
17,"Take Me To Church",Hozier,2464,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
18,King,"Years & Years",2440,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
19,"The Nights",Avicii,2293,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
20,Somebody,"Natalie La Rose",2292,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
21,"Talking Body","Tove Lo",2230,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
22,"Are You With Me - Radio Edit","Lost Frequencies",2201,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
23,"Secrets - Radio Edit",Tiësto,2185,https://open.spotify.com/track/6eE5LWw0DpIbTOdKwDUoE8
24,"Bitch Better Have My Money",Rihanna,2177,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
25,"Hold My Hand","Jess Glynne",2167,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
26,FourFiveSeconds,Rihanna,2147,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
27,"Shut Up and Dance","WALK THE MOON",2136,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
28,"Dear Future Husband","Meghan Trainor",2025,https://open.spotify.com/track/3cU2wBxuV6nFiuf6PJZNlC
29,"American Oxygen",Rihanna,1969,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
30,"Another You","Armin van Buuren",1957,https://open.spotify.com/track/1u6LOWtdWA2wwa3CryIBsS
31,"Thinking Out Loud","Ed Sheeran",1949,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
32,"Ain't Nobody (Loves Me Better)","Felix Jaehn",1932,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
33,Outside,"Calvin Harris",1902,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb
34,Walk,Kwabs,1888,https://open.spotify.com/track/2ZvsMMI4aOkMUo92MKQzFI
35,"I'm an Albatraoz",AronChupa,1816,https://open.spotify.com/track/5MhsZlmKJG6X5kTHkdwC4B
36,Ayo,"Chris Brown",1802,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
37,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",1759,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
38,"Prayer In C (Robin Schulz Remix) [Radio Edit]","Lilly Wood and The Prick",1687,https://open.spotify.com/track/5HdUMBc7AhPFhlPDZUpSwf
39,"I Really Like You","Carly Rae Jepsen",1672,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
40,apuveddmeg,Wellhello,1635,https://open.spotify.com/track/3kzReJLhcuSHDB0TVwq1o9
41,"Elastic Heart",Sia,1631,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
42,Sugar,"Maroon 5",1630,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
43,"Valami Van A Levegőben","Halott Pénz",1583,https://open.spotify.com/track/3IFfiwCYhCq88aUWxrYxzz
44,"One Last Time","Ariana Grande",1539,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
45,"I Want You To Know",Zedd,1539,https://open.spotify.com/track/19RevBdb9MKUaBIvxSbGd4
46,"Heroes (we could be)",Alesso,1537,https://open.spotify.com/track/0VYQK5I08homNvX8SRS37R
47,"Don't Look Down","Martin Garrix",1503,https://open.spotify.com/track/5M9jOReAKGZ2AttVefFjTY
48,"I Don't Mind",Usher,1459,https://open.spotify.com/track/7aXuop4Qambx5Oi3ynsKQr
49,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)",Matoma,1341,https://open.spotify.com/track/6HTJZ0TQJVMSKkUGzAOe2h
50,"Stay With Me","Sam Smith",1321,https://open.spotify.com/track/7IHOIqZUUInxjVkko181PB
51,"I'm Not The Only One","Sam Smith",1309,https://open.spotify.com/track/1VbhR6D6zUoSTBzvnRonXO
52,"Hold Back The River","James Bay",1286,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
53,"I Love It When You Cry (Moxoki) - Radio Edit","Steve Aoki",1267,https://open.spotify.com/track/6vscP7Fweq7fwosyliwjRq
54,"Peanut Butter Jelly",Galantis,1228,https://open.spotify.com/track/6fmbKY1teQRfsIqVRlnTsM
55,"Next To Me","Otto Knows",1221,https://open.spotify.com/track/6ZixfeFT8V0Nle1rMZAekY
56,Secrets,Tiësto,1147,https://open.spotify.com/track/6YcsrI93YwZI8Pw0KRpgPJ
57,"Utolsó Tánc","Punnany Massif",1126,https://open.spotify.com/track/5WWtFm88jj41w7hWN2kRlN
58,Chandelier,Sia,1105,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
59,"Nothing Without Love","Nate Ruess",1083,https://open.spotify.com/track/1lAnSi0iSTbto9WnRcnyC1
60,"Let Her Go",Passenger,1082,https://open.spotify.com/track/7DFNE7NO0raLIUbgzY2rzm
61,"Sokszor volt már így",Wellhello,1063,https://open.spotify.com/track/444zFYPghWnKLueuaqzNxI
62,Élvezd,"Punnany Massif",1058,https://open.spotify.com/track/61NTBjloQrLgVD5manBWhC
63,Blame,"Calvin Harris",1048,https://open.spotify.com/track/07nH4ifBxUB4lZcsf44Brn
64,Everyday,"A$AP Rocky",1011,https://open.spotify.com/track/0HCVUpGn7trUlx9rOlxZIK
65,"The Night Is Still Young","Nicki Minaj",1009,https://open.spotify.com/track/75u9uswC5UMdtv4SQ3xSYf
