Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",20255,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,19081,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
3,"See You Again (feat. Charlie Puth)","Wiz Khalifa",17777,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
4,Firestone,Kygo,12426,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
5,King,"Years & Years",12328,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
6,"Runaway (U & I)",Galantis,12012,https://open.spotify.com/track/4qABfS1RaGVXdBhj2BQyhO
7,Bills,"LunchMoney Lewis",11750,https://open.spotify.com/track/7rlCeTnjn0plPZkVAcctPZ
8,"Uptown Funk","Mark Ronson",11671,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
9,"Where Are Ü Now (with Justin Bieber)","Jack Ü",11521,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
10,"Want to Want Me","Jason Derulo",11197,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
11,"I Really Like You","Carly Rae Jepsen",11167,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
12,"Stole the Show",Kygo,11054,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
13,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",10874,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
14,"Hold My Hand","Jess Glynne",10755,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
15,"Hold Back The River","James Bay",10207,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
16,Sugar,"Maroon 5",10161,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
17,"Take Me To Church",Hozier,8991,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
18,"Thinking Out Loud","Ed Sheeran",8914,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
19,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",8685,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
20,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",8527,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
21,FourFiveSeconds,Rihanna,8274,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
22,"Five More Hours - Deorro x Chris Brown",Deorro,8114,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
23,"Someone New",Hozier,8034,https://open.spotify.com/track/2CyE2IRLBN1lWdrELMqgwx
24,"Elastic Heart",Sia,7710,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
25,"One Last Time","Ariana Grande",7599,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
26,Ayo,"Chris Brown",7413,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
27,"Are You With Me - Radio Edit","Lost Frequencies",7346,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
28,"Dear Future Husband","Meghan Trainor",7167,https://open.spotify.com/track/3cU2wBxuV6nFiuf6PJZNlC
29,"Prayer In C (Robin Schulz Remix) [Radio Edit]","Lilly Wood and The Prick",7165,https://open.spotify.com/track/5HdUMBc7AhPFhlPDZUpSwf
30,"Time of Our Lives",Pitbull,7008,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
31,"Headlights (feat. Ilsey)","Robin Schulz",6958,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
32,"The Nights",Avicii,6812,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
33,Chandelier,Sia,6368,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
34,"Trap Queen","Fetty Wap",6354,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
35,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)",Matoma,6208,https://open.spotify.com/track/6HTJZ0TQJVMSKkUGzAOe2h
36,Trouble,"Iggy Azalea",6198,https://open.spotify.com/track/6iAQHemp1D2VSSPk74Dor3
37,"Heroes (we could be)",Alesso,5964,https://open.spotify.com/track/0VYQK5I08homNvX8SRS37R
38,Believe,"Mumford & Sons",5691,https://open.spotify.com/track/4A57CXs3jAmyNTMAwWaV53
39,"Lay Me Down","Sam Smith",5664,https://open.spotify.com/track/5Nbe9vDQ1YJdreVIlhZEpP
