Position,"Track Name",Artist,Streams,URL
1,"See You Again (feat. Charlie Puth)","Wiz Khalifa",1789,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
2,"Want to Want Me","Jason Derulo",1700,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
3,Heroes,"Måns Zelmerlöw",1613,https://open.spotify.com/track/4ciaNqHWA2IzHphZaVRzHI
4,"Where Are Ü Now (with Justin Bieber)","Jack Ü",1560,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
5,"Stole the Show",Kygo,1508,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
6,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,1403,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
7,"Trap Queen","Fetty Wap",1339,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
8,"Uptown Funk","Mark Ronson",1296,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
9,"Bitch Better Have My Money",Rihanna,1221,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
10,King,"Years & Years",1199,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
11,"Are You With Me - Radio Edit","Lost Frequencies",1170,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
12,"A Monster Like Me",Mørland,1051,https://open.spotify.com/track/0GQiToyThTXwyIw5IFsKEw
13,"Five More Hours - Deorro x Chris Brown",Deorro,1050,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
14,"Golden Boy - Eurovision 2015 - Israel","Nadav Guedj",1040,https://open.spotify.com/track/4pCBCEWeBGJxdRWqT8GQkY
