Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",75046,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"See You Again (feat. Charlie Puth)","Wiz Khalifa",68703,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
3,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,67410,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
4,"El Mismo Sol","Alvaro Soler",56050,https://open.spotify.com/track/4pPvzPTXbsBWZFTsXEycPi
5,"Want to Want Me","Jason Derulo",49881,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
6,Firestone,Kygo,49782,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
7,"El Perdón","Nicky Jam",49359,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
8,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",47510,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
9,"Maria Salvador",J-AX,43956,https://open.spotify.com/track/6X0NB7WEgWQUO5Ekcnm3c6
10,"Uptown Funk","Mark Ronson",43785,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
11,FourFiveSeconds,Rihanna,37620,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
12,Sugar,"Maroon 5",37442,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
13,"Hold My Hand","Jess Glynne",35669,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
14,"L'amore eternit",Fedez,35345,https://open.spotify.com/track/2vAzyP21f777MdZNcyt6yt
15,"Take Me To Church",Hozier,35287,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
16,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",34888,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
17,"Thinking Out Loud","Ed Sheeran",34377,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
18,"Stole the Show",Kygo,32654,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
19,"Five More Hours - Deorro x Chris Brown",Deorro,32233,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
20,"Where Are Ü Now (with Justin Bieber)","Jack Ü",31939,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
21,"Hold Back The River","James Bay",29381,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
22,"Headlights (feat. Ilsey)","Robin Schulz",28721,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
