Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",2782,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"Stole the Show",Kygo,2363,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
3,"Headlights (feat. Ilsey)","Robin Schulz",1746,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
4,Heroes,"Måns Zelmerlöw",1647,https://open.spotify.com/track/4ciaNqHWA2IzHphZaVRzHI
5,"See You Again (feat. Charlie Puth)","Wiz Khalifa",1631,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
6,"Where Are Ü Now (with Justin Bieber)","Jack Ü",1606,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
7,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",1597,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
8,"Five More Hours - Deorro x Chris Brown",Deorro,1438,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
9,"Want to Want Me","Jason Derulo",1430,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
10,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,1379,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
11,"Uptown Funk","Mark Ronson",1321,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
12,King,"Years & Years",1295,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
13,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",1278,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
14,"Talking Body","Tove Lo",1156,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
15,Firestone,Kygo,1148,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
16,Somebody,"Natalie La Rose",1124,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
17,"Secrets - Radio Edit",Tiësto,1107,https://open.spotify.com/track/6eE5LWw0DpIbTOdKwDUoE8
18,"Trap Queen","Fetty Wap",1095,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
19,"Rhythm Inside","Loïc Nottet",1071,https://open.spotify.com/track/3O2MsMZHCgSbRGEca5ML1N
20,"Love Injected - Eurovision 2015 - Latvia",Aminata,1040,https://open.spotify.com/track/6w0LeIgIaWXbQ5VzshVLwI
21,"Hold My Hand","Jess Glynne",1020,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
