Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",3830,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"Ēdenes dārzs","Prāta Vētra",2593,https://open.spotify.com/track/4fFSA9PP27aFVhOdbQP3O8
3,"Kad zvaigznes pār alejām krīt","Prāta Vētra",2493,https://open.spotify.com/track/5Yj2XjBOjIvu8rki9iY3Eu
4,"See You Again (feat. Charlie Puth)","Wiz Khalifa",2426,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
5,"Stole the Show",Kygo,2413,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
6,"7 soļi svaiga gaisa","Prāta Vētra",2401,https://open.spotify.com/track/5syj9trQuKefIzbxPaQ0vh
7,Sapnī,"Prāta Vētra",2343,https://open.spotify.com/track/7uXKyw1ma0ljLjrMhoXIbZ
8,"Where Are Ü Now (with Justin Bieber)","Jack Ü",2287,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
9,"Pilsētas ugunis","Prāta Vētra",2284,https://open.spotify.com/track/7h2FfRd76hj53JXFo2dBuP
10,"Meklēt vienam otru","Prāta Vētra",2259,https://open.spotify.com/track/0vmunC9BgaoH6ag5UQpdKU
11,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",2150,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
12,Pastkastīte,"Prāta Vētra",2149,https://open.spotify.com/track/6BMlcK61UBCjJ82VmMYbDO
13,Jūras,"Prāta Vētra",2097,https://open.spotify.com/track/1zzEWGfGL2D6I9MuBrgv36
14,"Laimes satelīts","Prāta Vētra",2067,https://open.spotify.com/track/42lSowhiTkiUmSi9ABeS2G
15,"Headlights (feat. Ilsey)","Robin Schulz",2006,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
16,"Love Injected - Eurovision 2015 - Latvia",Aminata,1970,https://open.spotify.com/track/6w0LeIgIaWXbQ5VzshVLwI
17,"Ziemu apēst","Prāta Vētra",1966,https://open.spotify.com/track/2MzutYzRHbNcMx8LU33Mdq
18,"Want to Want Me","Jason Derulo",1727,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
19,"Five More Hours - Deorro x Chris Brown",Deorro,1725,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
20,"Uptown Funk","Mark Ronson",1612,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
21,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",1488,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
22,"Trap Queen","Fetty Wap",1487,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
23,"Talking Body","Tove Lo",1429,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
24,King,"Years & Years",1415,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
25,"Time of Our Lives",Pitbull,1366,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
26,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,1317,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
27,"Secrets - Radio Edit",Tiësto,1297,https://open.spotify.com/track/6eE5LWw0DpIbTOdKwDUoE8
28,Somebody,"Natalie La Rose",1267,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
29,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",1252,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
30,"American Oxygen",Rihanna,1243,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
31,"Bitch Better Have My Money",Rihanna,1228,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
32,Firestone,Kygo,1207,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
33,"Hold My Hand","Jess Glynne",1168,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
34,"Another You","Armin van Buuren",1162,https://open.spotify.com/track/1u6LOWtdWA2wwa3CryIBsS
35,"Worth It","Fifth Harmony",1099,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
36,"Ain't Nobody (Loves Me Better)","Felix Jaehn",1098,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
37,FourFiveSeconds,Rihanna,1087,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
38,"Take Me To Church",Hozier,1084,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
39,"Shut Up and Dance","WALK THE MOON",1006,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
