Position,"Track Name",Artist,Streams,URL
1,Parijs,"Kenny B",146590,https://open.spotify.com/track/4CH8nmzGgqd4sokxN7dacs
2,"Lean On (feat. MØ & DJ Snake)","Major Lazer",137502,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
3,"Stole the Show",Kygo,117956,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
4,"See You Again (feat. Charlie Puth)","Wiz Khalifa",114875,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
5,"Ain't Nobody (Loves Me Better)","Felix Jaehn",88339,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
6,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,82147,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
7,"Want to Want Me","Jason Derulo",81170,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
8,"Are You With Me - Radio Edit","Lost Frequencies",79619,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
9,King,"Years & Years",73615,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
10,Policeman,"Eva Simons",73333,https://open.spotify.com/track/5dv1k1EENIPfsmGoHOrMPc
11,"Where Are Ü Now (with Justin Bieber)","Jack Ü",71720,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
12,FourFiveSeconds,Rihanna,64987,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
13,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",63481,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
14,Somebody,"Natalie La Rose",61671,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
15,"Another You","Armin van Buuren",61540,https://open.spotify.com/track/1u6LOWtdWA2wwa3CryIBsS
16,Bills,"LunchMoney Lewis",61160,https://open.spotify.com/track/7rlCeTnjn0plPZkVAcctPZ
17,"Uptown Funk","Mark Ronson",59463,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
18,Firestone,Kygo,58428,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
19,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",58057,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
20,"Intoxicated - Radio Edit","Martin Solveig",56984,https://open.spotify.com/track/03tJhmP71vPD7pIenJlWJ6
21,"Don't Look Down","Martin Garrix",56732,https://open.spotify.com/track/5M9jOReAKGZ2AttVefFjTY
22,"Hold My Hand","Jess Glynne",54837,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
23,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",51781,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
24,"Time of Our Lives",Pitbull,50710,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
25,"Save Me",LISTENBEE,50042,https://open.spotify.com/track/1Qg0JhbqPhYki1a5bv7NgH
26,"Thinking Out Loud","Ed Sheeran",49805,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
