Position,"Track Name",Artist,Streams,URL
1,"Stole the Show",Kygo,119353,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
2,"See You Again (feat. Charlie Puth)","Wiz Khalifa",115290,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
3,"Lean On (feat. MØ & DJ Snake)","Major Lazer",108663,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
4,"Shots - Broiler Remix","Imagine Dragons",105024,https://open.spotify.com/track/0z8yrlXSjnI29Rv30RssNI
5,"Sjeiken 2015",TIX,89496,https://open.spotify.com/track/6RqfD0pbD769SEd3NVBZlo
6,"Headlights (feat. Ilsey)","Robin Schulz",86811,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
7,"It's You - Broiler Remix","Syn Cole",81740,https://open.spotify.com/track/6AOHd0PzHGNo0tBh2olFx1
8,"Are You With Me - Radio Edit","Lost Frequencies",80074,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
9,"Genre Police (feat. Lexi)",S3RL,79292,https://open.spotify.com/track/3cBk6yDV59zKEdiwmIcyEm
10,"Don't Worry",Madcon,76774,https://open.spotify.com/track/2Wf0uMfCpwLO1B2Up3NbXH
11,"Secrets - Radio Edit",Tiësto,76572,https://open.spotify.com/track/6eE5LWw0DpIbTOdKwDUoE8
12,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)",Matoma,72096,https://open.spotify.com/track/6HTJZ0TQJVMSKkUGzAOe2h
13,"Often - Kygo Remix","The Weeknd",63060,https://open.spotify.com/track/1qoHlIpgGxtmYsYdyiySiL
14,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",60736,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
15,"Waiting For Love",Avicii,60484,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ
16,"Want to Want Me","Jason Derulo",60042,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
17,Springfield,"Martin Tungevaag",59340,https://open.spotify.com/track/0njrmvVVWIrcEXkUA4MOO7
18,"Five More Hours - Deorro x Chris Brown",Deorro,58098,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
19,King,"Years & Years",57709,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
20,"My House","Flo Rida",57622,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
21,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",57576,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
22,"Best når jeg er full","Robin og Bugge",56972,https://open.spotify.com/track/5jrCwGy7p6qoHM2SplKOVv
23,"Where Are Ü Now (with Justin Bieber)","Jack Ü",56163,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
24,"2AM - Matoma Remix","Astrid S",53524,https://open.spotify.com/track/31xSeYDJvtHtODcT6iPgkb
25,"Peanut Butter Jelly",Galantis,51247,https://open.spotify.com/track/6fmbKY1teQRfsIqVRlnTsM
26,"Take Me To Church",Hozier,48092,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
27,"Habbo Club 2015",TIX,47512,https://open.spotify.com/track/0PlYKApYERyx8mc473VWC7
28,Firestone,Kygo,47356,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
29,"Sexual Healing - Kygo Remix","Marvin Gaye",46031,https://open.spotify.com/track/7s1upm7yr7ZjrzXMwHawtG
30,FourFiveSeconds,Rihanna,44925,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
31,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,42418,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
32,"I Really Like You","Carly Rae Jepsen",41896,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
33,"Hold Back The River","James Bay",40625,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
34,"Trap Queen","Fetty Wap",40373,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
35,"Thinking Out Loud","Ed Sheeran",39379,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
36,"I Want You To Know",Zedd,38535,https://open.spotify.com/track/19RevBdb9MKUaBIvxSbGd4
37,"Pinne for Landet","Freddy Kalas",38215,https://open.spotify.com/track/6iq4MrQ7pLZYQlVoYMygP5
38,Ganjaman,Alfons,37967,https://open.spotify.com/track/084GmBpNWnjuPI7fdwgp6X
39,"Uptown Funk","Mark Ronson",37575,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
40,"One Last Time","Ariana Grande",37407,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
41,Pattaya,Katastrofe,37299,https://open.spotify.com/track/3NP6Teacq7LNaanIR9XEOG
42,"RIVA (Restart the Game) - Radio Edit",Klingande,36144,https://open.spotify.com/track/4oEON2tBuUgDiCxGXkI0zZ
43,Sugar,"Maroon 5",33751,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
44,Air,"Shawn Mendes",33350,https://open.spotify.com/track/1c9LBfX0klXJscJAYDI0Ea
45,"Fest Hos Kalas","Freddy Kalas",33154,https://open.spotify.com/track/4HaB4tsfo8LZuCQxbBXmcS
46,"I'm Gonna Show You Crazy","Bebe Rexha",32959,https://open.spotify.com/track/5LtNBCM2ve0SxP0dlRVvMu
47,"A Monster Like Me",Mørland,31492,https://open.spotify.com/track/0GQiToyThTXwyIw5IFsKEw
48,Walk,Kwabs,31120,https://open.spotify.com/track/2ZvsMMI4aOkMUo92MKQzFI
49,"American Oxygen",Rihanna,29919,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
50,"Langt igjen å gå - feat. Lex Press",Innertier,29232,https://open.spotify.com/track/6FvrJeEsvh38g4G4XeDQ21
51,"Time of Our Lives",Pitbull,28647,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
52,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",28275,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
53,"Ain't Nobody (Loves Me Better)","Felix Jaehn",26045,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
54,"Nasty Freestyle",T-Wayne,22502,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
