Position,"Track Name",Artist,Streams,URL
1,"Lean On (feat. MØ & DJ Snake)","Major Lazer",29671,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
2,"See You Again (feat. Charlie Puth)","Wiz Khalifa",17810,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
3,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,15269,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
4,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",14763,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
5,"Uptown Funk","Mark Ronson",14632,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
6,"Want to Want Me","Jason Derulo",14527,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
7,"Where Are Ü Now (with Justin Bieber)","Jack Ü",14461,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
8,"Stole the Show",Kygo,14287,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
9,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",13558,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
10,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",13378,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
11,"Are You With Me - Radio Edit","Lost Frequencies",12032,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
12,Sugar,"Maroon 5",11652,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
13,"Klub Go Go","Gang Albanii",10950,https://open.spotify.com/track/3le6xfcVgs3Q0oUqE6YEXZ
14,Firestone,Kygo,10733,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
15,"Time of Our Lives",Pitbull,10486,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
16,"Take Me To Church",Hozier,10318,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
17,"Headlights (feat. Ilsey)","Robin Schulz",10211,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
18,FourFiveSeconds,Rihanna,10155,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
19,King,"Years & Years",9918,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
20,"Thinking Out Loud","Ed Sheeran",9907,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
21,"Dla Prawdziwych Dam","Gang Albanii",9809,https://open.spotify.com/track/6OliPszUEsvGF1G9CRlSSa
22,"Trap Queen","Fetty Wap",9764,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
23,"Five More Hours - Deorro x Chris Brown",Deorro,9574,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
24,"Bitch Better Have My Money",Rihanna,9537,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
25,"Shut Up and Dance","WALK THE MOON",9323,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
26,"Secrets - Radio Edit",Tiësto,9167,https://open.spotify.com/track/6eE5LWw0DpIbTOdKwDUoE8
27,"Worth It","Fifth Harmony",9035,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
28,"American Oxygen",Rihanna,8965,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
29,"Elastic Heart",Sia,8609,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
30,Marihuana,"Gang Albanii",8501,https://open.spotify.com/track/5Punk8RhDvK27r2vtVHUmM
31,"Hold Back The River","James Bay",8248,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
32,Somebody,"Natalie La Rose",8178,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
33,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",8132,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
