Position,"Track Name",Artist,Streams,URL
1,"See You Again (feat. Charlie Puth)","Wiz Khalifa",13207,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
2,"Lean On (feat. MØ & DJ Snake)","Major Lazer",11808,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
3,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,11306,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
4,"Uptown Funk","Mark Ronson",9398,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
5,Firestone,Kygo,8503,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
6,"Are You With Me - Radio Edit","Lost Frequencies",7688,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
7,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",7544,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
8,Sugar,"Maroon 5",7504,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
9,"Where Are Ü Now (with Justin Bieber)","Jack Ü",6887,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
10,"Thinking Out Loud","Ed Sheeran",6858,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
11,"American Oxygen",Rihanna,6711,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
12,"Hold Back The River","James Bay",6611,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
13,"Take Me To Church",Hozier,6436,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
14,FourFiveSeconds,Rihanna,6368,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
15,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",6310,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
16,"The Nights",Avicii,6141,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
17,"Stole the Show",Kygo,6126,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
18,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",5877,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
19,"Tu E Eu","Diogo Piçarra",5755,https://open.spotify.com/track/0pxIyIOLCoduWMJXJwNADU
20,"Vamos Ficar por Aqui - Team de Sonho, Vol. 2","C4 Pedro",5650,https://open.spotify.com/track/1pCzZU79sjznzCdQTtwLlA
21,"Os Tais",Carlão,5592,https://open.spotify.com/track/74ldqLr46TYttmyTgqxQ0I
22,"Worth It","Fifth Harmony",5359,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
23,"Want to Want Me","Jason Derulo",5326,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
