Position,"Track Name",Artist,Streams,URL
1,"Det draaar","Axel Wikner",308208,https://open.spotify.com/track/2jPnK9z0XgywuBoaJaCfZe
2,"Are You With Me - Radio Edit","Lost Frequencies",261990,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
3,"See You Again (feat. Charlie Puth)","Wiz Khalifa",239337,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
4,"Lean On (feat. MØ & DJ Snake)","Major Lazer",233802,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
5,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",204391,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
6,"Stole the Show",Kygo,202627,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
7,"Waiting For Love",Avicii,183954,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ
8,"Ingen annan rör mig som du","Norlie & KKV",182120,https://open.spotify.com/track/33aviAAemgEyRC2gJOOLw0
9,"Old Thing Back (feat. Ja Rule and Ralph Tresvant)",Matoma,151536,https://open.spotify.com/track/6HTJZ0TQJVMSKkUGzAOe2h
10,"Fan va bra","Jakob Karlberg",148955,https://open.spotify.com/track/4pItP9yMHJ4Klk8U6eOmLx
11,"Next To Me","Otto Knows",147036,https://open.spotify.com/track/6ZixfeFT8V0Nle1rMZAekY
12,"Where Are Ü Now (with Justin Bieber)","Jack Ü",141095,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
13,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",135564,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
14,"Fy Fan Va Stek","De Vet Du",132558,https://open.spotify.com/track/7syl3glhOJ9IGXIrWovwYq
15,Heroes,"Måns Zelmerlöw",132418,https://open.spotify.com/track/4ciaNqHWA2IzHphZaVRzHI
16,"Want to Want Me","Jason Derulo",130827,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
17,"Ta mig tillbaka",Darin,130611,https://open.spotify.com/track/15tHf3DZIOg0tZakyPymDk
18,"Brinner i bröstet","Danny Saucedo",127679,https://open.spotify.com/track/2hKntquDHwPGFgWJiD5jSy
19,"Shut Up and Dance","WALK THE MOON",125412,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
20,"Five More Hours - Deorro x Chris Brown",Deorro,118995,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
21,"Headlights (feat. Ilsey)","Robin Schulz",114680,https://open.spotify.com/track/06Hdbxh6NCy6TIhjdXTchB
22,"Ain't Nobody (Loves Me Better)","Felix Jaehn",111153,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
23,FourFiveSeconds,Rihanna,98593,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
24,"Hold Back The River","James Bay",95280,https://open.spotify.com/track/1KZyVnyptQcPzkx7ELCnZC
25,Ganjaman,Alfons,95251,https://open.spotify.com/track/084GmBpNWnjuPI7fdwgp6X
26,"American Oxygen",Rihanna,94871,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
27,King,"Years & Years",92510,https://open.spotify.com/track/6pIZ0u32c2Lku8PmCWtnMy
28,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,87207,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
29,"Uptown Funk","Mark Ronson",87035,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
30,"Trap Queen","Fetty Wap",85816,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
31,Firestone,Kygo,85032,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
32,"One Last Time","Ariana Grande",82632,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
33,"Feeling Good",Avicii,82631,https://open.spotify.com/track/7oDjaRDdf9zNQ8N3yRjQwF
34,"Tills vi koolar",Medina,81363,https://open.spotify.com/track/1scUUmRTTwhzh4niMb2i5u
35,"Take Me To Church",Hozier,79708,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
36,"I Really Like You","Carly Rae Jepsen",79567,https://open.spotify.com/track/6YhDHby2eVeENKJNa7C2z6
37,"On My Way","Axwell /\ Ingrosso",75211,https://open.spotify.com/track/1shDLpsNopiFi72lzxr7mI
38,"Time of Our Lives",Pitbull,74497,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
39,"I Want You To Know",Zedd,73166,https://open.spotify.com/track/19RevBdb9MKUaBIvxSbGd4
40,"Thinking Out Loud","Ed Sheeran",73072,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
41,"Nasty Freestyle",T-Wayne,69651,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
42,"Bitch Better Have My Money",Rihanna,67899,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
43,"The Nights",Avicii,67229,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
44,"Talking Body","Tove Lo",67114,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
45,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",66098,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
46,"Guld och gröna skogar","Hasse Andersson",65383,https://open.spotify.com/track/6EnNjWkk1YX3fsTXtwO773
47,"Freaks - Radio Edit","Timmy Trumpet",60813,https://open.spotify.com/track/4wQ8cM5towhQKEOt5G9u0j
48,UFO,Vigiland,59184,https://open.spotify.com/track/3zYqHQ4tu4pB2acp9Lltnz
49,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",59033,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
50,"Secrets - Radio Edit",Tiësto,58755,https://open.spotify.com/track/6eE5LWw0DpIbTOdKwDUoE8
51,"Elastic Heart",Sia,55712,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
52,Sugar,"Maroon 5",50619,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
53,Springfield,"Martin Tungevaag",48028,https://open.spotify.com/track/0njrmvVVWIrcEXkUA4MOO7
54,"Sexual Healing - Kygo Remix","Marvin Gaye",45972,https://open.spotify.com/track/7s1upm7yr7ZjrzXMwHawtG
55,"Peanut Butter Jelly",Galantis,45749,https://open.spotify.com/track/6fmbKY1teQRfsIqVRlnTsM
56,"Another You","Armin van Buuren",44049,https://open.spotify.com/track/1u6LOWtdWA2wwa3CryIBsS
57,"Shots - Broiler Remix","Imagine Dragons",42439,https://open.spotify.com/track/0z8yrlXSjnI29Rv30RssNI
58,Samsara,"Tungevaag & Raaban",41306,https://open.spotify.com/track/6oJflQkp7lFXOQce4wPTAW
59,"Sweet Escape",Alesso,40607,https://open.spotify.com/track/6vPJvkEuWZPcv58NnQ3dBR
60,"Hold My Hand","Jess Glynne",39777,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j
61,Groupie,"Samir & Viktor",39552,https://open.spotify.com/track/4ldXgqnQ9jJ1mYRTmg9O9B
62,"Dear Future Husband","Meghan Trainor",39183,https://open.spotify.com/track/3cU2wBxuV6nFiuf6PJZNlC
63,"Ghost Town","Adam Lambert",38296,https://open.spotify.com/track/7Df0z75yVuHOFEuAbk40lA
64,Stitches,"Shawn Mendes",37639,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
65,"Ah Yeah So What - Radio Edit","Will Sparks",36437,https://open.spotify.com/track/37PuGmhHTzDbbaUAFKj6bJ
66,"En sista gång","Albin Johnsén",35714,https://open.spotify.com/track/1FmcZ9sORXHAHq1hrnVdtB
67,"Golden Boy - Eurovision 2015 - Israel","Nadav Guedj",34769,https://open.spotify.com/track/4pCBCEWeBGJxdRWqT8GQkY
68,"Worth It","Fifth Harmony",34511,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
