Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,132865,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
2,"Cheap Thrills",Sia,101912,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
3,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",97366,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
4,"Don't Let Me Down","The Chainsmokers",96807,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
5,Faded,"Alan Walker",93844,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
6,"Stressed Out","Twenty One Pilots",82801,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
7,"This Is What You Came For","Calvin Harris",80847,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
8,Sex,"Cheat Codes",78221,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
9,"Fast Car - Radio Edit","Jonas Blue",74288,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
10,"Work from Home","Fifth Harmony",72774,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
11,"Cake By The Ocean",DNCE,71950,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
12,Panda,Desiigner,70485,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
13,"Me, Myself & I",G-Eazy,69429,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
14,"No Money",Galantis,68880,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
15,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",57568,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
16,"My House","Flo Rida",55792,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
17,Gold,Kiiara,54454,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
18,"7 Years","Lukas Graham",54247,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
19,NO,"Meghan Trainor",52899,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
20,Bonbon,"Era Istrefi",52550,https://open.spotify.com/track/3Uz8ZcQdlOF2qE6q1rcVpw
21,"Hide Away",Daya,48570,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
22,Roses,"The Chainsmokers",47995,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
23,"Hymn For The Weekend",Coldplay,47310,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
24,"Wir sind groß","Mark Forster",47167,https://open.spotify.com/track/7Ars6vxMVBQPc4LwbwbQKm
25,"Running Man - Radio Edit","Ollie Gabriel",47077,https://open.spotify.com/track/2yS8SABVQCqpvsmTMH8CgM
26,"i hate u, i love u (feat. olivia o'brien)",gnash,46605,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
27,"Speeding Cars","Walking On Cars",46143,https://open.spotify.com/track/4GylZDT7adqIfVoPHyFb5X
28,"Love Yourself","Justin Bieber",46098,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
29,Middle,"DJ Snake",45101,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
30,"Die immer lacht - Radio 2016 Mix",Stereoact,44949,https://open.spotify.com/track/0lKyMPBRuIDCX56NORu5NZ
31,"Dangerous Woman","Ariana Grande",43742,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
32,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",42604,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
33,Stay,Kygo,41589,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
34,Miracle,"Julian Perretta",38961,https://open.spotify.com/track/1gEK5unpcVyBc90uJRBtY6
35,Stitches,"Shawn Mendes",38710,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
36,Close,"Nick Jonas",38599,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
37,"Wild Things","Alessia Cara",38052,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
38,"This Girl - Kungs Vs. Cookin' On 3 Burners",Kungs,37194,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
39,"Lush Life","Zara Larsson",36996,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
40,"Howling At The Moon",Milow,36832,https://open.spotify.com/track/4SGOZ3lXQHWtOL3bfzqqFi
41,Work,Rihanna,36758,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
42,PILLOWTALK,ZAYN,36277,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
43,"Home (feat. Nico Santos)",Topic,35919,https://open.spotify.com/track/5G5IX0zeEIYhHKe71Zecx6
44,"Never Forget You","Zara Larsson",34650,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
45,"Sugar (feat. Francesco Yates)","Robin Schulz",34625,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
46,Sorry,"Justin Bieber",33635,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
47,"Catch & Release - Deepend Remix","Matt Simons",31836,https://open.spotify.com/track/3MSZpokwCtkv9BV0vS3uGr
48,"Lean On (feat. MØ & DJ Snake)","Major Lazer",31701,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
