Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,1595503,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
2,"This Is What You Came For","Calvin Harris",980825,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
3,"Don't Let Me Down","The Chainsmokers",848757,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
4,"Say It (feat. Tove Lo)",Flume,829754,https://open.spotify.com/track/217xrcrbBtgJhvlHicxTSH
5,Panda,Desiigner,776330,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
6,"i hate u, i love u (feat. olivia o'brien)",gnash,775279,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
7,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",747974,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
8,"Work from Home","Fifth Harmony",698842,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
9,"No Money",Galantis,697675,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
10,Faded,"Alan Walker",638254,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
11,"7 Years","Lukas Graham",608829,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
12,"Never Be Like You (feat. Kai)",Flume,548111,https://open.spotify.com/track/6y0igZArWVi6Iz0rj35c1Y
13,"Cheap Thrills",Sia,537238,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
14,"Hide Away",Daya,535650,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
15,"Wild Things","Alessia Cara",527250,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
16,1955,"Hilltop Hoods",518182,https://open.spotify.com/track/6oSmp7qnvAxUXeUKhl67a6
17,"Stressed Out","Twenty One Pilots",506951,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
18,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",500122,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
19,Gold,Kiiara,481394,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
20,"My House","Flo Rida",475976,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
21,Roses,"The Chainsmokers",454366,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
