Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,271810,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
2,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",185708,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
3,"This Is What You Came For","Calvin Harris",171102,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
4,"Cheap Thrills",Sia,166832,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
5,"Work from Home","Fifth Harmony",166794,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
6,"Don't Let Me Down","The Chainsmokers",166303,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
7,"Fast Car - Radio Edit","Jonas Blue",141884,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
8,Panda,Desiigner,140112,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
9,Faded,"Alan Walker",138658,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
10,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",133998,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
11,"i hate u, i love u (feat. olivia o'brien)",gnash,132481,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
12,"7 Years","Lukas Graham",129576,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
13,Sex,"Cheat Codes",119979,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
14,"Me, Myself & I",G-Eazy,116694,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
15,"Stressed Out","Twenty One Pilots",114814,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
16,"Never Be Like You (feat. Kai)",Flume,111011,https://open.spotify.com/track/6y0igZArWVi6Iz0rj35c1Y
17,Middle,"DJ Snake",99971,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
18,"Cake By The Ocean",DNCE,99073,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
19,Work,Rihanna,98994,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
20,Gold,Kiiara,94130,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
21,"Love Yourself","Justin Bieber",90973,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
22,NO,"Meghan Trainor",90507,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
23,"Dangerous Woman","Ariana Grande",89948,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
