Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,19448,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
2,"This Is What You Came For","Calvin Harris",13395,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
3,"Don't Let Me Down","The Chainsmokers",12883,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
4,"Cheap Thrills",Sia,11933,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
5,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",11694,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
6,"Work from Home","Fifth Harmony",10966,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
7,Panda,Desiigner,10280,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
8,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",9062,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
9,"Needed Me",Rihanna,9056,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
10,Faded,"Alan Walker",9041,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
11,Work,Rihanna,8919,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
12,"Fast Car - Radio Edit","Jonas Blue",8105,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
13,"Dangerous Woman","Ariana Grande",7816,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
14,"Me, Myself & I",G-Eazy,7793,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
15,Sex,"Cheat Codes",7772,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
16,"7 Years","Lukas Graham",7715,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
17,Close,"Nick Jonas",7649,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
18,"Lush Life","Zara Larsson",7126,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
19,Middle,"DJ Snake",6962,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
20,PILLOWTALK,ZAYN,6733,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
21,NO,"Meghan Trainor",6722,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
22,"Cake By The Ocean",DNCE,6700,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
23,Gold,Kiiara,6538,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
24,"Stressed Out","Twenty One Pilots",6436,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
25,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",6196,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
26,"Hymn For The Weekend",Coldplay,5698,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
27,"Never Forget You","Zara Larsson",5509,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
28,Bonbon,"Era Istrefi",5506,https://open.spotify.com/track/3Uz8ZcQdlOF2qE6q1rcVpw
29,"i hate u, i love u (feat. olivia o'brien)",gnash,5492,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
30,Stay,Kygo,5286,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
31,"No Money",Galantis,5240,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
32,"Wild Things","Alessia Cara",5209,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
33,Roses,"The Chainsmokers",5067,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
34,"Feel - Radio Edit","Mahmut Orhan",4968,https://open.spotify.com/track/7Is0OPWVcN8DdZpcNuClcy
35,"Sugar (feat. Francesco Yates)","Robin Schulz",4758,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
36,"Love Yourself","Justin Bieber",4698,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
37,"Never Be Like You (feat. Kai)",Flume,4382,https://open.spotify.com/track/6y0igZArWVi6Iz0rj35c1Y
38,"My House","Flo Rida",4345,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
39,"No Broken Hearts (feat. Nicki Minaj)","Bebe Rexha",4302,https://open.spotify.com/track/4qULqxfCRhJAXVc75UupQB
40,"Lean On (feat. MØ & DJ Snake)","Major Lazer",4257,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
41,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",4252,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
42,Sorry,"Justin Bieber",4178,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
