Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",258736,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Shape of You","Ed Sheeran",221253,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",202553,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
4,"I'm the One","DJ Khaled",165902,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
5,"It Ain't Me (with Selena Gomez)",Kygo,162921,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,"Something Just Like This","The Chainsmokers",154927,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
7,"Mask Off",Future,148595,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
8,"Symphony (feat. Zara Larsson)","Clean Bandit",143274,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
9,HUMBLE.,"Kendrick Lamar",127936,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
10,"Stay (with Alessia Cara)",Zedd,121436,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
11,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",121057,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
12,"SUBEME LA RADIO","Enrique Iglesias",120632,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
13,Unforgettable,"French Montana",112574,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
14,"Scared to Be Lonely","Martin Garrix",112303,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
15,"There's Nothing Holdin' Me Back","Shawn Mendes",111508,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
16,"You Don't Know Me","Jax Jones",111067,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
17,"Galway Girl","Ed Sheeran",109418,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
18,"Good Life (with G-Eazy & Kehlani)",G-Eazy,104593,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
19,Passionfruit,Drake,103142,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
20,Believer,"Imagine Dragons",99967,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
21,"Call On Me - Ryan Riback Extended Remix",Starley,98230,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
22,"Solo Dance","Martin Jensen",97674,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
23,Issues,"Julia Michaels",90025,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
24,Slide,"Calvin Harris",85401,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
25,Paris,"The Chainsmokers",79682,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
26,"That's What I Like","Bruno Mars",77242,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
27,"First Time",Kygo,75587,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
28,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",75273,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9
29,DNA.,"Kendrick Lamar",74368,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
30,"The Cure","Lady Gaga",74182,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
31,"Θ. Macarena",Damso,72912,https://open.spotify.com/track/2UZW9WOPXdxw9YMG1bebS8
32,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",71088,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
33,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,70913,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
34,Cold,"Maroon 5",69833,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
35,"Now Or Never",Halsey,69626,https://open.spotify.com/track/1mDGDb2fUmUMdqV3tb8VKQ
36,"Sign of the Times","Harry Styles",69074,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
37,Attention,"Charlie Puth",69046,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
38,"September Song","JP Cooper",69025,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
39,"No Promises (feat. Demi Lovato)","Cheat Codes",68795,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
40,"Α. Nwaar Is The New Black",Damso,66728,https://open.spotify.com/track/57U26FwUclMqyZ5ylnPpw1
41,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",64020,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
42,"The One","The Chainsmokers",63278,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
43,Tuesday,"Burak Yeter",62650,https://open.spotify.com/track/5c4tB0saSkNHX5CyDosuF7
44,"B. #QuedusaalVie",Damso,62083,https://open.spotify.com/track/4HvYhaXDmmAW6ZmPcgPZca
45,"Γ. Mosaïque solitaire",Damso,60621,https://open.spotify.com/track/1E3zyoTHtJzsu5CjwIFIhY
46,"El Amante","Nicky Jam",59936,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
47,"Castle on the Hill","Ed Sheeran",59769,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
48,"The Night We Met","Lord Huron",58917,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
49,Chantaje,Shakira,58740,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
50,"iSpy (feat. Lil Yachty)",Kyle,58677,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
51,"Ε. Signaler",Damso,55160,https://open.spotify.com/track/03aduXwm6cTqO9bb4XFQ2b
52,"I Feel It Coming","The Weeknd",53691,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
53,"Ζ. Kietu",Damso,52702,https://open.spotify.com/track/5urhEtesorARjZhjSaFntn
54,"XO TOUR Llif3","Lil Uzi Vert",51936,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
55,"Green Light",Lorde,51386,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7
56,Selfish,Future,50126,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
57,"Bon Appétit","Katy Perry",49679,https://open.spotify.com/track/14oOKFGuXu8DqvOe1W8vao
58,"Chained To The Rhythm","Katy Perry",49231,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
59,"N. J Respect R",Damso,48713,https://open.spotify.com/track/75UFzgBCaVwJJ4IVIaatpe
60,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",48065,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
61,"Δ. Dieu ne ment jamais",Damso,46491,https://open.spotify.com/track/6ATkHaUrIJUtwyhoGMmQgw
62,Location,Khalid,46352,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
63,Kontrollieren,"RAF Camora",46155,https://open.spotify.com/track/3H25ywsvlV0ZT2XSpSU7wk
64,"Say You Won't Let Go","James Arthur",45385,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
65,"Whippin (feat. Felix Snow)",Kiiara,44686,https://open.spotify.com/track/3QWjljChcOMkRDYSzF33Qr
66,Skin,"Rag'n'Bone Man",44321,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
67,"Η. Gova",Damso,44233,https://open.spotify.com/track/0fBxgiQe76HZFFqN2FUUpw
68,"Sunset Lover","Petit Biscuit",41632,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
69,"Still Got Time",ZAYN,41591,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
70,"Me Rehúso","Danny Ocean",41349,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ
