Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,8310,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
2,"This Is What You Came For","Calvin Harris",4974,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
3,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",4524,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
4,"Cheap Thrills",Sia,4304,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
5,Panda,Desiigner,4092,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
6,"Work from Home","Fifth Harmony",4027,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
7,"Don't Let Me Down","The Chainsmokers",3409,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
8,"Fast Car - Radio Edit","Jonas Blue",3299,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
9,Faded,"Alan Walker",3136,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
10,"7 Years","Lukas Graham",3100,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
11,Sex,"Cheat Codes",2829,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
12,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",2759,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
13,"Cake By The Ocean",DNCE,2684,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
14,"Me, Myself & I",G-Eazy,2680,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
15,"Lush Life","Zara Larsson",2557,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
16,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",2483,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
17,"Dangerous Woman","Ariana Grande",2461,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
18,NO,"Meghan Trainor",2455,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
19,Close,"Nick Jonas",2454,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
20,Gold,Kiiara,2420,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
21,PILLOWTALK,ZAYN,2377,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
22,"i hate u, i love u (feat. olivia o'brien)",gnash,2357,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
23,"Stressed Out","Twenty One Pilots",2345,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
24,"Needed Me",Rihanna,2344,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
25,Work,Rihanna,2305,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
26,Middle,"DJ Snake",2266,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
27,"Never Forget You","Zara Larsson",2177,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
28,"Hymn For The Weekend",Coldplay,2170,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
29,Stay,Kygo,2094,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
30,"Wild Things","Alessia Cara",2090,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
31,Roses,"The Chainsmokers",1951,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
32,"Love Yourself","Justin Bieber",1853,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
33,"No Money",Galantis,1771,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
34,"Never Be Like You (feat. Kai)",Flume,1719,https://open.spotify.com/track/6y0igZArWVi6Iz0rj35c1Y
35,"Sugar (feat. Francesco Yates)","Robin Schulz",1717,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
36,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",1646,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
37,"My House","Flo Rida",1644,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
38,"All My Friends",Snakehips,1627,https://open.spotify.com/track/6TaqooOXAEcijL6G1AWS2K
39,"Once In a While",Timeflies,1615,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
40,"If It Ain't Love","Jason Derulo",1609,https://open.spotify.com/track/5YHR8wBR5jXfGtP766NiAT
41,YOUTH,"Troye Sivan",1493,https://open.spotify.com/track/68fXn0TVggt7Gr0sPbBuI5
42,Stitches,"Shawn Mendes",1459,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
43,"LIKE I WOULD",ZAYN,1408,https://open.spotify.com/track/1zWMf9bVyhY5W3ZORbjNWt
44,Sorry,"Justin Bieber",1341,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
45,"Hide Away",Daya,1299,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
46,Ride,"Twenty One Pilots",1236,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
47,"Alter Ego",Minus-One,1227,https://open.spotify.com/track/6yj2sEcpIjR0fCHG9geuAZ
48,"Lean On (feat. MØ & DJ Snake)","Major Lazer",1204,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
49,"Working For It - Bonus Track",ZHU,1168,https://open.spotify.com/track/0P6RjFd2HgG2AXJadQuGfE
50,"Running Out",Matoma,1052,https://open.spotify.com/track/2H8LPaY3NSjmOFMH2Rygnz
51,Bonbon,"Era Istrefi",1049,https://open.spotify.com/track/3Uz8ZcQdlOF2qE6q1rcVpw
52,"Rock Bottom","Hailee Steinfeld",1039,https://open.spotify.com/track/2qxaR31Te4xDR2yO6LqM8z
53,Famous,"Kanye West",1030,https://open.spotify.com/track/7KOcjfiSuMPsQqLXhD0PlN
54,"Low Life",Future,1027,https://open.spotify.com/track/71SDPonZOsIKNtqnaX8LXj
55,Jumpman,Drake,1016,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
56,"Pop Style",Drake,1014,https://open.spotify.com/track/23NWj2izXAJ4yL6Nah73wf
57,"What Do You Mean?","Justin Bieber",1005,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
58,"Pity Party","Melanie Martinez",1003,https://open.spotify.com/track/3fo6DYGktjENCiagUeU9yH
