Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,46118,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
2,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",43056,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
3,"Cheap Thrills",Sia,42242,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
4,"This Is What You Came For","Calvin Harris",42137,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
5,"Work from Home","Fifth Harmony",39593,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
6,"Don't Let Me Down","The Chainsmokers",39535,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
7,"7 Years","Lukas Graham",38394,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
8,"Fast Car - Radio Edit","Jonas Blue",36409,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
9,Faded,"Alan Walker",35870,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
10,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",35048,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
11,"Me, Myself & I",G-Eazy,31316,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
12,Sex,"Cheat Codes",31231,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
13,"Cake By The Ocean",DNCE,29653,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
14,"Lush Life","Zara Larsson",28153,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
15,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",27775,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
16,Panda,Desiigner,27096,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
17,"No Money",Galantis,26682,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
18,"i hate u, i love u (feat. olivia o'brien)",gnash,26056,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
19,NO,"Meghan Trainor",25952,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
20,Close,"Nick Jonas",25904,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
21,"Stressed Out","Twenty One Pilots",25622,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
22,"Dangerous Woman","Ariana Grande",24858,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
23,Gold,Kiiara,24730,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
24,Middle,"DJ Snake",24521,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
25,Stay,Kygo,24198,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
26,"Wild Things","Alessia Cara",23963,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
27,"My House","Flo Rida",23824,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
28,Roses,"The Chainsmokers",23738,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
29,"Hymn For The Weekend",Coldplay,22860,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
30,PILLOWTALK,ZAYN,22606,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
31,"Never Forget You","Zara Larsson",22499,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
32,"Needed Me",Rihanna,21625,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
33,"Sugar (feat. Francesco Yates)","Robin Schulz",21476,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
34,"Never Be Like You (feat. Kai)",Flume,20690,https://open.spotify.com/track/6y0igZArWVi6Iz0rj35c1Y
35,"Once In a While",Timeflies,20569,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
36,"Love Yourself","Justin Bieber",20053,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
37,Work,Rihanna,18151,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
38,"All My Friends",Snakehips,17820,https://open.spotify.com/track/6TaqooOXAEcijL6G1AWS2K
39,YOUTH,"Troye Sivan",17735,https://open.spotify.com/track/68fXn0TVggt7Gr0sPbBuI5
40,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",16389,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
41,Sorry,"Justin Bieber",16282,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
42,"Lean On (feat. MØ & DJ Snake)","Major Lazer",15692,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
43,"Hide Away",Daya,15365,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
44,Stitches,"Shawn Mendes",14208,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
45,"If It Ain't Love","Jason Derulo",14084,https://open.spotify.com/track/5YHR8wBR5jXfGtP766NiAT
46,Ride,"Twenty One Pilots",13561,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
47,"Rock Bottom","Hailee Steinfeld",13212,https://open.spotify.com/track/2qxaR31Te4xDR2yO6LqM8z
48,"What Do You Mean?","Justin Bieber",13160,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
49,Hello,Adele,13008,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
50,"Working For It - Bonus Track",ZHU,12434,https://open.spotify.com/track/0P6RjFd2HgG2AXJadQuGfE
51,"LIKE I WOULD",ZAYN,12227,https://open.spotify.com/track/1zWMf9bVyhY5W3ZORbjNWt
52,"Pity Party","Melanie Martinez",11491,https://open.spotify.com/track/3fo6DYGktjENCiagUeU9yH
53,Asio,"Ben Cristovao",11431,https://open.spotify.com/track/0hMmdL64r14D1m9yjRyv7U
54,"Running Out",Matoma,10835,https://open.spotify.com/track/2H8LPaY3NSjmOFMH2Rygnz
55,Ophelia,"The Lumineers",10492,https://open.spotify.com/track/7bTwYGhBdSQ8vuXc76Xint
56,"No Broken Hearts (feat. Nicki Minaj)","Bebe Rexha",10357,https://open.spotify.com/track/4qULqxfCRhJAXVc75UupQB
57,"Sit Still, Look Pretty",Daya,10083,https://open.spotify.com/track/1sSNWjLtY4GwyhqAwAnPD9
58,Colors,Halsey,10008,https://open.spotify.com/track/6w4LIVTA1966CdmIo0yG4x
59,"Hands To Myself","Selena Gomez",9984,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
60,Famous,"Kanye West",9395,https://open.spotify.com/track/7KOcjfiSuMPsQqLXhD0PlN
61,Capsize,FRENSHIP,9154,https://open.spotify.com/track/4qH3RkbFgzxYyXUD8YC8kr
62,"Sound Of Your Heart","Shawn Hook",8853,https://open.spotify.com/track/5Ou1XCyt2XD72ginDwg5FR
63,Raging,Kygo,8826,https://open.spotify.com/track/6DsFZITJMPnh8z5XewfVmL
