Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",2963481,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Shape of You","Ed Sheeran",2259213,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2215205,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
4,"Something Just Like This","The Chainsmokers",1839293,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
5,Tuesday,"Burak Yeter",1826933,https://open.spotify.com/track/5c4tB0saSkNHX5CyDosuF7
6,"I'm the One","DJ Khaled",1792670,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
7,"It Ain't Me (with Selena Gomez)",Kygo,1788296,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
8,"Symphony (feat. Zara Larsson)","Clean Bandit",1757405,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
9,"You Don't Know Me","Jax Jones",1725045,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
10,"Galway Girl","Ed Sheeran",1688379,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
11,"Mask Off",Future,1653204,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
12,Kontrollieren,"RAF Camora",1601003,https://open.spotify.com/track/3H25ywsvlV0ZT2XSpSU7wk
13,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",1590775,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
14,"Nummer 1",Zuna,1540368,https://open.spotify.com/track/3sgGmPQD2J6aQduN36RDBO
15,"Stay (with Alessia Cara)",Zedd,1491539,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
16,"No Roots","Alice Merton",1471244,https://open.spotify.com/track/4bPWDXpN6MlTZBedxega3X
17,"Good Life (with G-Eazy & Kehlani)",G-Eazy,1454531,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
18,"There's Nothing Holdin' Me Back","Shawn Mendes",1284728,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
19,"Scared to Be Lonely","Martin Garrix",1268183,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
20,HUMBLE.,"Kendrick Lamar",1240641,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
21,"Solo Dance","Martin Jensen",1185369,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
22,Paris,"The Chainsmokers",1104254,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
23,Believer,"Imagine Dragons",1073557,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
24,"Ciao Adios",Anne-Marie,1067679,https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4
25,LFR,Nimo,1001601,https://open.spotify.com/track/2gFYrhAsBGU9DUzOiCy16l
26,"Nicht jetzt","KC Rebell",987530,https://open.spotify.com/track/6hB5hpMGCIriSNCH0d2zHY
27,"Chasing Highs",ALMA,979135,https://open.spotify.com/track/6fTsxhIosAU6zXTAhSaemI
28,"Ohne mein Team","Bonez MC",973709,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
29,Issues,"Julia Michaels",971465,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
30,"Ya Salam",Kurdo,963070,https://open.spotify.com/track/5fpujciVjGBhnR2XFx06E7
31,"All Time Low","Jon Bellion",935706,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
32,"September Song","JP Cooper",932649,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
33,Passionfruit,Drake,927203,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
34,"Loin - Pilule Violette","Maître Gims",922958,https://open.spotify.com/track/3up1uPuvL5vkfJ6aOeSRtD
35,Slide,"Calvin Harris",912018,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
36,"Der Pate",Ufo361,909267,https://open.spotify.com/track/1iPTSLcoezNpFMaXK29EsG
37,Weak,AJR,887625,https://open.spotify.com/track/6OuV4vfyb8v3vGGGksqyKf
38,"Call On Me - Ryan Riback Extended Remix",Starley,878232,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
39,DNA.,"Kendrick Lamar",828199,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
40,"SUBEME LA RADIO","Enrique Iglesias",823338,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
41,"Two Princes - Radio Mix","Fake Pictures",786381,https://open.spotify.com/track/1iTKkkgXj8kJkGdjGGBFqL
42,"Green Light",Lorde,776718,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7
43,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",760982,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
44,Skin,"Rag'n'Bone Man",740605,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
45,Cold,"Maroon 5",733997,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
