Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",1311161,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"I'm the One","DJ Khaled",937401,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
3,Mamacita,KESI,695953,https://open.spotify.com/track/5OSH98PlarYwozcSR7lY19
4,"Shape of You","Ed Sheeran",599905,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
5,"De Snakker",NODE,540326,https://open.spotify.com/track/7c6DueTr5BfxnF4RvtEccH
6,"La Varrio (El Barrio)",Gilli,523890,https://open.spotify.com/track/10mqz0d6uiVNYa1ng4QlWl
7,"Galway Girl","Ed Sheeran",515818,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
8,"Deja Vu","Scarlet Pleasure",507022,https://open.spotify.com/track/0qDsNqGDsozhw2HciwwuWu
9,"There's Nothing Holdin' Me Back","Shawn Mendes",506486,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
10,Passionfruit,Drake,479931,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
11,Issues,"Julia Michaels",468859,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
12,"Mask Off",Future,442897,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
13,Skejsen,Molo,439053,https://open.spotify.com/track/4hI5PS8GWCftS1AUgNlJV1
14,"It Ain't Me (with Selena Gomez)",Kygo,409824,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
15,"Symphony (feat. Zara Larsson)","Clean Bandit",408370,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
16,Slide,"Calvin Harris",394414,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
17,"Jeg Har En Pige",Skinz,380800,https://open.spotify.com/track/3cJ0Fyr8C8blcaAZTYRLMN
18,"Something Just Like This","The Chainsmokers",372123,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
19,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",371224,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9
20,Unforgettable,"French Montana",349882,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
21,"Stay (with Alessia Cara)",Zedd,342200,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
22,"Good Life (with G-Eazy & Kehlani)",G-Eazy,336201,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
23,HUMBLE.,"Kendrick Lamar",334438,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
24,"First Time",Kygo,318028,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
25,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",313288,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
26,"You Don't Know Me","Jax Jones",298217,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
27,"No Promises (feat. Demi Lovato)","Cheat Codes",285243,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
28,"That's What I Like","Bruno Mars",285020,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
29,"Bar Sig Til",Omar,269943,https://open.spotify.com/track/08DaiDmEo4kKeRk2cujLBG
30,"Castle on the Hill","Ed Sheeran",260045,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
31,"Mon Poto",Fouli,258704,https://open.spotify.com/track/2Rnn1qllvadls6PIU8pWOH
32,"Kender du Emma?","Jeppe Loftager",257888,https://open.spotify.com/track/1qYmvwV5Fd5KOs3kkiN8DY
33,"Scared to Be Lonely","Martin Garrix",255000,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
34,"Nights With You",MØ,249308,https://open.spotify.com/track/5q5gzmbBS5yQzos2BvVr1t
35,"I Feel It Coming","The Weeknd",237541,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
36,"Er Nettet Nede?",Bro,235108,https://open.spotify.com/track/20zLJyJPkRodJ4EG9SRnsK
37,"Come Alive","Noah Carter",221108,https://open.spotify.com/track/70klirwxihgekO8hLsnW04
38,"September Song","JP Cooper",220926,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
39,Selfish,Future,209932,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
40,Attention,"Charlie Puth",209507,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
41,"Now Or Never",Halsey,209450,https://open.spotify.com/track/1mDGDb2fUmUMdqV3tb8VKQ
42,Paris,"The Chainsmokers",208131,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
43,Cold,"Maroon 5",204608,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
44,"Sex for Breakfast","Life of Dillon",204323,https://open.spotify.com/track/6CDaYzCjahDKqFAIslpveh
45,Farlig,Fætr,195668,https://open.spotify.com/track/2U2VVoI9Y4WLQHr7RD2aWq
46,"How Far I'll Go - From ""Moana""","Alessia Cara",195203,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
47,"XO TOUR Llif3","Lil Uzi Vert",191834,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
48,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,188927,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
49,Perfect,"Ed Sheeran",184039,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
50,Happier,"Ed Sheeran",182970,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
51,DNA.,"Kendrick Lamar",179711,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
52,"Over Alt","Emil Stabil",178568,https://open.spotify.com/track/5tLBOSKTeGUgbkG6cWDnBN
53,"Sign of the Times","Harry Styles",169714,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
54,"Solo Dance","Martin Jensen",168418,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
55,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",167169,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
56,"Call On Me - Ryan Riback Extended Remix",Starley,162787,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
57,"Say You Won't Let Go","James Arthur",159869,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
58,Lapper,"Lord Siva",154450,https://open.spotify.com/track/3j0VmVRcg0ciUNN9KFheTO
59,Cockblock,Jimilian,151115,https://open.spotify.com/track/1OZWyPMwub90x2V6TzRIsz
60,"Don Diego",Sleiman,149762,https://open.spotify.com/track/5EqFKibwuIStKtAW5y8MQt
61,Ansvar,Jamaika,145725,https://open.spotify.com/track/1klSF8bQKF2fDPJzQ1cTk2
62,"Det' Så Svært",BasedBoys,144226,https://open.spotify.com/track/6tFaynGBZSOJ2jX3i1v6Jk
63,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",143035,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
64,"iSpy (feat. Lil Yachty)",Kyle,137605,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
65,"God Dag",KESI,136306,https://open.spotify.com/track/4Jg4Qp4byYVpJ5m5NpiLa9
66,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",133725,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
67,Helwa,Gilli,132471,https://open.spotify.com/track/7uXAWHUWb9XiR7tXoLw4uD
68,"Kalash (feat. Sleiman)",Livid,130905,https://open.spotify.com/track/6tHDfZvR7zoV7IbFyF8BPy
69,"Paradise (with Olivia Holt)","Brandon Beal",127591,https://open.spotify.com/track/41ZZVPycoG1LY9od5BK0vl
70,Utro,Gulddreng,125036,https://open.spotify.com/track/3l5etN0PooxQ28Ac1pREpX
71,"Pakker Bar",NODE,123594,https://open.spotify.com/track/6hJRDlsnRK5o53tbhNC9VU
72,Bølgen,Molo,122459,https://open.spotify.com/track/7c5Ny3skYBWh5ByNpaUcZZ
73,"Still Got Time",ZAYN,122183,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
74,"The One","The Chainsmokers",122028,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
75,Consigliere,KESI,119142,https://open.spotify.com/track/1nWRwihlQeUoCIjZU3W0Cv
76,Gertrud,Gigis,118915,https://open.spotify.com/track/3SD2PJyQDG5H9Yz95feORS
77,Congratulations,"Post Malone",118703,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
78,Believer,"Imagine Dragons",117600,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
79,"Bon Appétit","Katy Perry",114519,https://open.spotify.com/track/14oOKFGuXu8DqvOe1W8vao
80,"Only You","Zara Larsson",113629,https://open.spotify.com/track/5SleX0NFeODNY7Xenal3gr
81,"The Cure","Lady Gaga",110914,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
82,Chunks,Phlake,109107,https://open.spotify.com/track/2N88e30E0fkrzPFxew6fo6
83,"Chained To The Rhythm","Katy Perry",103585,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
84,Thunder,"Imagine Dragons",101700,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
85,Closer,"The Chainsmokers",101564,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
86,Rolex,"Ayo & Teo",99273,https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt
87,"5 fine frøkner",Gabrielle,96788,https://open.spotify.com/track/2tFgv3sLFNc088KLtjxzVa
88,"I Love You","Axwell /\ Ingrosso",96521,https://open.spotify.com/track/11Fo4dAH31K7UZHGqCkCmE
89,Starboy,"The Weeknd",96104,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
90,Mercy,"Shawn Mendes",95770,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
91,Banken,Blak,94840,https://open.spotify.com/track/5EdbjgBXns1RIP1YGnSm9u
92,"For Evigt Ung",Sleiman,93889,https://open.spotify.com/track/71QQob1CUAwvN4pfC7jkLM
93,ELEMENT.,"Kendrick Lamar",93796,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
94,"LOVE. FEAT. ZACARI.","Kendrick Lamar",93333,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
95,"Little Do You Know","Alex & Sierra",91305,https://open.spotify.com/track/1almCHdsfikRPfVB9VrEdT
96,"Send Nudes","Vild Smith",91190,https://open.spotify.com/track/2bfhk4tIrP3ifeVq4wCRKn
97,Dive,"Ed Sheeran",91008,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
98,"Nede Mette",Blak,90313,https://open.spotify.com/track/1VsK3ZmpeWWNECZSzKL3rl
99,Weak,AJR,89759,https://open.spotify.com/track/6OuV4vfyb8v3vGGGksqyKf
100,Location,Khalid,89637,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
101,"All Night","The Vamps",89517,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
102,"Dum Som Mig",Citybois,88990,https://open.spotify.com/track/6AKPNSWJlVFN5YZkY0ZmaW
103,"Se Mig Nu",Gulddreng,88559,https://open.spotify.com/track/4pHxNkqJZYRkGlJrzuvN0y
104,"Don't Leave",Snakehips,88418,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
105,"For Evigt",Volbeat,87627,https://open.spotify.com/track/59fQzvSv0wPQorW2Bh0pns
106,"It's Gotta Be You",Isaiah,87535,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
107,"Galway Girl - Martin Jensen Remix","Ed Sheeran",87152,https://open.spotify.com/track/2A17f6I4fh6GqYX0J8noGr
108,"Angel Zoo",Phlake,87009,https://open.spotify.com/track/672amoeenDyj593OhDRgak
109,"Middle Of The Night","The Vamps",86963,https://open.spotify.com/track/5dQJKDx0x73seZbwSORa1T
