Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",24456,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Shape of You","Ed Sheeran",20397,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,HUMBLE.,"Kendrick Lamar",20166,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
4,"Symphony (feat. Zara Larsson)","Clean Bandit",17423,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
5,"Something Just Like This","The Chainsmokers",17236,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
6,"It Ain't Me (with Selena Gomez)",Kygo,16918,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
7,Passionfruit,Drake,16468,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
8,"Mask Off",Future,16021,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
9,"Stay (with Alessia Cara)",Zedd,14724,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
10,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",14033,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
11,"I'm the One","DJ Khaled",13733,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
12,"Scared to Be Lonely","Martin Garrix",13546,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
13,"There's Nothing Holdin' Me Back","Shawn Mendes",13373,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
14,Issues,"Julia Michaels",12796,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
15,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",12697,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
16,Slide,"Calvin Harris",11780,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
17,"Sign of the Times","Harry Styles",11669,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
18,DNA.,"Kendrick Lamar",11417,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
19,"Good Life (with G-Eazy & Kehlani)",G-Eazy,11207,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
20,Believer,"Imagine Dragons",10675,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
21,"Call On Me - Ryan Riback Extended Remix",Starley,10602,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
