Position,"Track Name",Artist,Streams,URL
1,"DUELE EL CORAZON","Enrique Iglesias",2099165,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
2,"One Dance",Drake,1349532,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
3,"Baila Conmigo","Juan Magán",1112935,https://open.spotify.com/track/7dpNTLMcvvlYc1EpSQ3Ebl
4,Faded,"Alan Walker",1078014,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
5,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",1066476,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
6,"Cheap Thrills",Sia,1001120,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
7,"7 Years","Lukas Graham",988199,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
8,"Hasta el Amanecer","Nicky Jam",949817,https://open.spotify.com/track/4wFHfY9IILHLNwakPuFogD
9,"Cómo Te Atreves",Morat,927277,https://open.spotify.com/track/4F4ThrVSCPDBaiUxfD1TWV
10,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",893890,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
11,Work,Rihanna,870569,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
12,"Vuela Corazón",Dasoul,811629,https://open.spotify.com/track/6q8VDoKHZhOBLTqH1eymcc
13,"Ain't Your Mama","Jennifer Lopez",809147,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
14,"Cake By The Ocean",DNCE,776138,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
15,"Work from Home","Fifth Harmony",770934,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
16,"Lush Life","Zara Larsson",762784,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
17,"Love Yourself","Justin Bieber",755711,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
18,NO,"Meghan Trainor",749189,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
19,"Hymn For The Weekend",Coldplay,739380,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
20,"Fast Car - Radio Edit","Jonas Blue",738782,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
21,"Stressed Out","Twenty One Pilots",720159,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
22,"Catch & Release - Deepend Remix","Matt Simons",652499,https://open.spotify.com/track/3MSZpokwCtkv9BV0vS3uGr
23,"Una en un Millón","Alexis & Fido",637509,https://open.spotify.com/track/4SrcC7RYF496LSwl0XKdi1
24,Picky,"Joey Montana",628885,https://open.spotify.com/track/0ZogPPD0uFaPXVhlZJOtSK
25,"Me, Myself & I",G-Eazy,628284,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
26,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",628026,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
27,"Mayor Que Yo 3","Luny Tunes",597868,https://open.spotify.com/track/00AoRZ8103mVeOVfpTfGuR
28,Stitches,"Shawn Mendes",572576,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
29,Traidora,"Gente De Zona",572549,https://open.spotify.com/track/7Fl3wSxRqBljyQH8dJSz9c
30,Sorry,"Justin Bieber",567881,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
31,PILLOWTALK,ZAYN,557972,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
32,"Por Fin Te Encontré","Cali Y El Dandee",530870,https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM
33,"Borro Cassette",Maluma,530706,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
34,"This Is What You Came For","Calvin Harris",525597,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
35,"Te Busco",Cosculluela,523512,https://open.spotify.com/track/2M2WWJE863upPYUrzCRjN6
36,"What Do You Mean?","Justin Bieber",508944,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
37,"Adventure Of A Lifetime",Coldplay,483882,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
38,"La Gozadera","Gente De Zona",458741,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9
39,"Tu Enemigo","Pablo López",449923,https://open.spotify.com/track/1G2gMKvtexF64ti7tJJBGy
40,"Ginza - Remix","J Balvin",442660,https://open.spotify.com/track/7AEPYcUqdNd2rVpIyQF3KG
41,"Sugar (feat. Francesco Yates)","Robin Schulz",437895,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
42,"Lean On (feat. MØ & DJ Snake)","Major Lazer",436866,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
43,Hello,Adele,428494,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
44,"Ya No","Manuel Carrasco",423019,https://open.spotify.com/track/6WjGi2WtgBNOkalkUcDgEn
45,"No Money",Galantis,417463,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
46,"Dancing Kizomba","Alx Veliz",402793,https://open.spotify.com/track/7mdI42BGPlvhYPBBDXajFN
47,"Hotline Bling",Drake,387449,https://open.spotify.com/track/1UfBAJfmofTffrae5ls6DA
48,Encantadora,Yandel,385125,https://open.spotify.com/track/7LABrQFfRYcZUqUwng0Heb
49,"Sorry - Latino Remix","Justin Bieber",384431,https://open.spotify.com/track/0XXLwO7YHHTAK3OJkWQ37b
50,Vuelve,"Juan Magán",366959,https://open.spotify.com/track/1mNJT19BzMjOoUrxSUp0xi
51,"Andas En Mi Cabeza","Chino & Nacho",348198,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
52,"Don't Let Me Down","The Chainsmokers",329432,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
53,"How Deep Is Your Love","Calvin Harris",327515,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
54,Panda,Desiigner,300526,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
55,"Can't Feel My Face","The Weeknd",299295,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
56,"Punto Final","Danny Romero",298686,https://open.spotify.com/track/5BkjcNFsRsYzJVclkRRPkQ
57,"Encantadora - Remix",Yandel,294365,https://open.spotify.com/track/0EpFfFZpCuqYFzHvxOtrZS
58,Sex,"Cheat Codes",290818,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
59,"El Perdedor",Maluma,283308,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O
60,"Dangerous Woman","Ariana Grande",282964,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
61,"Ay Mi Dios",IAmChino,269374,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
62,"Uno X Uno","Manuel Carrasco",269064,https://open.spotify.com/track/5UT0srpbH055rM8lyCNTJV
63,Obsesionado,Farruko,263914,https://open.spotify.com/track/5Jt4zdXTd9y1zxihiNYQI1
64,"Cheap Thrills",Sia,260274,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
65,"Shaky Shaky","Daddy Yankee",259211,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
66,Embriágame,"Zion & Lennox",255934,https://open.spotify.com/track/6VOOxQlOwtzGWwHKrnExiI
67,"Hasta Que Se Seque el Malecón - Remix","Jacob Forever",249885,https://open.spotify.com/track/0VPImdKsERMPh8pkB3iMZe
68,Vaivén,"Daddy Yankee",249168,https://open.spotify.com/track/0OnqFl8tNKgkIl489RdfuK
69,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",246704,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
70,Roses,"The Chainsmokers",246105,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
71,"Algo Contigo","Gente De Zona",240572,https://open.spotify.com/track/5l390fUPNwGSi6ECobpc20
72,Middle,"DJ Snake",239290,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
73,"My House","Flo Rida",223598,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
74,"El Perdón","Nicky Jam",223219,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
75,"Como Lo Hacia Yo (Official Remix)",Ken-Y,219229,https://open.spotify.com/track/2d1Bkco7bbFw050xDvZqQ1
76,"Si Ella Quisiera","Justin Quiles",218326,https://open.spotify.com/track/2mnetxJJgXe4LeJGuUbsLB
77,"Needed Me",Rihanna,211858,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
78,"i hate u, i love u (feat. olivia o'brien)",gnash,210500,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
79,"Not a Crime - No Es Ilegal",Play-N-Skillz,202815,https://open.spotify.com/track/27bP0pI331DN68c70THzso
80,"Say Yay!",Barei,200791,https://open.spotify.com/track/11cf086T0gxzVy9KHh77Iq
81,"Casi Nada","Karol G",193967,https://open.spotify.com/track/1VeH9CbaJji8yPt0g19YoC
82,"Bonita (Down 4 Me Remix) [feat. Kevin Roldan]","Jhoni The Voice",192790,https://open.spotify.com/track/6ezcjhdV8B3xkzACi81bRv
83,Hero,"Family of the Year",187376,https://open.spotify.com/track/6GRDI9suQHikFP6euIXnpq
84,"If It Ain't Love","Jason Derulo",181316,https://open.spotify.com/track/5YHR8wBR5jXfGtP766NiAT
85,"Te Recordaré Bailando","Don Omar",181226,https://open.spotify.com/track/2jGVtXggR9aUlGFkMVvYhP
86,"El Mismo Sol","Alvaro Soler",181063,https://open.spotify.com/track/6r7NpPqdzsBeLSg1Csfby8
87,"Desde Esa Noche",Thalía,181001,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E
88,Stay,Kygo,178431,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
89,"Hands To Myself","Selena Gomez",176893,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
90,"Tan Fácil",CNCO,173593,https://open.spotify.com/track/4VzTgFuvibkLxImiYIiG59
91,"Locked Away","R. City",170657,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
92,Sofia,"Alvaro Soler",167069,https://open.spotify.com/track/0urDLEnHddaaQ6pJavi6bR
93,Sax,"Fleur East",166301,https://open.spotify.com/track/2lqgZDZnlXmVZgToWuoC0l
94,"Never Forget You","Zara Larsson",163307,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
95,Photograph,"Ed Sheeran",162981,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
96,"Quiero Experimentar","J Alvarez",158564,https://open.spotify.com/track/5M7xJdaJJbs8ZVzS8TfVA2
97,"Hide Away",Daya,155436,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
98,Close,"Nick Jonas",155267,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
99,"Pierdo la Cabeza - Official Remix","Zion & Lennox",150603,https://open.spotify.com/track/7tA7IQiLWAqTXahUQ9RvfN
100,"Uptown Funk","Mark Ronson",149198,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
101,"Ain't Nobody (Loves Me Better)","Felix Jaehn",148784,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
102,Ginza,"J Balvin",148500,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k
103,"Reality - Radio Edit","Lost Frequencies",148110,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS
104,"Easy Love",Sigala,142335,https://open.spotify.com/track/5MMp4HNtX6T2xT9w6Xmaxn
105,"Who's loving you? (feat. Anastacia)",Auryn,139918,https://open.spotify.com/track/0AlA1HEKSStJRUc58jRErZ
106,"No soy una de esas - feat. Alejandro Sanz","Jesse & Joy",139386,https://open.spotify.com/track/3QjkcFDVHOB4Z43esP5A8N
107,"Un Beso","Baby Rasta & Gringo",138968,https://open.spotify.com/track/1COYky3a9LGN0bGBfCmFTm
108,"50 Sombras de Austin",Arcangel,138378,https://open.spotify.com/track/7hWlUt8L0rNx1Q8RZnUVQz
109,"Travesuras - Remix","Nicky Jam",138182,https://open.spotify.com/track/7LWNXhCVm6GWy2QGpogknU
110,"Stole the Show",Kygo,137584,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
111,YOUTH,"Troye Sivan",137298,https://open.spotify.com/track/68fXn0TVggt7Gr0sPbBuI5
112,"No Sales de Mi Mente",Yandel,137268,https://open.spotify.com/track/2suE76uvhA05ks3YbvwRGT
113,"Thinking Out Loud","Ed Sheeran",137095,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
114,"Ganas de Ti","Zion & Lennox",136482,https://open.spotify.com/track/6OByZogwWbqK9rOvKcJdFR
115,Gold,Kiiara,135427,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
116,"Si Tú No Estás","Nicky Jam",135055,https://open.spotify.com/track/5BAmltzhQpFXtBddPN4sUf
117,"No Quiere Enamorarse (Remix) [feat. Daddy Yankee]",Ozuna,134869,https://open.spotify.com/track/4vlbjBSMqycZk6t4HVRpnC
118,"Want to Want Me","Jason Derulo",134181,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
119,"Picky - Remix","Joey Montana",133921,https://open.spotify.com/track/2rxfW9kZHF20HB5RlW6T3K
120,"El Error (feat. Zion & Lennox) - Remix",Reykon,130935,https://open.spotify.com/track/4ODirOUDqNg3lQQLxdq3Jc
121,"Si No Te Quiere",Ozuna,128792,https://open.spotify.com/track/2ZdxaDa54hdjP1gFmuAvec
122,"La Mordidita","Ricky Martin",128630,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm
123,"Where Are Ü Now (with Justin Bieber)","Jack Ü",127221,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
124,"Wild Things","Alessia Cara",126919,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
125,"Nunca Me Olvides",Yandel,125925,https://open.spotify.com/track/27ebni0DfbT5Owz6W42HP8
126,Famous,"Kanye West",125238,https://open.spotify.com/track/7KOcjfiSuMPsQqLXhD0PlN
127,Bonbon,"Era Istrefi",124607,https://open.spotify.com/track/3Uz8ZcQdlOF2qE6q1rcVpw
128,"Hundred Miles",Yall,124589,https://open.spotify.com/track/5dyDkXi1bnQKSyIdO0JXp8
129,"Vamos a Ponernos Locos","Mark B.",124325,https://open.spotify.com/track/0sVJ8tmeN5qq47H4hAxfLc
130,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,123694,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
131,"Me Voy Enamorando - Remix","Chino & Nacho",123367,https://open.spotify.com/track/0nfBKG11Wv2bK8cPjMU5VB
