Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",751039,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Pettävällä Jäällä - Vain Elämää Kausi 6","Nikke Ankara",670098,https://open.spotify.com/track/2C7Yzl61H8BE3EbK2Qk1sM
3,"Rakkaus On Lumivalkoinen - Vain Elämää Kausi 6",Robin,600846,https://open.spotify.com/track/6vsB8NUCBMLuuYmsYtZSra
4,"Karjala Takas","Portion Boys",530980,https://open.spotify.com/track/1PZNjZOmm3ZmaWkqvmJpaY
5,"Hula Hula",Robin,459272,https://open.spotify.com/track/5WytJMdICvcrJF6JY0W4pl
6,Antaudun,"Reino Nordin",456232,https://open.spotify.com/track/4waYSI6TTW0guhTJc4gWzq
7,"Jokainen kyynel",Profeetat,430969,https://open.spotify.com/track/5XXd8LSfEqqhLJBUcX3O5R
8,"Symphony (feat. Zara Larsson)","Clean Bandit",421931,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
9,"Kyyneleet - Vain Elämää Kausi 6","Nikke Ankara",412491,https://open.spotify.com/track/0JWDlJh0dqByvkPBGEP90W
10,"Tanssi se ulos (feat. Ellinoora)","Roope Salminen & Koirat",380024,https://open.spotify.com/track/1jFYy4KngiDNpG5yw6cOQA
11,"Shape of You","Ed Sheeran",379512,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
12,"Satamiljoonaa Kertaa",Mäkki,362475,https://open.spotify.com/track/49Eo0N8DP9mt3e6EiaqbxY
13,"Rahan takii","Antti Tuisku",346126,https://open.spotify.com/track/4UDDfd77rlXmNjgW1NKhWq
14,"Muistanks Mä Väärin?",Gasellit,336508,https://open.spotify.com/track/6YLtZNcayG9lmvUn906xsp
15,"Mä En Kestä","Laura Voutilainen",336354,https://open.spotify.com/track/28bSOChAMwPQE9dxBmhAGA
16,"Mask Off",Future,321295,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
17,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",304974,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
18,"Tuuleksi Taivaanrantaan - Vain Elämää Kausi 6",Robin,300803,https://open.spotify.com/track/4pR2ghU4F61Zzmi8qWFYlA
19,"I'm the One","DJ Khaled",282899,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
20,"Galway Girl","Ed Sheeran",276861,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
21,"There's Nothing Holdin' Me Back","Shawn Mendes",275672,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
22,Thumbs,"Sabrina Carpenter",273617,https://open.spotify.com/track/3UjJP4ludb74a29P5EHEIo
23,"First Time",Kygo,266296,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
24,"It Ain't Me (with Selena Gomez)",Kygo,263363,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
25,"K18 (feat. Kuningas Pähkinä & Setä Tamu)",ILARI,261597,https://open.spotify.com/track/5YX7q7AqdB9t6b5ld5xrCk
26,"Good Life (with G-Eazy & Kehlani)",G-Eazy,260640,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
27,"SUBEME LA RADIO","Enrique Iglesias",257925,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
28,"Satuprinsessa (Vain elämää kausi 6)",Samu,240857,https://open.spotify.com/track/1pUuZi31pjEIayPjqNJXT1
29,HUMBLE.,"Kendrick Lamar",235747,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
30,"Sitä säät mitä tilaat (feat. Ellinoora)",JVG,235363,https://open.spotify.com/track/5DTBkAANRc9K2B2uZ9aVCU
31,"California Dreaming (feat. Snoop Dogg & Paul Rey)","Arman Cekin",229286,https://open.spotify.com/track/5DOP9l0x4NvCIsS1tOGrre
32,"Kylmii Väreitä",Evelina,224724,https://open.spotify.com/track/7MddwdpQ7sh3Pi1xHUSr4K
33,"Hulluuden Highway","Haloo Helsinki!",223946,https://open.spotify.com/track/1RPMDcIljymdp7dSgTfhls
34,"Chasing Highs",ALMA,222837,https://open.spotify.com/track/6fTsxhIosAU6zXTAhSaemI
35,"Liikaa Sussa Kii","Mikael Gabriel",213916,https://open.spotify.com/track/0MEuAbpzkCXjFu2ey5vKaD
36,Attention,"Charlie Puth",208923,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
37,"You Don't Know Me","Jax Jones",208000,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
38,"Something Just Like This","The Chainsmokers",207944,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
39,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",207647,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
40,"Arvon Leidit","Teflon Brothers",203626,https://open.spotify.com/track/7KHixMcZqOwQ1Q2svkO4la
41,"Rakasta mua nyt","Haloo Helsinki!",197632,https://open.spotify.com/track/5UNK9WOIrLsFjKFgBcWv2o
42,"Scared to Be Lonely","Martin Garrix",193522,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
43,"Työmiehen lauantai (feat. Tippa-T)","Arttu Wiskari",184817,https://open.spotify.com/track/1ZIfhYiIWAHIDGFELBau6x
44,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",182387,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9
45,"Filmi katkee","Aleksanteri Hakaniemi",181674,https://open.spotify.com/track/2G6x5MCndBRioc5CiMSDMx
46,"Stay (with Alessia Cara)",Zedd,179517,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
47,"Särkynyt enkeli (Vain elämää kausi 6)","Laura Voutilainen",178318,https://open.spotify.com/track/4tqhPqcPCimLqVpNsEgu4J
48,Unforgettable,"French Montana",176633,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
49,Urheiluhullu,JVG,175912,https://open.spotify.com/track/0mj07aASkf2RYZR1QQ5k7l
50,Superpowers,SAARA,171572,https://open.spotify.com/track/0f0ZZmJr7UFq8D2OkTpDx0
51,"Tahdon rakastella sinua",SANNI,158773,https://open.spotify.com/track/6FwrG9yyKfGve1wOMq98f9
52,"No Promises (feat. Demi Lovato)","Cheat Codes",155994,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
53,Skin,"Rag'n'Bone Man",155862,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
54,"Sign of the Times","Harry Styles",152555,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
55,Thunder,"Imagine Dragons",151462,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
56,Cold,"Maroon 5",149235,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
57,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",144607,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
58,"Walk Away",LVNDSCAPE,142582,https://open.spotify.com/track/3HTDOoRoGvwpmMTIOOQehV
59,"Bon Appétit","Katy Perry",129452,https://open.spotify.com/track/14oOKFGuXu8DqvOe1W8vao
60,"Kiitos kaikesta (Vain elämää kausi 6)",Irina,121953,https://open.spotify.com/track/5bXs3ZyDRwsYE0mADVnZAR
61,Believer,"Imagine Dragons",121468,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
62,Passionfruit,Drake,120238,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
63,Slide,"Calvin Harris",119329,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
64,Shampanjahai,Pykäri,118596,https://open.spotify.com/track/3zE5YVw4T8LLiNAQYrLsjh
65,"Ihmisen poika (Vain elämää kausi 6)",Irina,118386,https://open.spotify.com/track/43zv86aLyGvntA50OqzfPb
66,"Chained To The Rhythm","Katy Perry",115241,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
