Position,"Track Name",Artist,Streams,URL
1,"Θ. Macarena",Damso,1460822,https://open.spotify.com/track/2UZW9WOPXdxw9YMG1bebS8
2,"Α. Nwaar Is The New Black",Damso,1415899,https://open.spotify.com/track/57U26FwUclMqyZ5ylnPpw1
3,"B. #QuedusaalVie",Damso,1249396,https://open.spotify.com/track/4HvYhaXDmmAW6ZmPcgPZca
4,"Γ. Mosaïque solitaire",Damso,1246351,https://open.spotify.com/track/1E3zyoTHtJzsu5CjwIFIhY
5,"Ε. Signaler",Damso,1098398,https://open.spotify.com/track/03aduXwm6cTqO9bb4XFQ2b
6,"Shape of You","Ed Sheeran",1071597,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
7,"Ζ. Kietu",Damso,1021534,https://open.spotify.com/track/5urhEtesorARjZhjSaFntn
8,"Δ. Dieu ne ment jamais",Damso,969668,https://open.spotify.com/track/6ATkHaUrIJUtwyhoGMmQgw
9,"N. J Respect R",Damso,963478,https://open.spotify.com/track/75UFzgBCaVwJJ4IVIaatpe
10,"Η. Gova",Damso,870039,https://open.spotify.com/track/0fBxgiQe76HZFFqN2FUUpw
11,"Despacito - Remix","Luis Fonsi",837525,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
12,"Λ. Lové",Damso,799482,https://open.spotify.com/track/4myoVer3cPAUqBzDigYf7A
13,"Mask Off",Future,794056,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
14,"Κ. Kin la belle",Damso,793473,https://open.spotify.com/track/6nGSXuZrE5P7gSvtJs4unC
15,"Ι. Peur d'être père",Damso,738354,https://open.spotify.com/track/1lQBpwzlkwNiRyCiifKtRA
16,"Μ. Noob Saibot",Damso,684611,https://open.spotify.com/track/6p2bt2xM6mf25q3wAmI5kd
17,"Ξ. Une âme pour deux",Damso,652509,https://open.spotify.com/track/0PEvNecmiHz8PsegFXXmcF
18,"It Ain't Me (with Selena Gomez)",Kygo,615803,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
19,"You Don't Know Me","Jax Jones",605369,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
20,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",601187,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
21,HUMBLE.,"Kendrick Lamar",599113,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
22,"Call On Me - Ryan Riback Extended Remix",Starley,592234,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
23,"Chocolat (feat. Awa Imani)",Lartiste,547495,https://open.spotify.com/track/4fwtP5khM1iEoa6BP1QQsX
24,Passionfruit,Drake,511698,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
25,"Symphony (feat. Zara Larsson)","Clean Bandit",508069,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
26,"Mon p'tit loup",Sofiane,505744,https://open.spotify.com/track/5KiN9bo3oA4JXWQDMESlDo
27,Ghetto,Benash,501374,https://open.spotify.com/track/3VdDQkNCQKPAL4nZlFKWlN
28,"Scared to Be Lonely","Martin Garrix",500165,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
29,"I Feel It Coming","The Weeknd",478238,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
30,"Stay (with Alessia Cara)",Zedd,471312,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
31,"Something Just Like This","The Chainsmokers",457772,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
32,"Sunset Lover","Petit Biscuit",455926,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
33,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,447698,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
34,"Be Mine",Ofenbach,443670,https://open.spotify.com/track/2KklXplRtxMsBYo474Es0w
35,"Poupée russe",SCH,439322,https://open.spotify.com/track/0bdlfIxTlhzYfRSoP1dtRd
36,"Million Eyes","Loïc Nottet",438442,https://open.spotify.com/track/63qapUS8yLKz0tb0eOgOTF
37,Bené,PNL,430894,https://open.spotify.com/track/00X2yv2vrtritPt2CZnUTZ
38,"Comme si",SCH,425973,https://open.spotify.com/track/5C5BOpcX0ToTheeDwwsbqL
39,Tuesday,"Burak Yeter",424262,https://open.spotify.com/track/5c4tB0saSkNHX5CyDosuF7
40,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",424167,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
41,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",421459,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
42,"No Lie","Sean Paul",416749,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
43,Slide,"Calvin Harris",406200,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
44,"Oh bah oui",Lacrim,398050,https://open.spotify.com/track/0z18wqbjuXTxzaNm4oegU2
45,Cold,"Maroon 5",394439,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
46,"Never Give Up",Sia,387149,https://open.spotify.com/track/1ssmjAYSU5PbmsjLq5yrNH
47,Toka,Sofiane,383752,https://open.spotify.com/track/0FgPMKVbynyNAC0qPGSWvW
48,"Afro Trap Pt. 8 (Never)",MHD,382219,https://open.spotify.com/track/1MUxJxub6ovS0rzTHRgyoF
49,Brothers,Rilès,376374,https://open.spotify.com/track/45KqDHTOJtIM53QR1gPGTa
50,"Gramme 2 peuf","Hornet La Frappe",370056,https://open.spotify.com/track/0U050yYuyc2Gq9hrfvfEq8
51,"Galway Girl","Ed Sheeran",363565,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
52,"Tout l'monde s'en fout",Sofiane,361395,https://open.spotify.com/track/7syABtsvHvD3nO7OG91Ani
53,Human,"Rag'n'Bone Man",355564,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
54,"Chasse à l'homme",Niska,350726,https://open.spotify.com/track/6Y6mUgZmUadVvfFuoGuy64
55,"It Won't Kill Ya","The Chainsmokers",349415,https://open.spotify.com/track/5xhJmd0I15jFcEdqxfCzKk
56,"Hear Me Now",Alok,343652,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
57,"I'm the One","DJ Khaled",341948,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
