Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,5507770,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
2,"This Is What You Came For","Calvin Harris",3703619,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
3,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",2553944,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
4,"No Money",Galantis,2342825,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
5,"Work from Home","Fifth Harmony",2185647,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
6,Panda,Desiigner,1990000,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
7,"Lush Life","Zara Larsson",1870252,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
8,"Cake By The Ocean",DNCE,1827602,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
9,"Girls Like (feat. Zara Larsson)","Tinie Tempah",1751357,https://open.spotify.com/track/0rHVd8h0cFwgLgPFem6S60
10,"Cheap Thrills",Sia,1750091,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
11,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",1730118,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
12,"7 Years","Lukas Graham",1697944,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
13,Faded,"Alan Walker",1666230,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
14,"Fast Car - Radio Edit","Jonas Blue",1649820,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
15,Work,Rihanna,1577690,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
16,Middle,"DJ Snake",1564366,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
17,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",1462218,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
18,Sex,"Cheat Codes",1391489,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
19,"Stressed Out","Twenty One Pilots",1379600,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
20,"Me, Myself & I",G-Eazy,1366676,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
21,Hair,"Little Mix",1286826,https://open.spotify.com/track/5jlsg7onynIipVy5krMaRZ
22,"Nothing Like This",Blonde,1282350,https://open.spotify.com/track/4PFQ4EQBtJUp2jQjpmYkVA
23,"i hate u, i love u (feat. olivia o'brien)",gnash,1246931,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
24,"Cheap Thrills",Sia,1242962,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
25,Roses,"The Chainsmokers",1202334,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
26,"Dangerous Woman","Ariana Grande",1183031,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
27,Close,"Nick Jonas",1182853,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
28,"Love Yourself","Justin Bieber",1177212,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
29,"Hymn For The Weekend",Coldplay,1162207,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
30,Sorry,"Justin Bieber",1141065,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
31,Stitches,"Shawn Mendes",1077657,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
32,PILLOWTALK,ZAYN,1022961,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
33,"Say You Do - Radio Edit",Sigala,1018255,https://open.spotify.com/track/0yH3S4xetaaby9moapVy7K
34,Stay,Kygo,995366,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
35,"Boys & Girls",will.i.am,974483,https://open.spotify.com/track/2bhClfvMI1WBazskedPFB5
36,"Dancing On My Own","Calum Scott",955855,https://open.spotify.com/track/2TmLZLv57mW4OA3Il1ULsf
