Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,46704182,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
2,"This Is What You Came For","Calvin Harris",24314606,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
3,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",22492229,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
4,Panda,Desiigner,22426460,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
5,"Work from Home","Fifth Harmony",21672701,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
6,"Don't Let Me Down","The Chainsmokers",19898309,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
7,"Cheap Thrills",Sia,19134890,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
8,"7 Years","Lukas Graham",17729925,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
9,Work,Rihanna,17089856,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
10,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",16705601,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
11,Faded,"Alan Walker",16018722,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
12,Sex,"Cheat Codes",15990635,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
13,"Fast Car - Radio Edit","Jonas Blue",15022498,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
14,"Cake By The Ocean",DNCE,14981254,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
15,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",14496249,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
16,"Me, Myself & I",G-Eazy,14487880,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
17,"Stressed Out","Twenty One Pilots",14318236,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
18,Middle,"DJ Snake",14182166,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
19,PILLOWTALK,ZAYN,13569182,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
20,"No Money",Galantis,13500305,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
21,"Needed Me",Rihanna,13124273,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
22,"Dangerous Woman","Ariana Grande",13082728,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
23,"Love Yourself","Justin Bieber",12708692,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
24,"i hate u, i love u (feat. olivia o'brien)",gnash,12314406,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
25,"Lush Life","Zara Larsson",11552871,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
26,Close,"Nick Jonas",11385270,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
27,NO,"Meghan Trainor",11335411,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
28,Roses,"The Chainsmokers",11170542,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
29,"My House","Flo Rida",10789518,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
30,Sorry,"Justin Bieber",10510024,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
31,"Never Forget You","Zara Larsson",10204446,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
32,Gold,Kiiara,9507033,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
33,"Hymn For The Weekend",Coldplay,9361149,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
34,"Pop Style",Drake,8586587,https://open.spotify.com/track/23NWj2izXAJ4yL6Nah73wf
35,Stay,Kygo,8557117,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
36,"Wild Things","Alessia Cara",8462641,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
37,"Sugar (feat. Francesco Yates)","Robin Schulz",8049234,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
38,Stitches,"Shawn Mendes",7874326,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
39,"DUELE EL CORAZON","Enrique Iglesias",7591142,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
40,Famous,"Kanye West",7488218,https://open.spotify.com/track/7KOcjfiSuMPsQqLXhD0PlN
41,"Never Be Like You (feat. Kai)",Flume,7465014,https://open.spotify.com/track/6y0igZArWVi6Iz0rj35c1Y
42,"What Do You Mean?","Justin Bieber",7430567,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
43,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",7429882,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
44,"Lean On (feat. MØ & DJ Snake)","Major Lazer",7391494,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
45,"Low Life",Future,7189428,https://open.spotify.com/track/71SDPonZOsIKNtqnaX8LXj
46,"All My Friends",Snakehips,7148915,https://open.spotify.com/track/6TaqooOXAEcijL6G1AWS2K
47,YOUTH,"Troye Sivan",7136107,https://open.spotify.com/track/68fXn0TVggt7Gr0sPbBuI5
48,"Hide Away",Daya,7026808,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
49,"If It Ain't Love","Jason Derulo",6834433,https://open.spotify.com/track/5YHR8wBR5jXfGtP766NiAT
50,Jumpman,Drake,6831617,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
51,"Hands To Myself","Selena Gomez",6313795,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
52,"Once In a While",Timeflies,6240811,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
53,Ride,"Twenty One Pilots",5761842,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
54,"Girls Like (feat. Zara Larsson)","Tinie Tempah",5718282,https://open.spotify.com/track/0rHVd8h0cFwgLgPFem6S60
55,Hello,Adele,5586498,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
56,"LIKE I WOULD",ZAYN,5533506,https://open.spotify.com/track/1zWMf9bVyhY5W3ZORbjNWt
57,"Adventure Of A Lifetime",Coldplay,5364692,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
58,"Hotline Bling",Drake,5192045,https://open.spotify.com/track/1UfBAJfmofTffrae5ls6DA
59,"Cheap Thrills",Sia,5068632,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
60,"Into You","Ariana Grande",4973998,https://open.spotify.com/track/3AnwddQhBCSDUwlvbRGyDA
61,Raging,Kygo,4945881,https://open.spotify.com/track/6DsFZITJMPnh8z5XewfVmL
62,"Can't Feel My Face","The Weeknd",4663717,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
63,"One Call Away","Charlie Puth",4517755,https://open.spotify.com/track/37R0bQOQj5a7DOqh1TGzvB
64,"Hasta el Amanecer","Nicky Jam",4496927,https://open.spotify.com/track/4wFHfY9IILHLNwakPuFogD
65,oui,Jeremih,4380356,https://open.spotify.com/track/0PJIbOdMs3bd5AT8liULMQ
66,Photograph,"Ed Sheeran",4266845,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
67,"How Deep Is Your Love","Calvin Harris",4076285,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
68,"2 Phones","Kevin Gates",4055569,https://open.spotify.com/track/0wdKiSBUT7aZkXUIdJWcwC
69,"Let It Go","James Bay",3976650,https://open.spotify.com/track/40EB7ABUO6MoWMUwPKptJ7
70,"Working For It - Bonus Track",ZHU,3925605,https://open.spotify.com/track/0P6RjFd2HgG2AXJadQuGfE
71,"The Hills","The Weeknd",3832695,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
72,"Father Stretch My Hands Pt. 1","Kanye West",3805615,https://open.spotify.com/track/7GwMPc1Id4sAotVekDP4b2
73,"Don't Mind","Kent Jones",3756107,https://open.spotify.com/track/27PmvZoffODNFW2p7ehZTQ
74,"Ain't Your Mama","Jennifer Lopez",3755238,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
75,"Thinking Out Loud","Ed Sheeran",3751738,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
76,Don't,"Bryson Tiller",3749966,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
77,"Where Are Ü Now (with Justin Bieber)","Jack Ü",3693933,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
78,Exchange,"Bryson Tiller",3632231,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN
79,"Lost Boy","Ruth B.",3536717,https://open.spotify.com/track/4h0zU3O9R5xzuTmNO7dNDU
80,Sugar,"Maroon 5",3489668,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk
81,"Catch & Release - Deepend Remix","Matt Simons",3447139,https://open.spotify.com/track/3MSZpokwCtkv9BV0vS3uGr
82,"Pity Party","Melanie Martinez",3437080,https://open.spotify.com/track/3fo6DYGktjENCiagUeU9yH
83,"Summer Sixteen",Drake,3417163,https://open.spotify.com/track/17Q87zeXgsAi9iQQbMu9v0
84,"Running Out",Matoma,3409450,https://open.spotify.com/track/2H8LPaY3NSjmOFMH2Rygnz
85,"Rock Bottom","Hailee Steinfeld",3368858,https://open.spotify.com/track/2qxaR31Te4xDR2yO6LqM8z
86,Picky,"Joey Montana",3366857,https://open.spotify.com/track/0ZogPPD0uFaPXVhlZJOtSK
87,"When We Were Young",Adele,3365958,https://open.spotify.com/track/7A2eDNBgJrEVE87C8pOMqN
88,"No Broken Hearts (feat. Nicki Minaj)","Bebe Rexha",3350061,https://open.spotify.com/track/4qULqxfCRhJAXVc75UupQB
89,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,3343664,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
90,"Sit Still, Look Pretty",Daya,3277256,https://open.spotify.com/track/1sSNWjLtY4GwyhqAwAnPD9
91,Breathe,Seeb,3256603,https://open.spotify.com/track/6s5smacBOoWoI08Vi6EX5T
92,"Borro Cassette",Maluma,3220345,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
93,Company,"Justin Bieber",3216309,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn
94,Chandelier,Sia,3203208,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
95,"Dark Necessities","Red Hot Chili Peppers",3193719,https://open.spotify.com/track/1cjiLJacTKtJbdCtMk1XeV
96,"Uptown Funk","Mark Ronson",3181916,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
97,"Come and See Me (feat. Drake)",PARTYNEXTDOOR,3129193,https://open.spotify.com/track/3dBveK0fmnxbiXXgAX6lau
98,Bonbon,"Era Istrefi",3113697,https://open.spotify.com/track/3Uz8ZcQdlOF2qE6q1rcVpw
99,"See You Again (feat. Charlie Puth) - From ""Furious 7""","Wiz Khalifa",3075614,https://open.spotify.com/track/66CFbqJScx6zRieGllITcs
100,"I Know What You Did Last Summer","Shawn Mendes",3066386,https://open.spotify.com/track/7crplFzt7spG80NCbpmuCp
101,"Say It (feat. Tove Lo)",Flume,3039853,https://open.spotify.com/track/217xrcrbBtgJhvlHicxTSH
102,Waves,"Kanye West",3008606,https://open.spotify.com/track/0T3ruvJQNQeTyK7tWKvdoX
103,Capsize,FRENSHIP,3007802,https://open.spotify.com/track/4qH3RkbFgzxYyXUD8YC8kr
104,"Kiss It Better",Rihanna,2993850,https://open.spotify.com/track/7bmqcI1HQwx1PWwYyZO0lg
105,"Uber Everywhere",Madeintyo,2956839,https://open.spotify.com/track/7zBPzAjKAqQpcv8F8GCq5s
106,"Golden Light (feat. 6AM)",Madden,2940292,https://open.spotify.com/track/3T8j0WDSw7G98rNLAe2M2X
107,"Burn the Witch",Radiohead,2909638,https://open.spotify.com/track/3dAxzv7hkxipbuWJaOMzAl
108,Colors,Halsey,2901206,https://open.spotify.com/track/6w4LIVTA1966CdmIo0yG4x
109,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,2879527,https://open.spotify.com/track/7K5dzhGda2vRTaAWYI3hrb
110,"My Boo - Hitman's Club Mix","Ghost Town DJs",2857251,https://open.spotify.com/track/4c0rkFPszqQTyC753tsCMU
111,Ophelia,"The Lumineers",2855937,https://open.spotify.com/track/7bTwYGhBdSQ8vuXc76Xint
112,"In My Room (feat. Ty Dolla $ign & Tyga)","Yellow Claw",2851376,https://open.spotify.com/track/4Jk6fZmX3gGYYbHnjq5uyN
113,"Want to Want Me","Jason Derulo",2830378,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
114,"In Common","Alicia Keys",2829519,https://open.spotify.com/track/0rcDFdi19NtKf9NbHxr0k9
115,"Trap Queen","Fetty Wap",2820531,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
116,"This Girl - Kungs Vs. Cookin' On 3 Burners",Kungs,2812653,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
117,"No Role Modelz","J. Cole",2782895,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
118,Hey,Fais,2738973,https://open.spotify.com/track/3jpViAo0HZOdT7Flyfne6j
119,Promise,"Kid Ink",2726957,https://open.spotify.com/track/5IZc3KIVFhjzJ0L2kiXzUl
120,"Write On Me","Fifth Harmony",2709580,https://open.spotify.com/track/41F3Bz1FLoYQmxbcG6T1zT
121,"White Iverson","Post Malone",2700237,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
122,"Locked Away","R. City",2646560,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
123,"Stole the Show",Kygo,2637284,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
124,"Take Me To Church",Hozier,2623967,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
