Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,39964,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
2,"This Is What You Came For","Calvin Harris",30679,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
3,"Cheap Thrills",Sia,28205,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
4,Panda,Desiigner,27494,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
5,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",25045,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
6,"Don't Let Me Down","The Chainsmokers",23719,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
7,"Work from Home","Fifth Harmony",23689,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
8,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",20213,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
9,Faded,"Alan Walker",19679,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
10,"Fast Car - Radio Edit","Jonas Blue",19606,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
11,"Cake By The Ocean",DNCE,17639,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
12,Sex,"Cheat Codes",17629,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
13,"Dangerous Woman","Ariana Grande",16903,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
14,"Needed Me",Rihanna,16682,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
15,"7 Years","Lukas Graham",16487,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
16,"Me, Myself & I",G-Eazy,16056,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
17,Work,Rihanna,16030,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
18,Close,"Nick Jonas",15233,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
19,Gold,Kiiara,14845,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
20,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",14824,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
21,PILLOWTALK,ZAYN,14760,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
22,"Lush Life","Zara Larsson",14721,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
23,NO,"Meghan Trainor",14356,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
24,"Stressed Out","Twenty One Pilots",14254,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
25,"i hate u, i love u (feat. olivia o'brien)",gnash,14188,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
26,"Hymn For The Weekend",Coldplay,13616,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
27,"Never Forget You","Zara Larsson",13574,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
28,Stay,Kygo,12811,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
29,"Wild Things","Alessia Cara",12680,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
30,Middle,"DJ Snake",12071,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
31,Roses,"The Chainsmokers",11946,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
