Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",81445,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Shape of You","Ed Sheeran",76445,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"It Ain't Me (with Selena Gomez)",Kygo,63122,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,"Symphony (feat. Zara Larsson)","Clean Bandit",56185,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
5,"Something Just Like This","The Chainsmokers",52666,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
6,"There's Nothing Holdin' Me Back","Shawn Mendes",50644,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
7,Believer,"Imagine Dragons",48344,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
8,"I'm the One","DJ Khaled",47439,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
9,"Stay (with Alessia Cara)",Zedd,46771,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
10,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",43832,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
11,"Scared to Be Lonely","Martin Garrix",42203,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
12,HUMBLE.,"Kendrick Lamar",42078,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
13,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",40208,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
14,Tuesday,"Burak Yeter",39596,https://open.spotify.com/track/5c4tB0saSkNHX5CyDosuF7
15,"You Don't Know Me","Jax Jones",36542,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
16,"Mask Off",Future,35799,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
17,"Galway Girl","Ed Sheeran",33829,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
18,Attention,"Charlie Puth",32877,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
19,"SUBEME LA RADIO","Enrique Iglesias",31747,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
20,Thunder,"Imagine Dragons",31707,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
21,"Good Life (with G-Eazy & Kehlani)",G-Eazy,31484,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
22,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",31203,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
23,"First Time",Kygo,30775,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
