Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,321754,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
2,"This Is What You Came For","Calvin Harris",290531,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
3,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",197848,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
4,"No Money",Galantis,185344,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
5,"Work from Home","Fifth Harmony",167922,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
6,"Cake By The Ocean",DNCE,151648,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
7,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",141677,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
8,"Lush Life","Zara Larsson",138809,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
9,Faded,"Alan Walker",135406,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
10,"Cheap Thrills",Sia,134749,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
11,"Fast Car - Radio Edit","Jonas Blue",130168,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
12,"7 Years","Lukas Graham",124492,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
13,"Stressed Out","Twenty One Pilots",121601,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
14,"Girls Like (feat. Zara Larsson)","Tinie Tempah",115563,https://open.spotify.com/track/0rHVd8h0cFwgLgPFem6S60
15,Sex,"Cheat Codes",113928,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
16,"Cheap Thrills",Sia,111358,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
17,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",110541,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
18,Panda,Desiigner,110092,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
19,"Me, Myself & I",G-Eazy,107315,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
20,"Don't Let Me Down","The Chainsmokers",101496,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
21,Raging,Kygo,101148,https://open.spotify.com/track/6DsFZITJMPnh8z5XewfVmL
22,Work,Rihanna,100460,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
23,Middle,"DJ Snake",99947,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
24,"Hymn For The Weekend",Coldplay,96176,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
25,Sorry,"Justin Bieber",96081,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
26,"i hate u, i love u (feat. olivia o'brien)",gnash,94028,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
27,"Love Yourself","Justin Bieber",93551,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
28,Roses,"The Chainsmokers",92540,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
29,Stay,Kygo,88498,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
30,Stitches,"Shawn Mendes",83692,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
31,Close,"Nick Jonas",81279,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
32,Hair,"Little Mix",80692,https://open.spotify.com/track/5jlsg7onynIipVy5krMaRZ
33,"Dangerous Woman","Ariana Grande",79860,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
34,"Paradise - Radio Edit","Benny Benassi",78567,https://open.spotify.com/track/2sRrDdpI3A43nRhstSFvrx
35,"All My Friends",Snakehips,76851,https://open.spotify.com/track/6TaqooOXAEcijL6G1AWS2K
36,PILLOWTALK,ZAYN,76647,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
37,"Say You Do - Radio Edit",Sigala,69534,https://open.spotify.com/track/0yH3S4xetaaby9moapVy7K
38,"What Do You Mean?","Justin Bieber",68542,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
39,"Sugar (feat. Francesco Yates)","Robin Schulz",67156,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
40,"My House","Flo Rida",66046,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
41,NO,"Meghan Trainor",65719,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
42,"Never Forget You","Zara Larsson",65291,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
43,"Nothing Like This",Blonde,61083,https://open.spotify.com/track/4PFQ4EQBtJUp2jQjpmYkVA
44,"LIKE I WOULD",ZAYN,60932,https://open.spotify.com/track/1zWMf9bVyhY5W3ZORbjNWt
45,Famous,"Kanye West",60519,https://open.spotify.com/track/7KOcjfiSuMPsQqLXhD0PlN
