Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",122221,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Fullir Vasar","Aron Can",61816,https://open.spotify.com/track/3UYdR145K9dnygSKJqUk2d
3,"I'm the One","DJ Khaled",58747,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
4,Ínótt,"Aron Can",57984,https://open.spotify.com/track/3zBm6lRfxl6tlPGbKuaTUn
5,HUMBLE.,"Kendrick Lamar",54737,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
6,"Sleikir Á Þér Varirnar Og Blikkar","Aron Can",49827,https://open.spotify.com/track/1U28jY25dsRIT6tFcNUWfW
7,"Eftir 12","Aron Can",41048,https://open.spotify.com/track/0NnISPNaZX4KVVBUrxsIev
8,"Ekki Eins Og Þeir (Interlude)","Aron Can",38186,https://open.spotify.com/track/6rDTGZLPIv9KCUzqNilboV
9,"Mask Off",Future,35458,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
10,"Shape of You","Ed Sheeran",34756,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
11,Passionfruit,Drake,33360,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
12,"Ég Meina","Aron Can",33167,https://open.spotify.com/track/23C9ilWTtBiwH2d2mxjctL
13,"Symphony (feat. Zara Larsson)","Clean Bandit",30287,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
14,Fríkút,"Aron Can",29568,https://open.spotify.com/track/1Gj6R6et92U5txJxu8ffL5
15,"Ég Fer Út","Aron Can",28921,https://open.spotify.com/track/1XwTc4Haqffapk54g4q7JK
16,"Geri Þetta Allt","Aron Can",27314,https://open.spotify.com/track/0OVZ8OwRl76tEKgrqHYJPu
17,"Þetta má","Emmsjé Gauti",26425,https://open.spotify.com/track/4WiK8hgPt5QgwGdt9z7MrJ
18,"It Ain't Me (with Selena Gomez)",Kygo,25218,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
19,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",24954,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
20,Slide,"Calvin Harris",24947,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
21,"Bara Við / Langar Að Vita","Aron Can",24935,https://open.spotify.com/track/4SDGUDgYA54LpysIC5uMyz
22,Neinei,Attan,23471,https://open.spotify.com/track/3mGRGwcZbu63oYmTzjCi1t
23,Lifum,"Aron Can",22380,https://open.spotify.com/track/0oNFdNikVxvhjq8J7DbXmG
24,DNA.,"Kendrick Lamar",21838,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
25,Bróðir,"Úlfur Úlfur",21787,https://open.spotify.com/track/7sRN3SGqwvApH52WKt1sz4
