Position,"Track Name",Artist,Streams,URL
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",941509,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2,"Shape of You","Ed Sheeran",878957,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Something Just Like This","The Chainsmokers",736246,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
4,"SUBEME LA RADIO","Enrique Iglesias",702948,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
5,"Despacito - Remix","Luis Fonsi",692351,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
6,Believer,"Imagine Dragons",617522,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
7,"Symphony (feat. Zara Larsson)","Clean Bandit",574926,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
8,"It Ain't Me (with Selena Gomez)",Kygo,561832,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
9,"You Don't Know Me","Jax Jones",550415,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
10,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",480704,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
11,"Occidentali's Karma - Radio Edit","Francesco Gabbani",458128,https://open.spotify.com/track/00wxIcA1PPbqEzATkHT4e1
12,Cold,"Maroon 5",452390,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
13,"Stay (with Alessia Cara)",Zedd,439145,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
14,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",423267,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
15,"No Lie","Sean Paul",421560,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
16,Paris,"The Chainsmokers",410021,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
17,"Galway Girl","Ed Sheeran",405401,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
18,"El Amante","Nicky Jam",403896,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
19,"Be Mine",Ofenbach,379663,https://open.spotify.com/track/2KklXplRtxMsBYo474Es0w
20,Passionfruit,Drake,376918,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
21,Fenomeno,"Fabri Fibra",345960,https://open.spotify.com/track/6ITDAE1VFqNtNBJ51uI1Jl
22,"There's Nothing Holdin' Me Back","Shawn Mendes",338354,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
23,HUMBLE.,"Kendrick Lamar",330128,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
24,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,329768,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
25,Chantaje,Shakira,327931,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
26,"Chained To The Rhythm","Katy Perry",322373,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
27,"Solo Dance","Martin Jensen",315138,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
28,"Sign of the Times","Harry Styles",315049,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
29,"Green Light",Lorde,312836,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7
30,Trinità,"Gue Pequeno",305022,https://open.spotify.com/track/3ZAYjLG45dNmihObit1MGL
31,"That's What I Like","Bruno Mars",303511,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
32,"Hear Me Now",Alok,301602,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
33,"Scared to Be Lonely","Martin Garrix",299654,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
34,"I'm the One","DJ Khaled",298588,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
35,"Call On Me - Ryan Riback Extended Remix",Starley,295753,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
36,Bimbi,"Charlie Charles",294573,https://open.spotify.com/track/7uPI3Q0Ke3Thl0z1xzvXFn
37,"The Cure","Lady Gaga",290204,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
38,"Castle on the Hill","Ed Sheeran",286940,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
39,"I Feel It Coming","The Weeknd",257592,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
40,"Mask Off",Future,255367,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
41,Human,"Rag'n'Bone Man",253785,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
42,MOB,Lazza,249790,https://open.spotify.com/track/2lrwrae424IfClZuPe4O4g
43,"Il Diario Degli Errori","Michele Bravi",247655,https://open.spotify.com/track/5fe47fVHpndUfJUqMum9Rf
44,"Piccole cose",J-AX,243223,https://open.spotify.com/track/30mnIRCDKDm1XccJ1KUPck
45,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",240710,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
46,Issues,"Julia Michaels",239325,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
47,"The One","The Chainsmokers",234819,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
48,"Now Or Never",Halsey,221651,https://open.spotify.com/track/1mDGDb2fUmUMdqV3tb8VKQ
49,Closer,"The Chainsmokers",219422,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
50,Slide,"Calvin Harris",210652,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
51,"September Song","JP Cooper",200872,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
52,"Good Life (with G-Eazy & Kehlani)",G-Eazy,198730,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
53,Papparapa',Nerone,195852,https://open.spotify.com/track/0kL4D4qf5bkMt30voq7A4C
54,"All Night","Parov Stelar",194004,https://open.spotify.com/track/6kK2YbF8boQl32Lqkai3Ca
55,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,192965,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
56,"Me Rehúso","Danny Ocean",192262,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ
57,Volare,Izi,191005,https://open.spotify.com/track/1g9xYMO3kBNbPzLCutn9t6
58,Solo,Rkomi,181084,https://open.spotify.com/track/61VCBq5JXqCNYlkhAcGTsA
59,"No Promises (feat. Demi Lovato)","Cheat Codes",173335,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
60,"First Time",Kygo,169936,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
61,Attention,"Charlie Puth",168277,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
62,"Don't Wanna Know","Maroon 5",166730,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
63,"Say You Won't Let Go","James Arthur",161825,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
64,Ulalala,"Achille Lauro",161321,https://open.spotify.com/track/2NTxalkIR7Yz1nl5iIFWAz
65,"Portami via","Fabrizio Moro",154933,https://open.spotify.com/track/2YsfmsmRwWaFV7YLvTGFcm
66,"Bon Appétit","Katy Perry",154583,https://open.spotify.com/track/14oOKFGuXu8DqvOe1W8vao
67,Pamplona,"Fabri Fibra",153329,https://open.spotify.com/track/3H452nrW7GsaU01lpfrQTf
68,"Faccio un casino",Coez,151871,https://open.spotify.com/track/4o3TDMAR6Id0DN7g03gsIc
69,Thunder,"Imagine Dragons",151532,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
70,"Pizza Kebab",Ghali,145639,https://open.spotify.com/track/2NeIubK38qo6DGvhLTowv3
71,"Il Conforto","Tiziano Ferro",143307,https://open.spotify.com/track/7LlJRh9ieHKTwTaaOE3f1i
72,"Let Me Love You","DJ Snake",140988,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
73,"iSpy (feat. Lil Yachty)",Kyle,140431,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
74,DNA.,"Kendrick Lamar",133208,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
75,Dexter,"Sfera Ebbasta",131178,https://open.spotify.com/track/6TxoJpx5ul6HfkUgJJVUXY
76,"Vietato morire","Ermal Meta",130952,https://open.spotify.com/track/681fNvwhF5pF9sYiiOycPp
77,Assenzio,J-AX,126562,https://open.spotify.com/track/0DRKnh0BloxJHyhXkfbiX8
78,"Million Reasons","Lady Gaga",125379,https://open.spotify.com/track/50PWlIBU7PlGGwzgN8TiFJ
79,"Allenamento #2","Capo Plaza",123599,https://open.spotify.com/track/1FDtcvnTZvbwMFxn5SRFHN
80,"In the Name of Love","Martin Garrix",123177,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
81,"Ninna Nanna",Ghali,122671,https://open.spotify.com/track/4WGYf4qlLjyx0TALaNwppu
82,Trankilo,"Vegas Jones",117735,https://open.spotify.com/track/4hwwDxMDxwNbCyUJuI5sLa
83,"I'm Yours","Jason Mraz",116621,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
84,"Lot to Learn","Luke Christopher",116416,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW
85,"The Night We Met","Lord Huron",114499,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
86,"One Dance",Drake,113428,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
87,Perfect,"Ed Sheeran",112980,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
88,Starving,"Hailee Steinfeld",112840,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
89,"Reggaetón Lento (Bailemos)",CNCO,111744,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
90,"Felices los 4",Maluma,111465,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
91,"Scooteroni - RMX",Marracash,110056,https://open.spotify.com/track/2ALJr1qNX1OgTPBHUGn98v
92,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",109967,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
93,"Scars To Your Beautiful","Alessia Cara",108601,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
94,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",108344,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
95,"E yo mamma",Coez,107348,https://open.spotify.com/track/4UHoNm0w3ovfGKJwMAB8tY
96,"i hate u, i love u (feat. olivia o'brien)",gnash,106299,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
97,"Let's Hurt Tonight",OneRepublic,104996,https://open.spotify.com/track/1oc4kHthIpfa2jQnIL33GE
98,"Don't Let Me Down","The Chainsmokers",104404,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
99,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",103120,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9
100,"Sold Out",Thegiornalisti,101803,https://open.spotify.com/track/1gQqtmfp9sWORxjuNMrB5k
101,"I grandi non piangono mai",Mr.Rain,101298,https://open.spotify.com/track/3OAViknUxfaGmBbGJet8jG
102,"Visiera A Becco","Sfera Ebbasta",99713,https://open.spotify.com/track/0nB7VgMGBTeOIO6LXwOvEJ
103,Lario,Lazza,99340,https://open.spotify.com/track/0Rgi733bscb4I8FLsat1yQ
104,"All Night","The Vamps",98794,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
105,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",97175,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
106,"Giovane giovane",Laïoung,97066,https://open.spotify.com/track/6EQkiZjEGLmELlVcZmV41y
107,"Cake By The Ocean",DNCE,96610,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl
108,"Sooner Or Later","Aaron Carter",96316,https://open.spotify.com/track/6wV12xIUb8oFY7lBy4KuQe
109,Mercy,"Shawn Mendes",95053,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
110,"No Vacancy",OneRepublic,95003,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z
111,Unforgettable,"French Montana",94741,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
112,"Just Hold On","Steve Aoki",93388,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
113,"Fresh Eyes","Andy Grammer",93327,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3
114,Notti,"Sfera Ebbasta",92908,https://open.spotify.com/track/7yAiocKxHuo27L68vvQDPn
115,"Veleno 6",Madman,92614,https://open.spotify.com/track/7GfXjqXD9aBvDoBdZ7EwPH
116,Spirits,"The Strumbellas",92248,https://open.spotify.com/track/2H6dHxAxGq5oQ9EiinNpXT
117,Ride,"Twenty One Pilots",92086,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
118,"Stavo Pensando A Te","Fabri Fibra",91705,https://open.spotify.com/track/6cjyaU5VscMdHi69q2w5Fo
119,Mooseca,"Enrico Papi",91701,https://open.spotify.com/track/6cA3723Q8qEiMMLN6rrhCj
120,"Che sia benedetta","Fiorella Mannoia",91693,https://open.spotify.com/track/3TygxF9PiIiiyL97jSH6JL
121,"Vente Pa' Ca","Ricky Martin",91561,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
122,"XO TOUR Llif3","Lil Uzi Vert",90792,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
123,"Cheap Thrills",Sia,90456,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
124,"Shed a Light","Robin Schulz",90186,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
125,"Sugar (feat. Francesco Yates)","Robin Schulz",89751,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
