Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",30392,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,HUMBLE.,"Kendrick Lamar",22438,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
3,"Shape of You","Ed Sheeran",21781,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
4,Passionfruit,Drake,20090,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
5,"It Ain't Me (with Selena Gomez)",Kygo,18390,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,"Something Just Like This","The Chainsmokers",18352,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
7,"Symphony (feat. Zara Larsson)","Clean Bandit",17911,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
8,"There's Nothing Holdin' Me Back","Shawn Mendes",17417,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
9,"Stay (with Alessia Cara)",Zedd,17158,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
10,"Mask Off",Future,16253,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
11,Attention,"Charlie Puth",15365,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
12,"I'm the One","DJ Khaled",15097,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
13,Issues,"Julia Michaels",14815,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
14,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",14025,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
15,"Scared to Be Lonely","Martin Garrix",13874,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
16,Believer,"Imagine Dragons",13394,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
17,"The Cure","Lady Gaga",13347,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
18,Slide,"Calvin Harris",13307,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
19,"Sign of the Times","Harry Styles",13094,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
20,"No Promises (feat. Demi Lovato)","Cheat Codes",13057,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
21,"Now Or Never",Halsey,12933,https://open.spotify.com/track/1mDGDb2fUmUMdqV3tb8VKQ
22,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",12720,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
23,"Call On Me - Ryan Riback Extended Remix",Starley,11979,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
24,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",11936,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9
25,"That's What I Like","Bruno Mars",11787,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
26,"Good Life (with G-Eazy & Kehlani)",G-Eazy,11393,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
27,"You Don't Know Me","Jax Jones",10791,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
28,DNA.,"Kendrick Lamar",10786,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
29,Cold,"Maroon 5",10534,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
30,"Bon Appétit","Katy Perry",10459,https://open.spotify.com/track/14oOKFGuXu8DqvOe1W8vao
31,"First Time",Kygo,10316,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
32,"Solo Dance","Martin Jensen",10280,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
33,"The One","The Chainsmokers",9622,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
34,Location,Khalid,9566,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
35,"The Night We Met","Lord Huron",9447,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
36,Paris,"The Chainsmokers",9421,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
37,"Green Light",Lorde,9388,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7
38,"Obsession (feat. Jon Bellion)",Vice,9166,https://open.spotify.com/track/542Xd5qDeLBvgXZXhfW7LE
39,"September Song","JP Cooper",9134,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
40,Selfish,Future,8776,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
41,Unforgettable,"French Montana",8633,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
42,Thunder,"Imagine Dragons",8613,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
43,"Still Got Time",ZAYN,8589,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
44,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,8497,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
45,"Galway Girl","Ed Sheeran",8459,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
46,"iSpy (feat. Lil Yachty)",Kyle,8395,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
47,"Whippin (feat. Felix Snow)",Kiiara,8173,https://open.spotify.com/track/3QWjljChcOMkRDYSzF33Qr
48,Touch,"Little Mix",8035,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
49,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",7904,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
50,"Тает лёд",Грибы,7292,https://open.spotify.com/track/0cItyj95uqYjvYGchMLzIh
51,"Chained To The Rhythm","Katy Perry",7210,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
52,"Bad Bitch (feat. Ty Dolla $ign)","Bebe Rexha",6957,https://open.spotify.com/track/4ZJPwET9Jrgpkqi4Vo3Yg8
53,ELEMENT.,"Kendrick Lamar",6798,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
54,TG4M,"Zara Larsson",6793,https://open.spotify.com/track/4uoumbAMEMaKdtiv763jKz
55,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",6773,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
56,"do re mi",Blackbear,6739,https://open.spotify.com/track/6CUBgX8bXC5YQCkdgRHqyg
57,"LOVE. FEAT. ZACARI.","Kendrick Lamar",6731,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
58,"I Feel It Coming","The Weeknd",6648,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
59,Tuesday,"Burak Yeter",6545,https://open.spotify.com/track/5c4tB0saSkNHX5CyDosuF7
60,"XO TOUR Llif3","Lil Uzi Vert",6416,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
61,Heatstroke,"Calvin Harris",6392,https://open.spotify.com/track/1N90cV79gbBgO0bOs74Y0t
62,"Hear Me Now",Alok,6363,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
63,"Lights Down Low",MAX,6327,https://open.spotify.com/track/1sYSP7gKa5kdKIfhANfori
