Position,"Track Name",Artist,Streams,URL
1,HUMBLE.,"Kendrick Lamar",28252,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2,"Shape of You","Ed Sheeran",20440,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Something Just Like This","The Chainsmokers",19655,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
4,"Despacito - Remix","Luis Fonsi",19435,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
5,"Mask Off",Future,18870,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
6,"Symphony (feat. Zara Larsson)","Clean Bandit",16864,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
7,"It Ain't Me (with Selena Gomez)",Kygo,15967,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
8,Believer,"Imagine Dragons",15662,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
9,DNA.,"Kendrick Lamar",15550,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
10,"Stay (with Alessia Cara)",Zedd,15463,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
11,"I'm the One","DJ Khaled",14162,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
12,"Sign of the Times","Harry Styles",14068,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
13,Passionfruit,Drake,13186,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
14,Issues,"Julia Michaels",13184,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
15,"There's Nothing Holdin' Me Back","Shawn Mendes",13084,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
16,"Scared to Be Lonely","Martin Garrix",12951,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
17,Slide,"Calvin Harris",12662,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
18,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",12089,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
