Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",29354,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Shape of You","Ed Sheeran",20143,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Something Just Like This","The Chainsmokers",17680,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
4,"Symphony (feat. Zara Larsson)","Clean Bandit",17466,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
5,"It Ain't Me (with Selena Gomez)",Kygo,16596,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,"I'm the One","DJ Khaled",15927,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
7,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",15783,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
8,"Stay (with Alessia Cara)",Zedd,13474,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
9,"Felices los 4",Maluma,13262,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
10,Passionfruit,Drake,13226,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
11,HUMBLE.,"Kendrick Lamar",13163,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
12,"There's Nothing Holdin' Me Back","Shawn Mendes",13038,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
13,"Scared to Be Lonely","Martin Garrix",12072,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
14,"No Promises (feat. Demi Lovato)","Cheat Codes",11917,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
15,"Sign of the Times","Harry Styles",11712,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
16,"The Cure","Lady Gaga",11694,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
17,"That's What I Like","Bruno Mars",11331,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
18,Attention,"Charlie Puth",11253,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
19,"Mask Off",Future,11118,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
20,Slide,"Calvin Harris",10801,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
21,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",10739,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
22,Issues,"Julia Michaels",10591,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
23,"Me Rehúso","Danny Ocean",10379,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ
24,"Good Life (with G-Eazy & Kehlani)",G-Eazy,9228,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
25,Cold,"Maroon 5",9153,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
26,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",8970,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9
27,Believer,"Imagine Dragons",8904,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
28,"Call On Me - Ryan Riback Extended Remix",Starley,8783,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
29,"Galway Girl","Ed Sheeran",8710,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
30,"Solo Dance","Martin Jensen",8681,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
31,"Now Or Never",Halsey,8269,https://open.spotify.com/track/1mDGDb2fUmUMdqV3tb8VKQ
32,"You Don't Know Me","Jax Jones",8012,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
33,"First Time",Kygo,7970,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
34,"Bon Appétit","Katy Perry",7949,https://open.spotify.com/track/14oOKFGuXu8DqvOe1W8vao
35,"SUBEME LA RADIO","Enrique Iglesias",7832,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
36,Paris,"The Chainsmokers",7799,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
37,"The One","The Chainsmokers",7604,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
38,"The Night We Met","Lord Huron",7310,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
39,"Escápate Conmigo",Wisin,7288,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
40,"Green Light",Lorde,7196,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7
41,"September Song","JP Cooper",7184,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
42,"Still Got Time",ZAYN,6918,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
43,Unforgettable,"French Montana",6830,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
44,"I Feel It Coming","The Weeknd",6457,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
45,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,6454,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
46,Touch,"Little Mix",6405,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
47,"El Amante","Nicky Jam",6327,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
48,DNA.,"Kendrick Lamar",6262,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
49,"Obsession (feat. Jon Bellion)",Vice,6181,https://open.spotify.com/track/542Xd5qDeLBvgXZXhfW7LE
50,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",6158,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
51,"iSpy (feat. Lil Yachty)",Kyle,5961,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
52,"Ahora Dice","Chris Jeday",5952,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
53,"Chained To The Rhythm","Katy Perry",5824,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
54,"Sigo Extrañándote","J Balvin",5571,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
55,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,5562,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
56,Location,Khalid,5421,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
57,Selfish,Future,5384,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
58,"do re mi",Blackbear,5379,https://open.spotify.com/track/6CUBgX8bXC5YQCkdgRHqyg
59,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",5348,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
60,"Castle on the Hill","Ed Sheeran",5230,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
61,Thunder,"Imagine Dragons",5133,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
62,"Bad Bitch (feat. Ty Dolla $ign)","Bebe Rexha",5055,https://open.spotify.com/track/4ZJPwET9Jrgpkqi4Vo3Yg8
63,"Whippin (feat. Felix Snow)",Kiiara,4975,https://open.spotify.com/track/3QWjljChcOMkRDYSzF33Qr
64,Closer,"The Chainsmokers",4885,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
65,"Break Up Every Night","The Chainsmokers",4746,https://open.spotify.com/track/6cPyTS0Kk2sc4xQwC93kOg
66,Starboy,"The Weeknd",4742,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
67,"At My Best (feat. Hailee Steinfeld)","Machine Gun Kelly",4682,https://open.spotify.com/track/5DEp4UmhxN7OLnYQacWZhh
68,"XO TOUR Llif3","Lil Uzi Vert",4679,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
69,TG4M,"Zara Larsson",4634,https://open.spotify.com/track/4uoumbAMEMaKdtiv763jKz
70,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",4623,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
71,Heatstroke,"Calvin Harris",4410,https://open.spotify.com/track/1N90cV79gbBgO0bOs74Y0t
72,"Hear Me Now",Alok,4348,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
73,Chantaje,Shakira,4240,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
74,Everyday,"Ariana Grande",4124,https://open.spotify.com/track/6yL2kTsdVwYnGwPkKGtMd5
75,"Lust for Life (with The Weeknd)","Lana Del Rey",4081,https://open.spotify.com/track/5LYQSNHZxEA880URXFHg6h
76,"Ciao Adios",Anne-Marie,4046,https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4
77,"La Rompe Corazones","Daddy Yankee",4040,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
78,"Otra Vez (feat. J Balvin)","Zion & Lennox",4032,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
79,"Say You Won't Let Go","James Arthur",3953,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
80,Perfect,"Ed Sheeran",3929,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
81,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",3895,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
82,"Lights Down Low",MAX,3871,https://open.spotify.com/track/1sYSP7gKa5kdKIfhANfori
83,Skin,"Rag'n'Bone Man",3648,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
84,Congratulations,"Post Malone",3584,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
85,"Si Tu Novio Te Deja Sola","J Balvin",3497,https://open.spotify.com/track/0RFFFGtPn6a58RHY3ccVYX
86,"Let Me Love You","DJ Snake",3464,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
87,"Me Llamas (feat. Maluma) - Remix","Piso 21",3402,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
88,"Shed a Light","Robin Schulz",3326,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
89,"Tu Foto",Ozuna,3272,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
90,"One Dance",Drake,3188,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
91,"Reggaetón Lento (Bailemos)",CNCO,3169,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
92,"No Vacancy",OneRepublic,3128,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z
93,ELEMENT.,"Kendrick Lamar",3106,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
94,"No More Sad Songs (feat. Machine Gun Kelly)","Little Mix",3101,https://open.spotify.com/track/5ZnJsoJGkQ5K15W7Rcr5JO
95,"All Night","The Vamps",3098,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
96,Portland,Drake,3021,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
97,"24K Magic","Bruno Mars",2971,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
98,"LOVE. FEAT. ZACARI.","Kendrick Lamar",2967,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
99,"Sunset Lover","Petit Biscuit",2949,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
100,"All Time Low","Jon Bellion",2938,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
101,Starving,"Hailee Steinfeld",2919,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
102,"Hey DJ",CNCO,2899,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
103,Happier,"Ed Sheeran",2880,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
104,Human,"Rag'n'Bone Man",2878,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
105,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,2875,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1
106,"Vente Pa' Ca","Ricky Martin",2867,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
107,"How Far I'll Go - From ""Moana""","Alessia Cara",2854,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
108,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",2815,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
109,"Be The One","Dua Lipa",2783,https://open.spotify.com/track/1ixphys4A3NEXp6MDScfih
110,"Fake Love",Drake,2780,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
111,"Body Like A Back Road","Sam Hunt",2757,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
112,"Te Quiero Pa´Mi","Don Omar",2726,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz
113,"What Do I Know?","Ed Sheeran",2716,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
114,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,2716,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
115,"In the Name of Love","Martin Garrix",2691,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
116,"Soy Peor","Bad Bunny",2683,https://open.spotify.com/track/5MT96Zz0ymUJNm8obKZQr0
117,"Just Hold On","Steve Aoki",2668,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
118,"Don't Let Me Down","The Chainsmokers",2657,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
119,Faded,"Alan Walker",2618,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
120,"Don't Wanna Know","Maroon 5",2591,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
121,Weak,AJR,2564,https://open.spotify.com/track/6OuV4vfyb8v3vGGGksqyKf
122,"Perfect Strangers","Jonas Blue",2550,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
123,"Feel Good (feat. Daya)",Gryffin,2538,https://open.spotify.com/track/0NyOeqzqjVM9j7IuWp2oJ6
124,Dive,"Ed Sheeran",2524,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
125,History,"Olivia Holt",2519,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
126,Tuesday,"Burak Yeter",2514,https://open.spotify.com/track/5c4tB0saSkNHX5CyDosuF7
127,"I Got You","Bebe Rexha",2467,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
128,"This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners",Kungs,2461,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD
129,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",2457,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
130,Amárrame,"Mon Laferte",2454,https://open.spotify.com/track/3EK4tGkSiO5xvvB5sM4tln
131,Photograph,"Ed Sheeran",2446,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
132,Places,"Martin Solveig",2426,https://open.spotify.com/track/6O85MfGECKBqAK2MgSbCaj
133,"Si Tú La Ves","Nicky Jam",2422,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE
134,"By Your Side","Jonas Blue",2415,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
135,"Quit (feat. Ariana Grande)","Cashmere Cat",2396,https://open.spotify.com/track/4Q5yMlwAfAoitqg4r9oZHN
136,"My Way","Calvin Harris",2385,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
137,"Shape of You (Latin Remix) [feat. Zion & Lennox]","Ed Sheeran",2361,https://open.spotify.com/track/5nCtCCB5i1OfbADvynNw0i
138,"Don't Leave",Snakehips,2340,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
139,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",2339,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
140,Safari,"J Balvin",2326,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
141,"Nights With You",MØ,2326,https://open.spotify.com/track/5q5gzmbBS5yQzos2BvVr1t
142,"Stressed Out","Twenty One Pilots",2323,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
143,"No Lie","Sean Paul",2299,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
144,"Most Girls","Hailee Steinfeld",2294,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ
145,Heathens,"Twenty One Pilots",2289,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
146,"Treat You Better","Shawn Mendes",2282,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
147,"I Love You","Axwell /\ Ingrosso",2275,https://open.spotify.com/track/11Fo4dAH31K7UZHGqCkCmE
