Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,1882186,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
2,Sex,"Cheat Codes",1049495,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
3,"This Is What You Came For","Calvin Harris",918870,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
4,"Work from Home","Fifth Harmony",895487,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
5,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",859704,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
6,"Don't Let Me Down","The Chainsmokers",830666,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
7,Hey,Fais,779987,https://open.spotify.com/track/3jpViAo0HZOdT7Flyfne6j
8,"Girls Like (feat. Zara Larsson)","Tinie Tempah",775837,https://open.spotify.com/track/0rHVd8h0cFwgLgPFem6S60
9,"Ego - Radio Edit","Willy William",751839,https://open.spotify.com/track/2dvTTBkl5xW3fNFz9mRFw5
10,"Cheap Thrills",Sia,738516,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
11,Panda,Desiigner,709159,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
12,"Fast Car - Radio Edit","Jonas Blue",702129,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
13,Faded,"Alan Walker",638979,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
14,"Ik Was Al Binnen",Broederliefde,621110,https://open.spotify.com/track/3fsG2UErJoICD34tS10Cie
15,Jungle,Broederliefde,617498,https://open.spotify.com/track/2Ro1i5jA2krJYkFJOrRrFa
16,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",593957,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
17,"No Money",Galantis,589532,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
18,"Stressed Out","Twenty One Pilots",589272,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
19,"Cake By The Ocean",DNCE,554916,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
20,"DUELE EL CORAZON","Enrique Iglesias",549683,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
21,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",544880,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
22,"Do Or Die","Jonna Fraser",537327,https://open.spotify.com/track/2Y63yg1Lgdp96IoiZIvjKz
23,"Make My Love Go","Jay Sean",503016,https://open.spotify.com/track/5mMRgTxoeBjEAZdBjPGvaC
24,"Be The One","Dua Lipa",502416,https://open.spotify.com/track/1ixphys4A3NEXp6MDScfih
25,Raging,Kygo,484240,https://open.spotify.com/track/6DsFZITJMPnh8z5XewfVmL
26,Work,Rihanna,478238,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
27,"7 Years","Lukas Graham",454537,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
28,"Catch & Release - Deepend Remix","Matt Simons",449112,https://open.spotify.com/track/3MSZpokwCtkv9BV0vS3uGr
29,"Mi No Lob",Broederliefde,444641,https://open.spotify.com/track/2LWH17bsVlVNm9K3emk8Gb
30,"Me, Myself & I",G-Eazy,438608,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
31,PILLOWTALK,ZAYN,433562,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
32,"Dangerous Woman","Ariana Grande",420870,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
33,"Hymn For The Weekend",Coldplay,408270,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
34,"Love Yourself","Justin Bieber",404835,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
35,"All My Friends",Snakehips,378837,https://open.spotify.com/track/6TaqooOXAEcijL6G1AWS2K
36,"i hate u, i love u (feat. olivia o'brien)",gnash,374793,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
37,"LA LA LAND",DVBBS,373039,https://open.spotify.com/track/2aESz6MFuH8T8gM0Ka5zTc
38,"Ik Huil Alleen Bij Jou (feat. Diggy Dex)","Ali B",370548,https://open.spotify.com/track/7bjbgwhh0OVk0skAVOpP47
39,NO,"Meghan Trainor",359888,https://open.spotify.com/track/0NmeI6UpRE27dxxgosD5n9
40,Stay,Kygo,357957,https://open.spotify.com/track/7gBj0VgcuAgkXkiRRYvSmK
41,"Qu'est Qu'il Ya",Broederliefde,353313,https://open.spotify.com/track/6R3NUiK4loNt5HvIG9BcIp
42,"All Night Long",Rochelle,350518,https://open.spotify.com/track/7oW5CWMTxM9reGYxuqPtZS
43,Sorry,"Justin Bieber",348255,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
44,"Slow Down","Douwe Bob",344805,https://open.spotify.com/track/26bqkV4bV12BKHnuUIGLII
45,"Once In a While",Timeflies,340094,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
46,Middle,"DJ Snake",337595,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
47,"Niet Omdat Het Moet","Lil' Kleine",332599,https://open.spotify.com/track/4Vy2kx4whJpq6ymOMaalNH
48,"Needed Me",Rihanna,309637,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
49,Roses,"The Chainsmokers",296471,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
50,"Never Forget You","Zara Larsson",291014,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
51,"Zeg Me",Broederliefde,260955,https://open.spotify.com/track/5BgaqHw6dR0ldxsfeE2FBr
52,"1, 2, 3","Lil' Kleine",259498,https://open.spotify.com/track/3Yh5NDwxXHRXcVBPAcEV03
53,"This Girl - Kungs Vs. Cookin' On 3 Burners",Kungs,243909,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
54,Gold,Kiiara,235955,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
55,Close,"Nick Jonas",232118,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
56,Lauw,Boef,230863,https://open.spotify.com/track/4nuN2uVpO4C3dF7BUxShQH
57,"Thinking About It (Let It Go) - KVR Remix","Nathan Goshen",221219,https://open.spotify.com/track/0yJv0G7r1PZIl1CY5XhvkR
58,"Sugar (feat. Francesco Yates)","Robin Schulz",217604,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
59,"Wild Things","Alessia Cara",216095,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
60,Freak,R3hab,210780,https://open.spotify.com/track/3jrv6RJpXUvP8iyjbfll7v
61,Squat,Faya,198544,https://open.spotify.com/track/2VNDk6pO41O2ofOCaHdU7N
62,Hotelsuite,Nielson,198184,https://open.spotify.com/track/0zpIIj4ibvMHLelA3ttsIx
63,"Ride It",Maan,198152,https://open.spotify.com/track/7xdiXcJgNfDsergXOa3gTH
64,"Dansen Op Labanta",GLOWINTHEDARK,198106,https://open.spotify.com/track/5N8OeOiy7L7sjhP2MgwPJo
65,"If It Ain't Love","Jason Derulo",195066,https://open.spotify.com/track/5YHR8wBR5jXfGtP766NiAT
66,"Laat Niet Los (feat. Jonna Fraser)",Jairzinho,193906,https://open.spotify.com/track/4RUJUbq2l7VqCCVlqYsikG
67,Miljonairs,Broederliefde,192729,https://open.spotify.com/track/0PNmxd4wDppCUsTBCWFOLb
68,"What Do You Mean?","Justin Bieber",192681,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
69,"My House","Flo Rida",191992,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
70,Stitches,"Shawn Mendes",191733,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
71,"Lush Life","Zara Larsson",190930,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
72,Bonbon,"Era Istrefi",190432,https://open.spotify.com/track/3Uz8ZcQdlOF2qE6q1rcVpw
73,"That's My Boy",Broederliefde,187409,https://open.spotify.com/track/1GJvkGKU4M7BI3XM3gPrJr
74,Danswater,Broederliefde,187137,https://open.spotify.com/track/0ZmoBhUfXh1PzvMt2A4TBP
75,"Jij & Ik",Bokoesam,186800,https://open.spotify.com/track/1wmvWEw7iuJvmMqrPduF0T
76,"Lean On (feat. MØ & DJ Snake)","Major Lazer",183519,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
77,Samen,"Mr. Polska",183382,https://open.spotify.com/track/5K0gzrSNN4jD54hbBE5Z1F
78,"Breng Me Naar Het Water - Bonus Track","Marco Borsato",183328,https://open.spotify.com/track/5JzpyVGEXe87V15jPg883K
79,Insteigen,Broederliefde,182929,https://open.spotify.com/track/6LjVr3qeWz1wcFyCt5XuaI
80,"One Call Away","Charlie Puth",180801,https://open.spotify.com/track/37R0bQOQj5a7DOqh1TGzvB
81,Eigenlijk,Broederliefde,179574,https://open.spotify.com/track/3hJdpaD3U5eLhjXsNRBJrx
82,"I Know What You Did Last Summer","Shawn Mendes",177674,https://open.spotify.com/track/7crplFzt7spG80NCbpmuCp
83,"Alles Voor Niets Geweest",Broederliefde,173813,https://open.spotify.com/track/1Z62ExSZAs04mjitAWsERe
84,Alaka,Broederliefde,171290,https://open.spotify.com/track/1VUBnozAZ9KRY9mYzaSWM1
85,"I'm In Control",AlunaGeorge,167278,https://open.spotify.com/track/16NOHRm0OEjmg55OZAxVmV
86,"Oh Jij",Broederliefde,160684,https://open.spotify.com/track/0l3JI64F4ilcw5Sf34m0CC
87,"Hide Away",Daya,155424,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
88,"Nu Sta Je Hier",SFB,154579,https://open.spotify.com/track/6fM8nxYwUYzjOCJCp8Uy5F
89,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",154282,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
90,"Cheap Thrills",Sia,147943,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
91,"Low Life",Future,143483,https://open.spotify.com/track/71SDPonZOsIKNtqnaX8LXj
92,"Never Be Like You (feat. Kai)",Flume,138202,https://open.spotify.com/track/6y0igZArWVi6Iz0rj35c1Y
93,Jumpman,Drake,137086,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
94,"Lost Boy","Ruth B.",133502,https://open.spotify.com/track/4h0zU3O9R5xzuTmNO7dNDU
95,Jongvolwassen,Broederliefde,130386,https://open.spotify.com/track/4mpZR51wN19pfOB06qeDdA
96,YOUTH,"Troye Sivan",127536,https://open.spotify.com/track/68fXn0TVggt7Gr0sPbBuI5
97,"Drop That Low (When I Dip)",Tujamo,124897,https://open.spotify.com/track/48kF7W23OIcVBsNY5UesuQ
98,"Now That I've Found You (feat. John & Michel)","Martin Garrix",123431,https://open.spotify.com/track/7wZorJD5loL9ceLJ67sg6S
99,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,121151,https://open.spotify.com/track/7K5dzhGda2vRTaAWYI3hrb
100,"LIKE I WOULD",ZAYN,121146,https://open.spotify.com/track/1zWMf9bVyhY5W3ZORbjNWt
101,"Pop Style",Drake,119984,https://open.spotify.com/track/23NWj2izXAJ4yL6Nah73wf
102,"Adventure Of A Lifetime",Coldplay,119118,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
103,Hello,Adele,117805,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
104,"Lay It All On Me (feat. Ed Sheeran)",Rudimental,117322,https://open.spotify.com/track/6splO3UF8hSmK33y5fJTNk
105,"Hands To Myself","Selena Gomez",117155,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
106,"When We Were Young",Adele,116409,https://open.spotify.com/track/7A2eDNBgJrEVE87C8pOMqN
107,"Like I'm Gonna Lose You","Meghan Trainor",116049,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
108,Narcos,Broederliefde,115857,https://open.spotify.com/track/0YcjWAzrAcIOH0110TyTqR
109,Famous,"Kanye West",114205,https://open.spotify.com/track/7KOcjfiSuMPsQqLXhD0PlN
110,"Let It Go","James Bay",113728,https://open.spotify.com/track/40EB7ABUO6MoWMUwPKptJ7
111,"Shots - Broiler Remix","Imagine Dragons",112296,https://open.spotify.com/track/0z8yrlXSjnI29Rv30RssNI
112,Omlaag,Gio,110061,https://open.spotify.com/track/30cpqNr13JSRCesTUOenrd
113,"Howling At The Moon",Milow,109697,https://open.spotify.com/track/4SGOZ3lXQHWtOL3bfzqqFi
114,"Thinking Out Loud","Ed Sheeran",109303,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
115,"Make It Right","Lucas & Steve",108525,https://open.spotify.com/track/7xsKoO9xZdr4fxH85j1LBw
116,"Easy Love",Sigala,107847,https://open.spotify.com/track/5MMp4HNtX6T2xT9w6Xmaxn
117,"Ain't Your Mama","Jennifer Lopez",105447,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
118,"Ocean Drive","Duke Dumont",103531,https://open.spotify.com/track/0k93MXOj0kSXo84SvSDeUz
119,"Speeding Cars","Walking On Cars",102623,https://open.spotify.com/track/4GylZDT7adqIfVoPHyFb5X
120,Niemand,"Ronnie Flex",99200,https://open.spotify.com/track/62DBa9iwXVgod4bPtmg4xe
121,"Ik Kan Je Niet Laten","Jonna Fraser",98188,https://open.spotify.com/track/5xWZZwFbtuotkPBsY0Km3c
122,"Dark Necessities","Red Hot Chili Peppers",97981,https://open.spotify.com/track/1cjiLJacTKtJbdCtMk1XeV
123,Hosselen,Boef,94975,https://open.spotify.com/track/3pupFhUH3n5CfXQ8KO70S0
124,"Reality - Radio Edit","Lost Frequencies",93562,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS
125,"Give Me Your Love - Radio Edit",Sigala,93267,https://open.spotify.com/track/4CWZOyb9YHIH06yfsvY6k1
126,"Into You","Ariana Grande",92915,https://open.spotify.com/track/3AnwddQhBCSDUwlvbRGyDA
127,"All I Wanna Do","Martin Jensen",92824,https://open.spotify.com/track/0BiGd2FNDQ0eh79ZHfp6tS
128,"Ain't Nobody (Loves Me Better)","Felix Jaehn",92476,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
129,"El Perdón","Nicky Jam",92004,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
130,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,89877,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
131,"Stole the Show",Kygo,89574,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
132,"Be Right There",Diplo,88461,https://open.spotify.com/track/71EnloViXmSKrQkrkaYFxF
133,"How Deep Is Your Love","Calvin Harris",87827,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
134,"Hotline Bling",Drake,87393,https://open.spotify.com/track/1UfBAJfmofTffrae5ls6DA
135,"Sweet Lovin' - Radio Edit",Sigala,87361,https://open.spotify.com/track/614TxLN6BP9nN8pFcPdLVE
136,"Betere Man","Raynor Bruges",86997,https://open.spotify.com/track/2w4z5Kt4VvhgSNMr5rKDYk
137,"Round & Round",Dyna,86735,https://open.spotify.com/track/0lpnWfzDleKf53eWURreSD
138,"Bobo (The Remix)",Violatorz,85512,https://open.spotify.com/track/6dYGYgQp1qWVIV2mqlNjux
139,"Can't Feel My Face","The Weeknd",85355,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
140,"Bel Me Op","Lil' Kleine",85013,https://open.spotify.com/track/44jtFqRBeZv9G7QDoRUFSJ
141,"Je Leeft Vandaag","Jeroen Van Der Boom",84255,https://open.spotify.com/track/0t1ja7ZUhrbnnneS3xcfDW
142,"I Wanna Know",Alesso,83963,https://open.spotify.com/track/0yuBwKZJLISISw2jxv0KMu
143,"Best Fake Smile","James Bay",83616,https://open.spotify.com/track/3ZDqEhR3yfrcnOWi0g5YGD
144,"Lovers Friends",Möwe,83102,https://open.spotify.com/track/7AYJVCEmihR2n1wAPPksth
145,Renegades,"X Ambassadors",83054,https://open.spotify.com/track/0fYVliAYKHuPmECRs1pbRf
146,"Follow The Sun","Xavier Rudd",82963,https://open.spotify.com/track/3Y7fpFZbHLpAvWJJYGehz0
