Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",1922677,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Fy faen",Hkeem,1642384,https://open.spotify.com/track/6EcTjceNc3WhEqrWzXIFwA
3,"First Time",Kygo,1287487,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
4,Tuesday,"Burak Yeter",997388,https://open.spotify.com/track/5c4tB0saSkNHX5CyDosuF7
5,"Symphony (feat. Zara Larsson)","Clean Bandit",966099,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
6,"I'm the One","DJ Khaled",888216,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
7,"It Ain't Me (with Selena Gomez)",Kygo,873849,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
8,"Shape of You","Ed Sheeran",758760,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
9,"Good Life (with G-Eazy & Kehlani)",G-Eazy,754762,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
10,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",721400,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9
11,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",636455,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
12,"Mask Off",Future,620797,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
13,"Galway Girl","Ed Sheeran",608110,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
14,"Something Just Like This","The Chainsmokers",598853,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
15,HUMBLE.,"Kendrick Lamar",543413,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
16,"Scared to Be Lonely","Martin Garrix",538821,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
17,Thumbs,"Sabrina Carpenter",528715,https://open.spotify.com/track/3UjJP4ludb74a29P5EHEIo
18,Breathe,"Astrid S",506212,https://open.spotify.com/track/4fhVodXZARPX0oTuQh8V9l
19,Issues,"Julia Michaels",501391,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
20,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",481643,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
