Position,"Track Name",Artist,Streams,URL
1,"This Is What You Came For","Calvin Harris",224820,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
2,"One Dance",Drake,223411,https://open.spotify.com/track/0JoaFxLgrqbWutREzcZBzS
3,"Cheap Thrills",Sia,203982,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
4,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",192059,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
5,"Stressed Out","Twenty One Pilots",187248,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
6,Faded,"Alan Walker",172365,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
7,"Don't Let Me Down","The Chainsmokers",169804,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
8,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",165623,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
9,"7 Years","Lukas Graham",163458,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
10,"Fast Car - Radio Edit","Jonas Blue",162204,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
11,"Work from Home","Fifth Harmony",152854,https://open.spotify.com/track/0SJPThTy7ynySPF4euczx7
12,"Hymn For The Weekend",Coldplay,145102,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
13,Sex,"Cheat Codes",144880,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
14,"Cake By The Ocean",DNCE,130512,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
15,"Me, Myself & I",G-Eazy,128795,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
16,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",127981,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
17,Panda,Desiigner,123502,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
18,Gold,Kiiara,121044,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
19,"Dangerous Woman","Ariana Grande",120379,https://open.spotify.com/track/6T506SFlFUVVNvnmCiVZR0
20,"No Money",Galantis,119727,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
21,Close,"Nick Jonas",114101,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
22,Work,Rihanna,112018,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
23,"Lush Life","Zara Larsson",109883,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
24,"Needed Me",Rihanna,108390,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
25,PILLOWTALK,ZAYN,105869,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
26,"i hate u, i love u (feat. olivia o'brien)",gnash,102946,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
27,Middle,"DJ Snake",100374,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
28,"Love Yourself","Justin Bieber",99103,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
29,"Never Forget You","Zara Larsson",97064,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
30,"Never Be Like You (feat. Kai)",Flume,96426,https://open.spotify.com/track/6y0igZArWVi6Iz0rj35c1Y
