Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",204160,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",197472,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
3,"Shape of You","Ed Sheeran",183937,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
4,HUMBLE.,"Kendrick Lamar",171311,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
5,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",146969,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
6,"Something Just Like This","The Chainsmokers",138871,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
7,"It Ain't Me (with Selena Gomez)",Kygo,128787,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
8,Cold,"Maroon 5",128291,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
9,"I'm the One","DJ Khaled",127126,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
10,"Stay (with Alessia Cara)",Zedd,125458,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
11,Passionfruit,Drake,116145,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
12,"Scared to Be Lonely","Martin Garrix",113838,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
13,Slide,"Calvin Harris",113286,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
14,"That's What I Like","Bruno Mars",111140,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
15,"There's Nothing Holdin' Me Back","Shawn Mendes",111100,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
16,"SUBEME LA RADIO","Enrique Iglesias",110073,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
17,Believer,"Imagine Dragons",105307,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
18,"Symphony (feat. Zara Larsson)","Clean Bandit",105140,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
19,"Mask Off",Future,101937,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
20,DNA.,"Kendrick Lamar",97328,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
21,Issues,"Julia Michaels",90088,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
22,Paris,"The Chainsmokers",88794,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
23,"You Don't Know Me","Jax Jones",84825,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
24,"Sign of the Times","Harry Styles",84014,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
25,"Good Life (with G-Eazy & Kehlani)",G-Eazy,82945,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
26,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,78965,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
27,"Galway Girl","Ed Sheeran",77724,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
28,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",77668,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
29,"Olha a Explosão","MC Kevinho",76328,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
30,"I Feel It Coming","The Weeknd",76123,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
31,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",74811,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
32,"Call On Me - Ryan Riback Extended Remix",Starley,72461,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
33,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",69709,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
34,Chantaje,Shakira,69677,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
35,Heaven,"Richie Campbell",68496,https://open.spotify.com/track/3CqELUCD4xPw5ERPXTyPq1
36,"Se Não Acordar Amanhã",Piruka,68106,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
37,"Só Eu Sei",Virgul,67818,https://open.spotify.com/track/4bdnmTm3yx2W5wTmTewkVD
38,"Solo Dance","Martin Jensen",67689,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
39,Starboy,"The Weeknd",66096,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
40,"Não Se Passa Nada",Piruka,65443,https://open.spotify.com/track/7AcZsdwJFJEPxGwr2ErOvu
41,ELEMENT.,"Kendrick Lamar",65229,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
42,"Chained To The Rhythm","Katy Perry",63775,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
43,"Say You Won't Let Go","James Arthur",62434,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
44,"LOVE. FEAT. ZACARI.","Kendrick Lamar",62216,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
45,Attention,"Charlie Puth",60970,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
46,"Green Light",Lorde,58587,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7
47,"The Cure","Lady Gaga",57890,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
48,"Castle on the Hill","Ed Sheeran",57467,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
49,"Wake N Bake",Regula,56380,https://open.spotify.com/track/5hmOBifAAsfEhUxtK6xiEb
50,Dialeto,"Diogo Piçarra",55096,https://open.spotify.com/track/1Eq8bovIxKCDJzzWa78V7p
51,Closer,"The Chainsmokers",54397,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
52,Unforgettable,"French Montana",54012,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
53,"Hear Me Now",Alok,53183,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
54,"No Promises (feat. Demi Lovato)","Cheat Codes",52294,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
55,"Now Or Never",Halsey,52065,https://open.spotify.com/track/1mDGDb2fUmUMdqV3tb8VKQ
56,"The Night We Met","Lord Huron",47514,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
