Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",3251037,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Symphony (feat. Zara Larsson)","Clean Bandit",1645194,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
3,"Shape of You","Ed Sheeran",1582246,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
4,"I'm the One","DJ Khaled",1564433,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
5,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",1284887,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9
6,"Something Just Like This","The Chainsmokers",1247152,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
7,Gift,Hov1,1245952,https://open.spotify.com/track/2NHAh9RwSCEwDo9jHeeQbp
8,"It Ain't Me (with Selena Gomez)",Kygo,1210149,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
9,"Galway Girl","Ed Sheeran",1071559,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
10,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",1029777,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
11,"Mask Off",Future,980879,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
12,"You Don't Know Me","Jax Jones",949861,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
13,"There's Nothing Holdin' Me Back","Shawn Mendes",923442,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
14,"Stay (with Alessia Cara)",Zedd,906736,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
15,"Only You","Zara Larsson",891738,https://open.spotify.com/track/5SleX0NFeODNY7Xenal3gr
16,"Mandy Moore",Hov1,891620,https://open.spotify.com/track/2vD1hN8Oxqfh4umefOVIqP
17,"First Time",Kygo,882797,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
18,HUMBLE.,"Kendrick Lamar",836104,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
19,"Scared to Be Lonely","Martin Garrix",781955,https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh
20,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",777630,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
21,Passionfruit,Drake,754449,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
22,"Fy faen",Hkeem,731633,https://open.spotify.com/track/6EcTjceNc3WhEqrWzXIFwA
23,Issues,"Julia Michaels",720560,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
24,"Solo Dance","Martin Jensen",689747,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
25,"All I Need","Joakim Lundell",673812,https://open.spotify.com/track/6vBgJ1SLmpB4VMcEVy1ovL
26,Rocket,"Miriam Bryant",663953,https://open.spotify.com/track/4iqroWSTElC2W5hVHgJGLD
27,Unforgettable,"French Montana",651922,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
28,"How Far I'll Go - From ""Moana""","Alessia Cara",646905,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
29,"Ja må du leva",Darin,624100,https://open.spotify.com/track/2q6kL6Tnbd3lJuxWL0v7ur
30,Believer,"Imagine Dragons",575118,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
31,Gråzon,Hov1,574708,https://open.spotify.com/track/6cfGXm5yLVqqh8OgyoUlJo
32,"I Love You","Axwell /\ Ingrosso",565048,https://open.spotify.com/track/11Fo4dAH31K7UZHGqCkCmE
33,"As I Lay Me Down",Wiktoria,562644,https://open.spotify.com/track/5VIZcrKXPd9wL4hqE4YN8z
34,"Tårarna i halsen",Tjuvjakt,554567,https://open.spotify.com/track/5WC4x0M8zyTDv2h61zJahB
35,Happier,"Ed Sheeran",553290,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
36,"Sign of the Times","Harry Styles",525849,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
37,Slide,"Calvin Harris",510199,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
38,"Castle on the Hill","Ed Sheeran",509436,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
39,Hov1,Hov1,504444,https://open.spotify.com/track/44TSWwpukPG1LvnJeupLYy
40,"Call On Me - Ryan Riback Extended Remix",Starley,484066,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
41,Damn,Hov1,482646,https://open.spotify.com/track/4mwjmreHLdjaQk47WhOZnA
42,Perfect,"Ed Sheeran",470439,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
43,"I Can't Fall in Love Without You","Zara Larsson",469176,https://open.spotify.com/track/4VPXFi4vFTtS9wHe6oMQaT
44,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",466340,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
45,"Friday Night",Vigiland,465031,https://open.spotify.com/track/7HGHhLbAklVxGkYdwyeVML
46,"I Can´t Go On","Robin Bengtsson",458314,https://open.spotify.com/track/57Y51hxqMn2j3dosW75R6n
