From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Combined,Points
Albania,Ukraine,15,17,17,24,13,19,0,19,0
Albania,Belarus,18,8,26,25,22,23,0,23,0
Albania,Azerbaijan,12,14,16,7,26,15,0,15,0
Albania,Iceland,24,26,18,26,14,24,0,24,0
Albania,Norway,23,19,19,18,15,20,0,20,0
Albania,Romania,22,16,9,14,16,16,0,16,0
Albania,Armenia,9,13,20,6,25,13,0,13,0
Albania,Montenegro,6,10,5,5,3,5,0,5,6
Albania,Poland,14,18,21,23,23,22,0,22,0
Albania,Greece,3,22,15,15,2,9,0,9,2
Albania,Austria,11,6,4,4,6,6,0,6,5
Albania,Germany,7,2,8,8,17,7,0,7,4
Albania,Sweden,1,12,1,1,9,4,0,4,7
Albania,France,17,5,22,22,7,12,0,12,0
Albania,Russia,26,25,25,16,18,25,0,25,0
Albania,Italy,2,3,3,9,1,2,0,2,10
Albania,Slovenia,13,15,14,13,19,14,0,14,0
Albania,Finland,16,9,13,19,24,17,0,17,0
Albania,Spain,4,1,6,2,4,1,0,1,12
Albania,Switzerland,25,24,23,20,20,26,0,26,0
Albania,Hungary,5,4,2,3,5,3,0,3,8
Albania,Malta,8,23,7,17,8,10,0,10,1
Albania,Denmark,20,21,24,21,11,21,0,21,0
Albania,The Netherlands,19,20,12,11,21,18,0,18,0
Albania,San Marino,10,11,10,10,10,8,0,8,3
Albania,United Kingdom,21,7,11,12,12,11,0,11,0
Armenia,Ukraine,20,22,20,21,20,20,7,15,0
Armenia,Belarus,4,5,4,4,4,3,5,3,8
Armenia,Azerbaijan,25,25,25,25,25,25,25,25,0
Armenia,Iceland,11,8,5,3,9,5,19,11,0
Armenia,Norway,15,19,9,15,19,18,21,23,0
Armenia,Romania,16,6,16,18,17,17,17,20,0
Armenia,Montenegro,2,1,2,2,2,2,4,1,12
Armenia,Poland,18,2,17,13,5,11,16,16,0
Armenia,Greece,14,4,18,16,3,10,6,4,7
Armenia,Austria,23,21,23,24,23,24,2,14,0
Armenia,Germany,3,7,3,5,16,4,12,5,6
Armenia,Sweden,24,23,24,10,24,22,3,12,0
Armenia,France,19,18,19,19,14,19,13,18,0
Armenia,Russia,6,9,12,9,8,6,1,2,10
Armenia,Italy,13,10,15,14,15,16,23,24,0
Armenia,Slovenia,12,11,13,6,12,8,22,17,0
Armenia,Finland,17,12,14,8,13,15,20,21,0
Armenia,Spain,7,15,10,12,11,12,11,9,2
Armenia,Switzerland,10,13,8,20,6,13,8,6,5
Armenia,Hungary,22,24,22,23,22,23,10,19,0
Armenia,Malta,1,3,1,1,1,1,24,13,0
Armenia,Denmark,5,14,11,17,7,9,14,10,1
Armenia,The Netherlands,8,16,7,11,10,7,15,7,4
Armenia,San Marino,9,17,6,7,18,14,9,8,3
Armenia,United Kingdom,21,20,21,22,21,21,18,22,0
Austria,Ukraine,4,11,11,9,10,6,12,6,5
Austria,Belarus,15,17,20,21,8,19,19,20,0
Austria,Azerbaijan,25,6,16,14,23,20,25,24,0
Austria,Iceland,14,18,10,11,13,12,8,9,2
Austria,Norway,23,10,5,12,12,11,9,10,1
Austria,Romania,10,8,6,1,17,5,4,3,8
Austria,Armenia,21,1,1,2,1,3,2,1,12
Austria,Montenegro,17,16,17,22,21,22,17,21,0
Austria,Poland,18,19,19,20,20,24,3,13,0
Austria,Greece,19,25,18,13,9,21,14,19,0
Austria,Germany,6,14,15,19,24,16,5,12,0
Austria,Sweden,3,3,2,3,4,1,10,5,6
Austria,France,7,20,21,7,6,10,23,18,0
Austria,Russia,24,5,22,10,16,15,18,17,0
Austria,Italy,22,13,24,18,19,23,20,23,0
Austria,Slovenia,12,9,14,6,11,9,11,11,0
Austria,Finland,2,2,9,4,3,2,16,7,4
Austria,Spain,8,7,13,16,7,8,21,15,0
Austria,Switzerland,9,21,23,5,14,13,6,8,3
Austria,Hungary,20,4,4,8,5,4,7,4,7
Austria,Malta,16,12,8,15,22,14,15,14,0
Austria,Denmark,13,22,7,23,15,18,13,16,0
Austria,The Netherlands,11,15,3,17,2,7,1,2,10
Austria,San Marino,5,23,25,25,25,25,24,25,0
Austria,United Kingdom,1,24,12,24,18,17,22,22,0
Azerbaijan,Ukraine,6,5,5,7,6,6,1,2,10
Azerbaijan,Belarus,3,2,3,4,1,2,5,4,7
Azerbaijan,Iceland,19,18,17,19,19,18,18,21,0
Azerbaijan,Norway,20,21,20,20,18,20,19,24,0
Azerbaijan,Romania,5,6,2,2,3,4,9,5,6
Azerbaijan,Armenia,25,25,25,25,25,25,25,25,0
Azerbaijan,Montenegro,9,11,10,9,10,10,22,18,0
Azerbaijan,Poland,10,10,12,11,12,11,12,9,2
Azerbaijan,Greece,4,4,6,5,7,5,11,7,4
Azerbaijan,Austria,24,24,23,24,23,24,3,10,1
Azerbaijan,Germany,23,22,22,21,22,22,17,23,0
Azerbaijan,Sweden,22,23,24,23,24,23,7,13,0
Azerbaijan,France,15,12,15,13,14,14,24,22,0
Azerbaijan,Russia,1,3,1,1,2,1,2,1,12
Azerbaijan,Italy,8,7,9,6,5,7,23,16,0
Azerbaijan,Slovenia,11,8,8,10,8,9,21,15,0
Azerbaijan,Finland,14,15,14,15,16,15,20,20,0
Azerbaijan,Spain,12,13,11,14,11,12,15,12,0
Azerbaijan,Switzerland,21,20,21,22,21,21,6,11,0
Azerbaijan,Hungary,2,1,4,3,4,3,4,3,8
Azerbaijan,Malta,7,9,7,8,9,8,8,6,5
Azerbaijan,Denmark,17,16,18,17,17,17,16,19,0
Azerbaijan,The Netherlands,18,19,19,18,20,19,13,17,0
Azerbaijan,San Marino,13,14,13,12,13,13,10,8,3
Azerbaijan,United Kingdom,16,17,16,16,15,16,14,14,0
Belarus,Ukraine,4,1,5,4,5,4,3,3,8
Belarus,Azerbaijan,3,4,4,3,2,3,19,8,3
Belarus,Iceland,20,14,16,18,17,17,17,17,0
Belarus,Norway,7,12,12,13,9,11,9,7,4
Belarus,Romania,11,10,8,9,12,10,14,10,1
Belarus,Armenia,6,5,6,5,4,5,2,2,10
Belarus,Montenegro,18,23,21,19,23,21,23,25,0
Belarus,Poland,5,9,2,10,13,8,5,4,7
Belarus,Greece,8,6,7,8,6,6,8,5,6
Belarus,Austria,24,25,20,23,22,23,4,14,0
Belarus,Germany,14,13,10,12,8,12,15,15,0
Belarus,Sweden,23,20,18,22,20,20,6,12,0
Belarus,France,16,19,17,17,18,18,22,24,0
Belarus,Russia,1,2,3,1,1,1,1,1,12
Belarus,Italy,13,16,15,14,11,14,25,22,0
Belarus,Slovenia,22,24,23,25,24,25,12,21,0
Belarus,Finland,17,17,22,21,19,19,13,16,0
Belarus,Spain,15,18,19,15,16,16,20,20,0
Belarus,Switzerland,19,15,14,16,14,15,10,11,0
Belarus,Hungary,10,8,11,7,10,9,7,6,5
Belarus,Malta,2,3,1,2,3,2,24,13,0
Belarus,Denmark,12,11,13,11,15,13,21,18,0
Belarus,The Netherlands,9,7,9,6,7,7,16,9,2
Belarus,San Marino,25,21,24,20,25,24,11,19,0
Belarus,United Kingdom,21,22,25,24,21,22,18,23,0
Belgium,Ukraine,1,11,7,5,6,5,13,7,4
